bud_color.1.missing
bud_color.2.missing
anther_size.1.uncertain
bark_size.1.uncertain
bract_apex_size.1.uncertain
bract_base_size.1.uncertain
bract_size.1.uncertain
bract_size.2.uncertain
bract_size.3.uncertain
bract_size_male.1.uncertain
branch_lobe_size.1.uncertain
branch_size.1.uncertain
bud_size.1.uncertain
flower_size.1.uncertain
fruit_lobe_size.1.uncertain
fruit_size.1.uncertain
fruit_size.2.uncertain
fruit_wing_size.1.uncertain
indumentum_size.1.uncertain
indumentum_size.2.uncertain
inflorescence_size.1.uncertain
inflorescence_size.2.uncertain
inflorescence_size_male.1.uncertain
inflorescence_size_staminate.1.uncertain
infructescence_size.1.uncertain
infructescence_size_male.1.uncertain
introrse_size.1.uncertain
leaf_size.1.uncertain
leaf_size.2.uncertain
nut_apex_size.1.uncertain
nut_base_size.1.uncertain
nut_base_size.2.uncertain
nut_size.1.uncertain
nut_size.2.uncertain
nut_size.3.uncertain
nut_size.4.uncertain
nutlet_size.1.uncertain
peduncle_size.1.uncertain
peduncle_size.2.uncertain
petiole_base_size.1.uncertain
petiole_size.1.uncertain
petiole_size.2.uncertain
petiolule_size.1.uncertain
raceme_size.1.uncertain
rachis_base_size.1.uncertain
rachis_size.1.uncertain
rachis_size.2.uncertain
sheath_size.1.uncertain
shrub_size.1.uncertain
solitary_size.1.uncertain
solitary_size_male.1.uncertain
spikes_size.1.uncertain
stalk_size.1.uncertain
stalk_size.2.uncertain
tree_size.1.uncertain
tree_size.2.uncertain
trunk_size.1.uncertain
trunk_size.2.uncertain
twig_size.1.uncertain
branchlets_missing.1.missing_part
shrubs_missing.1.missing_part
trees_missing.1.missing_part
branch_count.1.count_group
branch_count_staminate.1.count_group
catkin_count.1.count_group
catkin_count_pistillate.1.count_group
catkin_count_staminate.1.count_group
flower_count.1.count_group
fruit_count.1.count_group
inflorescence_count.1.count_group
inflorescence_count.2.count_group
inflorescence_count_staminate.1.count_group
infructescence_count.1.count_group
leaf_count.1.count_group
leaf_tooth_count.1.count_group
nut_count.1.count_group
rachis_count.1.count_group
solitary_count.1.count_group
spikes_count_male.1.count_group
stalk_count.1.count_group
