bark_size.1.length_min
bract_count.1.min
bract_count.2.min
bract_count_male.1.min
bract_size.1.length_min
bract_size.2.width_min
bud_ray_count.1.min
bud_size.1.diameter_min
bud_size.1.length_min
bud_size.1.width_min
bud_size.2.length_min
cotyledon_size.1.length_min
cotyledon_size.1.width_min
cyme_count.1.min
fascicles_count.1.min
flower_count.1.min
flower_count_pistillate.1.min
fruit_lobe_count.1.min
fruit_size.1.length_min
inflorescence_count.1.min
inflorescence_lobe_size.1.length_min
infructescence_count.1.min
leaf_count.1.min
leaf_margin_count.1.min
leaf_ray_count.1.min
leaf_size.1.length_min
leaf_size.1.width_min
leaf_size.2.length_min
leaf_size.2.width_min
leaf_size.3.length_min
leaf_tooth_count.1.min
leaflet_count.1.min
leaflet_size.1.length_min
nut_count.1.min
nut_count.2.min
nut_ray_count.1.min
nut_size.1.length_min
nut_size.1.thickness_min
nut_size.1.width_min
nut_size.2.width_min
nut_size.3.length_min
nut_size.3.width_min
nutlet_count.1.min
ovary_count.1.min
peduncle_size.1.length_min
peduncle_size.2.length_min
perianth_count.1.min
petiole_count.1.min
petiole_size.1.length_min
petiole_size.1.width_min
petiole_size.2.length_min
petiole_size.2.width_min
petiolule_size.2.length_min
rachis_count.1.min
rachis_size.1.width_min
sepal_count.1.min
shrub_size.1.height_min
solitary_count.1.min
solitary_ray_count.1.min
spike_size.1.length_min
stamen_count.1.min
stigma_size.1.length_min
tree_size.1.length_min
trunk_size.1.height_min
twig_size.1.diameter_min
