anther_count.1.high
anther_size.1.length_high
bark_size.1.length_high
beak_size.1.length_high
bract_base_count.1.high
bract_base_size.1.length_high
bract_count.1.high
bract_count.2.high
bract_count.3.high
bract_count_male.1.high
bract_count_pistillate.2.high
bract_scales_count.1.high
bract_size.1.length_high
bract_size.1.thickness_high
bract_size.1.width_high
bract_size.2.length_high
bract_size.2.thickness_high
bract_size.2.width_high
bract_size.3.length_high
bract_size_male.1.length_high
bract_size_pistillate.1.length_high
bract_size_staminate.1.length_high
bract_valve_count.1.high
branch_count.1.high
branch_count_staminate.1.high
branch_furcate_count.1.high
branch_gland_size.1.length_high
branch_scales_count.1.high
branch_size.1.length_high
branch_size.1.width_high
branch_size.2.length_high
branch_size.2.width_high
branch_size_male.1.length_high
branch_size_pistillate.1.length_high
branch_tooth_count.1.high
bud_ray_count.1.high
bud_scales_count.1.high
bud_size.1.diameter_high
bud_size.1.length_high
bud_size.1.width_high
bud_size.2.length_high
calyx_lobe_count.1.high
carpel_count.2.high
catkin_count.1.high
catkin_count_pistillate.1.high
catkin_count_staminate.1.high
catkin_lobe_count.1.high
catkin_ray_count.1.high
catkin_size.1.length_high
catkin_size.1.width_high
catkin_size_pistillate.1.length_high
catkin_size_staminate.1.length_high
catkin_size_staminate.1.width_high
cotyledon_lobe_count.1.high
cotyledon_size.1.length_high
cotyledon_size.1.width_high
cotyledon_size.2.width_high
dehiscent_size.1.length_high
dehiscent_size.1.width_high
dehiscent_size.2.thickness_high
disk_count.1.high
disk_size.1.length_high
disk_size.1.width_high
drupe_size.1.length_high
epidermis_size.1.thickness_high
fascicles_count.1.high
fascicles_count.2.high
fascicles_count_male.1.high
fascicles_size.1.length_high
flower_count.1.high
flower_count_male.1.high
flower_count_pistillate.1.high
flower_count_staminate.1.high
flower_size.1.length_high
flower_size.1.width_high
flower_size_bisexual.1.length_high
flower_size_male.1.length_high
flower_size_pistillate.1.length_high
flower_tooth_size.1.length_high
fruit_apex_count.1.high
fruit_count.1.high
fruit_lobe_size.1.length_high
fruit_size.1.length_high
fruit_size.1.thickness_high
fruit_size.1.width_high
fruit_size.2.length_high
fruit_size.2.thickness_high
fruit_size.3.length_high
fruit_size_pistillate.1.length_high
fruit_wing_size.1.length_high
indehiscent_count.1.high
indumentum_count.1.high
indumentum_size.1.length_high
indumentum_size.1.thickness_high
indumentum_size.1.width_high
inflorescence_apex_size_male.1.length_high
inflorescence_count.1.high
inflorescence_count.2.high
inflorescence_count_male.1.high
inflorescence_count_staminate.1.high
inflorescence_lobe_count.1.high
inflorescence_lobe_size.1.length_high
inflorescence_size.1.length_high
inflorescence_size.1.width_high
inflorescence_size.2.length_high
inflorescence_size_male.1.length_high
inflorescence_size_pistillate.1.length_high
inflorescence_size_staminate.1.length_high
inflorescence_tooth_count.1.high
infructescence_count.1.high
infructescence_size.1.length_high
infructescence_size.1.width_high
infructescence_size.2.length_high
infructescence_size.2.thickness_high
infructescence_size_male.1.length_high
infructescence_tooth_count.1.high
introrse_count.1.high
introrse_size.1.width_high
keel_size.1.thickness_high
leaf_apex_count.1.high
leaf_article_size.1.length_high
leaf_axil_count_male.1.high
leaf_count.1.high
leaf_count.2.high
leaf_count.3.high
leaf_hair_count.1.high
leaf_hair_size.1.length_high
leaf_lobe_count.1.high
leaf_lobe_count.2.high
leaf_margin_count.1.high
leaf_ranked_count.1.high
leaf_ray_count.1.high
leaf_scales_count.1.high
leaf_size.1.length_high
leaf_size.1.width_high
leaf_size.2.length_high
leaf_size.2.width_high
leaf_size.3.length_high
leaf_size_male.1.length_high
leaf_tooth_count.1.high
leaf_tooth_size.1.length_high
leaflet_count.1.high
leaflet_ray_count.1.high
leaflet_size.1.length_high
leaflet_size.1.width_high
leaflet_wing_size.1.length_high
lenticel_count.1.high
lenticel_size.1.diameter_high
lenticel_size.1.length_high
lenticel_size.1.width_high
nut_base_size.1.length_high
nut_base_size.1.thickness_high
nut_count.1.high
nut_count.2.high
nut_count.3.high
nut_hair_size.1.length_high
nut_hair_size.1.width_high
nut_margin_count.1.high
nut_margin_size.1.length_high
nut_ray_count.1.high
nut_scales_size.1.width_high
nut_size.1.height_high
nut_size.1.length_high
nut_size.1.thickness_high
nut_size.1.width_high
nut_size.2.diameter_high
nut_size.2.length_high
nut_size.2.thickness_high
nut_size.2.width_high
nut_size.3.length_high
nut_size.3.thickness_high
nut_size.3.width_high
nut_size.4.length_high
nut_size.4.thickness_high
nut_size.5.length_high
nut_size_staminate.1.length_high
nut_size_staminate.1.width_high
nutlet_count.1.high
nutlet_lobe_count.1.high
nutlet_size.1.length_high
nutlet_size.1.width_high
ovary_count.1.high
panicle_count.1.high
panicle_count_male.1.high
panicle_size.1.length_high
panicle_size.1.width_high
panicle_size_male.1.length_high
peduncle_count.1.high
peduncle_hair_size.1.diameter_high
peduncle_lobe_count.1.high
peduncle_rachis_size_male.1.length_high
peduncle_ray_count.1.high
peduncle_size.1.diameter_high
peduncle_size.1.length_high
peduncle_size.1.width_high
peduncle_size.2.length_high
peduncle_size.2.width_high
peduncle_size_staminate.1.length_high
peduncle_size_staminate.1.width_high
perianth_count.1.high
perianth_lobe_count.1.high
perianth_lobe_count.2.high
perianth_size.1.length_high
perianth_size.1.width_high
petiole_count.1.high
petiole_lobe_count.1.high
petiole_ray_count.1.high
petiole_scales_count.1.high
petiole_sinus_count.1.high
petiole_size.1.length_high
petiole_size.1.thickness_high
petiole_size.1.width_high
petiole_size.2.length_high
petiole_size.2.width_high
petiole_tooth_count.1.high
petiolule_size.1.length_high
petiolule_size.2.length_high
petiolule_size_male.1.length_high
pistil_count.1.high
pollen_sac_size.1.length_high
raceme_count.1.high
raceme_size.1.length_high
