,taxon,leaf_part_margin,leaf position,fruit_part_apex_shape,leaf_part_apex_shape,fruit_part_surface,flower_part_surface,leaf_part_venation_lateral,leaf_part_hair_shape,inflorescence_shape,leaf_part_venation,fruit_part_venation,part_color,article_surface,leaf_part_base_shape,leaf_part_hair_surface,leaf_part_lobe_shape,phyllichnia_shape,part_surface,leaf_part_color,inflorescence_surface,leaf_part_surface,fruit_part_shape,fruit_part_color,part_shape,leaf_part_margin_margin,flower_part_shape,leaf_part_shape,leaf_part_size_width,branch_length,inflorescence_size_width,part_size_width,part_size_length,fruit_part_size_width,leaf_part_size_length,part_size_diameter,part_size_thickness,article_width,inflorescence_size_length,fruit_part_size_thickness,article_length,leaf_part_size_thickness,leaflet_number,part_size_height,flower_part_size_length,fruit_part_size_length
333,Ostrya rehderiana,17,,,6,7,7,0,,,5,4,33,,27,,,,2,,,8,50,9,36,24,,23,4.95,nan,nan,nan,5.5,2.75,4.266666666666667,nan,nan,nan,2.5,nan,nan,nan,nan,15.0,1.75,8.5
334,Ostrya trichocarpa,,,,8,18,5,1,,,10,4,12,,25,,,,7,23,,22,55,3,,25,,57,2.5,nan,2.5,nan,nan,3.0,4.566666666666666,nan,nan,nan,6.25,nan,nan,nan,nan,18.0,5.0,7.25
335,Ostrya yunnanensis,,,,8,31,9,1,,,10,4,12,,36,,,,9,43,,31,32,3,,21,,32,5.125,nan,nan,nan,nan,3.0,5.583333333333333,nan,nan,nan,4.5,nan,nan,nan,nan,20.0,2.0,5.75
336,Ostryopsis,8,,,,,,,,9,11,,,,,,,,,,,,66,,,,,72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
337,Ostryopsis davidiana,,,,8,18,4,1,,9,14,4,19,,25,,,,9,41,,22,63,3,,,14,57,3.25,nan,nan,nan,nan,4.5,4.333333333333334,nan,nan,nan,nan,nan,nan,nan,nan,3.0,2.5,5.0
338,Ostryopsis intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
339,Ostryopsis nobilis,,,,34,18,9,0,,9,4,5,19,,25,,,,16,13,,22,63,,,14,,57,nan,nan,nan,nan,nan,3.0,3.25,nan,nan,nan,nan,nan,nan,nan,nan,5.0,4.0,4.0
340,Casuarina,,,,,7,,,,,,,,,,,,,,,,,,11,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
341,Casuarina cunninghamiana,,,,8,,,,,18,,,19,,,,,,,,,,,,41,,,32,nan,nan,nan,0.6,26.5,nan,9.5,nan,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan
342,Casuarina glauca,,,,32,,,,,18,,,8,,,,,,,,,,,,30,,,74,nan,nan,nan,1.15,1.0,nan,1.6,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan
343,Casuarinaceae,,,,,,,,,37,,,,,,,,,9,,,8,17,,36,,8,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
344,Castanea,,,,,,,,,42,15,,,,,,,,,,,,,,,,,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
345,Castanea crenata,,,,3,,,,,,,,,,27,,,,,,,,,,,24,,34,nan,nan,nan,nan,nan,nan,5.416666666666667,nan,nan,nan,nan,nan,nan,nan,nan,15.0,5.5,2.5
346,Castanea henryi,,,,3,,,,,,,,,,36,,,,,,,22,66,,,,,46,nan,nan,nan,nan,nan,nan,9.125,nan,nan,nan,3.0,nan,nan,nan,nan,30.0,nan,1.75
347,Castanea mollissima,,,,8,,,,,,15,,,,36,,,,,,,31,,,,24,,23,nan,nan,nan,nan,nan,nan,7.5,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,2.5
348,Castanea seguinii,,,,3,,,,,,,,,,27,,,,,18,,20,,,,24,,32,nan,nan,nan,nan,nan,nan,5.025,nan,nan,nan,4.0,nan,nan,nan,nan,12.0,nan,1.75
349,Castanopsis,,,,,,,,,,,,,,,,,,,,,,19,,28,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
350,Castanopsis amabilis,,,,18,7,,,,,5,,,,52,,,,,18,2,,86,,15,16,,32,2.75,nan,nan,nan,2.5,nan,5.5,nan,2.5,nan,26.0,nan,nan,1.0,nan,20.0,nan,4.75
351,Castanopsis argyrophylla,,,,3,17,,,,,15,,8,,36,,,,8,18,,,86,,37,16,,17,5.5,nan,nan,nan,3.0,nan,6.916666666666666,nan,nan,nan,nan,nan,nan,1.25,nan,nan,nan,9.575
352,Castanopsis boisii,,,,3,17,,,,,15,,,,36,,,,,12,,22,63,,24,32,,25,5.0,nan,nan,nan,nan,1.05,6.75,nan,2.75,nan,nan,nan,nan,0.75,nan,25.0,nan,8.883333333333335
353,Castanopsis calathiformis,,,,8,28,,,,,5,,1,,27,,,,2,18,,,29,9,,1,,43,7.0,nan,nan,nan,nan,4.5,7.583333333333334,nan,nan,nan,15.0,nan,nan,1.0,nan,7.5,nan,5.916666666666666
354,Castanopsis carlesii,,,,3,,,,,,5,,,,33,,,,2,12,,,86,,28,16,,32,2.75,nan,nan,nan,1.25,nan,5.25,nan,2.5,nan,nan,nan,nan,0.5,nan,20.0,nan,5.0
355,Castanopsis carlesii var. carlesii,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
356,Castanopsis carlesii var. spinulosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
357,Castanopsis ceratacantha,,,,29,18,,,,,5,,,,33,,,,,5,10,37,,,,,16,32,3.5,nan,nan,nan,nan,1.6,8.083333333333334,nan,nan,nan,nan,nan,nan,1.25,nan,11.5,nan,1.525
358,Castanopsis cerebrina,,,,8,29,,,,,15,,34,,27,,,,,13,,21,,,4,32,,43,4.5,nan,nan,nan,6.5,1.8,7.916666666666667,nan,0.75,nan,nan,nan,nan,nan,nan,nan,nan,1.625
359,Castanopsis chinensis,,,,18,17,,,,,5,,,,2,,,,,,,,83,3,,24,,32,3.5,nan,nan,nan,nan,1.15,7.75,nan,nan,nan,nan,nan,nan,1.25,nan,15.0,3.0,7.300000000000001
360,Castanopsis choboensis,,,,18,18,,,,,5,,,,33,,,,4,,,,63,,,9,,17,4.0,nan,nan,nan,nan,nan,6.5,nan,nan,nan,nan,1.5,nan,nan,nan,nan,nan,10.75
361,Castanopsis chunii,,,,18,18,,,,5,15,,,,33,,,,,13,2,22,29,3,,16,16,57,6.5,nan,nan,nan,nan,1.85,6.583333333333334,nan,nan,nan,nan,nan,nan,2.5,nan,12.5,20.0,2.575
362,Castanopsis clarkei,,,4,29,,,,,,5,,,,2,,,,,,5,8,,,42,,,17,7.0,nan,nan,nan,3.75,nan,6.166666666666666,nan,4.5,nan,20.0,nan,nan,1.5,nan,nan,nan,1.5
363,Castanopsis concinna,,,,29,18,,,,,5,,,,27,,,,,,5,21,,,32,16,,17,2.5,nan,nan,nan,5.5,1.4,5.666666666666667,nan,5.0,nan,7.5,nan,nan,3.0,nan,nan,nan,5.25
364,Castanopsis crassifolia,,,,31,18,,,,,5,,1,,27,,,,9,,,,57,,,16,,57,9.5,nan,nan,nan,3.5,4.9,8.5,nan,5.0,nan,nan,nan,nan,2.0,nan,15.0,nan,5.366666666666666
365,Castanopsis damingshanensis,,,,32,7,,,,,15,,,,27,,,,2,43,,,,3,28,16,,57,3.25,nan,nan,nan,nan,nan,4.416666666666667,nan,5.0,nan,nan,nan,nan,1.5,nan,7.0,nan,1.1
366,Castanopsis delavayi,,,,8,,,,,,15,,15,,36,,,,2,19,,,63,,42,24,,47,5.0,nan,nan,nan,1.75,nan,4.866666666666666,nan,2.5,nan,nan,nan,nan,0.75,nan,20.0,nan,6.949999999999999
367,Castanopsis densispinosa,,,,,17,,,,,,,19,,,,,,2,23,,30,63,14,,6,,57,4.75,nan,nan,nan,nan,1.0,5.958333333333334,nan,nan,nan,nan,nan,nan,1.5,nan,15.0,nan,5.35
368,Castanopsis echinocarpa,,,1,18,7,,,,,4,,1,,2,,,,2,7,2,22,86,,37,24,,17,3.75,nan,nan,nan,1.75,nan,4.333333333333334,nan,nan,nan,nan,nan,nan,1.0,nan,11.0,nan,4.825
369,Castanopsis eyrei,,,,3,7,,,,,5,,,,52,,,,2,5,,21,,,28,16,,32,3.5,nan,nan,nan,nan,nan,3.425,nan,3.5,nan,nan,nan,nan,1.0,nan,14.0,nan,9.0
370,Castanopsis fabri,,,,29,7,,,,,5,,,,27,,,,9,13,,22,63,,,16,,57,3.75,nan,nan,nan,nan,1.1,8.166666666666668,nan,nan,nan,nan,nan,nan,1.0,nan,14.0,3.0,7.566666666666666
371,Castanopsis fargesii,,,,8,7,,,,,5,,,,27,,,,2,13,2,,86,,28,16,,43,3.5,nan,nan,nan,1.1,1.0,6.0625,nan,2.25,nan,30.0,nan,nan,1.0,nan,20.0,nan,5.125
372,Castanopsis ferox,,,,3,7,6,,,,15,,,,27,,,,2,,9,,86,,37,16,,32,3.5,nan,nan,nan,nan,1.05,5.35,nan,nan,nan,20.0,nan,nan,1.0,nan,15.0,nan,5.0
373,Castanopsis fissa,,,,8,28,,,,,11,,34,,27,,,,2,13,,21,83,9,4,1,,43,7.0,nan,nan,nan,nan,1.35,10.875,1.25,nan,nan,nan,nan,nan,0.75,nan,nan,nan,6.683333333333334
374,Castanopsis fleuryi,,,,3,,,,,,15,,24,,36,,,,9,,,,,,28,16,,17,5.0,nan,nan,nan,nan,8.5,6.6625,nan,3.0,nan,nan,nan,nan,0.5,nan,10.0,nan,9.5
375,Castanopsis fordii,,,,47,18,,,,,5,,,,25,,,,,12,,22,71,,,16,,43,5.0,nan,nan,nan,nan,1.75,5.666666666666667,nan,nan,nan,nan,nan,nan,3.5,nan,nan,nan,5.283333333333333
376,Castanopsis glabrifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
377,Castanopsis globigemmata,,,,18,18,,,,40,5,,1,,27,,,,,5,5,20,,,37,16,,25,4.25,nan,nan,nan,6.5,nan,7.583333333333334,nan,nan,nan,nan,nan,nan,3.5,nan,nan,nan,4.375
378,Castanopsis hainanensis,,,,29,18,,,,,5,,,,2,,,,,18,,,,,,,,47,3.75,nan,nan,nan,4.5,1.8,4.050000000000001,nan,5.5,nan,nan,nan,nan,1.0,nan,nan,nan,7.425
379,Castanopsis hairocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
380,Castanopsis hsiensiui,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
381,Castanopsis hupehensis,,,,18,,,,,,15,,15,,27,,,,8,,2,,,,42,24,,32,2.5,nan,nan,nan,2.1,nan,6.166666666666666,nan,2.25,nan,nan,nan,nan,1.0,nan,15.0,nan,10.5
382,Castanopsis hystrix,,,,29,7,,,,,15,,12,,2,,,,,12,,22,83,,36,,,32,2.75,nan,nan,nan,nan,1.05,6.583333333333333,nan,nan,nan,3.25,nan,nan,2.5,nan,nan,nan,4.75
383,Castanopsis indica,,,,3,10,,,,,15,,,,36,,,,,,5,21,83,,,,,25,8.0,nan,nan,nan,nan,nan,8.75,nan,nan,nan,40.0,nan,nan,1.0,nan,nan,nan,7.816666666666666
384,Castanopsis jianfenglingensis,,,,18,18,,,7,,4,,,,27,,,,,,,,29,,42,16,,25,6.5,nan,nan,nan,2.5,nan,8.5,nan,2.5,nan,nan,nan,nan,1.5,nan,20.0,nan,6.866666666666667
385,Castanopsis jucunda,,,,8,7,,,,,15,,,,27,,,,,7,,22,63,,,32,,57,6.0,nan,nan,nan,nan,1.25,7.916666666666666,nan,nan,nan,3.0,nan,nan,0.75,nan,18.0,nan,5.033333333333333
386,Castanopsis kawakamii,,,,18,17,,,,,4,,19,,36,,,,17,12,,22,,7,37,16,,57,3.5,nan,nan,nan,7.0,1.85,4.416666666666666,nan,nan,nan,7.5,nan,nan,3.0,nan,nan,nan,1.35
387,Castanopsis kweichowensis,,,,8,28,,,,,4,,,,52,,,,9,,4,22,,,37,24,,43,4.449999999999999,nan,nan,nan,3.25,nan,8.6,nan,9.5,nan,17.5,nan,nan,2.25,nan,20.0,nan,3.875
388,Castanopsis lamontii,,,,3,18,,,,,5,,,,33,,,,,,2,,,,28,16,,17,7.0,nan,nan,nan,4.25,3.0,10.75,nan,nan,nan,nan,nan,nan,4.25,nan,11.5,nan,8.7
389,Castanopsis ledongensis,,,,29,,,,,,5,,6,,2,5,,,2,12,,,,,42,1,,43,2.75,nan,nan,nan,2.0,nan,5.0,nan,1.75,nan,nan,nan,nan,1.0,nan,18.0,nan,3.6
390,Castanopsis longispina,,,,3,,,,7,,5,,12,,36,,,,8,,,21,29,,5,16,,43,6.5,nan,nan,nan,8.0,1.0,7.216666666666667,nan,4.5,nan,nan,nan,nan,1.0,nan,nan,nan,2.5
391,Castanopsis longzhouica,,,,8,7,,,,,5,,19,,12,,,,,18,,21,,14,13,6,,17,nan,nan,nan,nan,5.5,nan,5.125,nan,nan,nan,1.5,nan,nan,nan,nan,nan,nan,2.0
392,Castanopsis megaphylla,,,,29,18,,,,,5,,15,,36,,,,8,13,5,,86,,42,16,,17,13.0,nan,nan,nan,2.5,nan,19.0,nan,7.0,nan,28.0,nan,nan,nan,nan,nan,nan,1.0
393,Castanopsis mekongensis,,,,3,18,,,,,15,,,,52,,,,,18,6,22,83,,,16,,25,6.5,nan,nan,nan,nan,1.75,7.583333333333334,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,4.616666666666667
394,Castanopsis nigrescens,,,1,3,18,,,,,4,,6,,36,,,,16,22,5,21,63,,42,16,,57,4.5,nan,nan,nan,4.25,nan,4.766666666666667,nan,6.0,nan,nan,nan,nan,4.0,nan,11.5,nan,9.375
395,Castanopsis oblonga,,,,3,17,,,,,4,,1,,27,,,,,13,,8,,,24,1,,57,2.75,nan,nan,nan,3.0,nan,7.0,nan,3.0,nan,nan,nan,nan,1.0,nan,9.0,nan,3.3333333333333335
396,Castanopsis oleifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
397,Castanopsis orthacantha,,,,8,18,,,,,5,,,,33,,,,,5,2,22,86,,,28,,57,3.75,nan,nan,nan,nan,nan,6.625,nan,nan,nan,nan,nan,nan,2.75,nan,12.5,nan,4.75
398,Castanopsis ouonbiensis,,,,8,29,,,,,4,,,,27,,,,,12,,21,,11,15,16,,17,5.0,nan,nan,nan,nan,1.2999999999999998,6.25,nan,nan,nan,15.0,nan,nan,1.5,nan,25.0,nan,5.233333333333333
399,Castanopsis platyacantha,,,,3,18,,,,,4,,,,36,,,,2,12,,22,29,3,,24,,57,4.5,nan,nan,nan,nan,1.7,7.175000000000001,nan,nan,nan,nan,1.75,nan,nan,nan,20.0,3.5,6.625
400,Castanopsis qingbeiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
401,Castanopsis remotidenticulata,,,,3,17,,,,,15,,12,,27,,,,2,,,,,,42,24,,43,3.5,nan,nan,nan,3.25,nan,5.416666666666666,nan,4.5,nan,nan,nan,nan,1.5,nan,25.0,nan,4.233333333333333
402,Castanopsis rockii,,,,3,10,,,,,5,,34,,27,,,,8,,,,34,3,,16,,43,5.5,nan,nan,nan,nan,nan,7.666666666666666,nan,nan,nan,nan,6.5,nan,2.5,nan,23.5,nan,3.8
403,Castanopsis rufotomentosa,,,,32,7,,,,,5,,,,36,,,,,12,,,83,,,16,,32,3.0,nan,nan,nan,nan,nan,6.550000000000001,nan,nan,nan,nan,nan,nan,1.0,nan,21.5,nan,10.5
404,Castanopsis sclerophylla,,,7,3,17,,,,,5,,,,27,,,,,19,2,,83,11,,28,,43,nan,nan,nan,nan,nan,nan,6.5,nan,nan,nan,15.0,nan,nan,1.0,nan,nan,nan,5.512499999999999
405,Castanopsis subuliformis,,,,18,15,,,,,15,,1,,2,,,,2,13,,22,,3,37,,,43,4.0,nan,nan,nan,1.75,1.5,6.5,nan,3.5,nan,nan,nan,nan,1.0,nan,25.0,nan,4.5
406,Castanopsis tcheponensis,,,,,7,,,,41,5,,,,,,,,,29,2,8,86,,,,,17,5.0,nan,nan,nan,nan,1.2999999999999998,9.75,nan,nan,nan,15.75,nan,nan,1.0,nan,nan,nan,1.65
407,Castanopsis tessellata,,,,3,15,,,,,4,,,,33,,,,,13,4,20,86,,,16,,43,6.5,nan,nan,nan,nan,1.75,12.375,nan,1.25,nan,nan,nan,nan,nan,nan,12.5,nan,7.633333333333333
408,Castanopsis tibetana,,,,3,10,,,,,5,,0,,36,,,,2,13,,21,,,32,,,25,7.5,nan,nan,nan,7.0,2.4,8.916666666666668,nan,5.0,nan,15.0,nan,nan,3.5,nan,nan,nan,1.65
409,Castanopsis tonkinensis,,,,8,15,,,,27,15,,,,27,,,,2,12,,18,29,3,,16,,32,2.75,nan,nan,nan,nan,nan,5.375,nan,nan,nan,20.0,nan,nan,0.75,nan,15.0,nan,4.775
410,Castanopsis tribuloides,,,,8,7,,,,,4,,6,,2,,,,9,7,,22,,,15,16,,17,4.25,nan,nan,nan,1.9000000000000001,1.3,5.916666666666666,nan,nan,nan,nan,nan,nan,1.0,nan,7.5,nan,8.75
411,Castanopsis uraiana,,,,,,,,,,5,,19,,12,,,,8,12,,21,,,13,24,,25,2.5,nan,nan,nan,nan,9.5,5.55,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,4.9
412,Castanopsis wattii,,,,3,10,,,,,5,,12,,2,,,,9,,,,89,,,,16,57,4.0,nan,nan,nan,nan,1.25,7.3916666666666675,nan,nan,nan,20.0,nan,nan,1.25,nan,17.5,nan,5.375
413,Castanopsis wenchangensis,,,,3,17,,,,,15,,,,36,,,,,,2,,86,,42,,,32,2.75,nan,nan,nan,nan,nan,3.283333333333333,nan,1.25,nan,5.5,nan,nan,1.5,nan,6.5,nan,2.5875
414,Castanopsis wuzhishangensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
415,Castanopsis xichouensis,,,,8,17,,,,,5,,,,33,,,,2,12,,,,3,,24,,17,4.75,nan,nan,nan,4.25,nan,7.25,nan,8.0,nan,nan,nan,nan,1.5,nan,15.0,nan,12.866666666666667
416,Cyclobalanopsis,,,,,,,,,,,,,,,,,,15,,,,,,16,,,29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
417,Cyclobalanopsis albicaulis,,,,18,17,,,,,4,,37,,36,,,,2,10,,22,57,3,0,16,,23,4.5,nan,nan,nan,2.5,2.5,7.625,nan,nan,nan,2.5,nan,nan,nan,nan,30.0,nan,4.0
418,Cyclobalanopsis annulata,,,,18,,,,,,15,,8,,27,,,,9,,,28,63,,0,24,,23,2.8,nan,nan,nan,1.5,1.25,9.0,nan,nan,nan,nan,nan,nan,1.0,nan,15.0,nan,1.35
419,Cyclobalanopsis argyrotricha,,,9,3,22,,,7,,5,,15,,33,,,,16,23,,30,22,13,,24,,57,3.25,nan,nan,nan,nan,1.35,5.375,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,3.2583333333333333
420,Cyclobalanopsis augustinii,,,9,,22,,,,15,,,,,,,,,,,,8,19,4,36,16,,38,2.5,nan,nan,nan,nan,1.075,5.125,nan,nan,nan,3.5,nan,nan,1.0,nan,10.0,nan,1.9416666666666667
421,Cyclobalanopsis augustinii var. nigrinux,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
422,Cyclobalanopsis austrocochinchinensis,,,9,3,28,,,7,,5,,6,,27,,,,,23,,22,22,11,23,6,,23,4.0,nan,nan,nan,nan,1.6,7.5,nan,nan,nan,nan,nan,nan,2.0,nan,15.0,nan,1.3250000000000002
423,Cyclobalanopsis austroglauca,5,,0,3,7,,,,,5,,6,,27,2,,,2,,,8,74,4,25,,,86,4.0,nan,nan,nan,nan,1.4,6.208333333333334,nan,nan,nan,nan,nan,nan,1.0,nan,10.0,nan,4.133333333333334
424,Cyclobalanopsis bella,,,,3,18,,,,17,15,,,,33,,,,9,23,,8,,4,,11,,23,2.75,nan,nan,nan,nan,2.675,4.733333333333333,nan,nan,nan,1.5,nan,nan,1.0,nan,30.0,nan,2.875
425,Cyclobalanopsis blakei,,,,3,28,,,,34,15,,,,27,,,,2,33,,31,63,7,,6,,79,1.75,nan,nan,nan,nan,2.375,8.083333333333334,nan,nan,nan,1.5,nan,nan,1.0,nan,35.0,nan,5.25
426,Cyclobalanopsis camusiae,,,,3,22,,,,,5,,6,,27,,,,16,23,,8,74,3,,16,,22,4.0,nan,nan,nan,nan,2.25,7.333333333333334,nan,nan,nan,nan,nan,nan,3.0,nan,15.0,nan,3.425
427,Cyclobalanopsis championii,,,9,,10,,,,34,15,,8,,27,,,,16,9,,8,63,3,43,16,,47,3.0,nan,nan,nan,nan,1.2,3.95,nan,nan,nan,4.0,nan,nan,1.0,nan,20.0,nan,4.416666666666667
428,Cyclobalanopsis changhualingensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
429,Cyclobalanopsis chapensis,,,9,3,22,,,,,15,,8,,27,,,,2,,,8,74,7,43,6,,23,3.0,nan,nan,nan,nan,2.55,7.541666666666667,nan,nan,nan,nan,nan,nan,4.0,nan,20.0,nan,5.05
430,Cyclobalanopsis chevalieri,,,,18,22,,,,,5,,37,,27,,,,,23,,8,30,3,36,6,,17,3.0,nan,nan,nan,nan,1.0,7.5,nan,nan,nan,nan,nan,nan,1.0,nan,20.0,nan,2.1791666666666667
431,Cyclobalanopsis chingsiensis,,,2,3,17,,,7,,15,,6,,33,,,,18,,,8,,,,24,,79,4.0,nan,nan,nan,nan,2.5,4.95,nan,nan,nan,nan,nan,nan,3.0,nan,15.0,nan,7.0
432,Cyclobalanopsis chungii,9,,9,8,28,,,7,,15,,6,,27,12,,,,7,,,74,4,,28,,17,2.75,nan,nan,nan,nan,1.725,4.333333333333333,nan,nan,nan,1.75,nan,nan,2.0,nan,15.0,nan,4.083333333333333
433,Cyclobalanopsis daimingshanensis,9,,,,7,,,,34,5,,,,27,,,,2,41,,8,30,23,,28,,24,2.25,nan,nan,nan,nan,1.25,6.0,nan,nan,nan,1.0,nan,nan,nan,nan,15.0,nan,3.466666666666667
434,Cyclobalanopsis delavayi,,,,3,28,,,,40,4,,,,27,,,,,,8,,63,7,,11,,43,3.25,nan,nan,nan,nan,1.25,5.875,nan,nan,nan,4.0,nan,nan,2.0,nan,20.0,nan,6.133333333333333
435,Cyclobalanopsis delicatula,6,,9,18,18,,,,,5,,,,27,,,,2,,,8,22,4,,16,,79,2.75,nan,nan,nan,nan,1.675,4.5,nan,2.0,nan,nan,nan,nan,1.0,nan,13.0,nan,2.4375
436,Cyclobalanopsis dinghuensis,,,,34,28,,,,,15,,8,,36,,,,16,5,,31,19,4,43,16,,23,2.25,nan,nan,nan,5.0,2.05,4.791666666666666,nan,nan,nan,nan,nan,nan,nan,nan,8.0,nan,2.716666666666667
437,Cyclobalanopsis disciformis,,,,18,28,,,,,4,,,,33,,,,,,,31,26,4,,,,43,3.25,nan,nan,nan,nan,2.0,8.5,nan,nan,nan,nan,nan,nan,4.0,nan,12.0,nan,2.9375
438,Cyclobalanopsis dongfangensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
439,Cyclobalanopsis edithiae,6,,,,31,,,,,15,,,,27,,,,2,41,,8,29,7,4,,,23,4.0,nan,nan,nan,nan,2.325,6.5,nan,1.0,nan,1.5,nan,nan,2.5,nan,20.0,nan,3.3666666666666663
440,Cyclobalanopsis elevaticostata,,,,3,,,,,,15,,12,,27,,,,2,23,,8,32,17,43,24,,17,4.0,nan,nan,nan,nan,1.1,8.625,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,3.3666666666666667
441,Cyclobalanopsis fleuryi,,,,3,28,,,,,15,,11,,27,,,,16,9,,31,29,,9,32,,23,6.5,nan,nan,3.25,3.25,2.5,11.116666666666667,nan,6.5,nan,nan,nan,nan,nan,nan,25.0,nan,5.125
442,Cyclobalanopsis fuliginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
443,Cyclobalanopsis gambleana,,,,3,22,,,,15,4,,6,,36,,,,16,5,8,31,19,3,,11,,82,3.5,nan,nan,nan,nan,1.65,9.75,nan,nan,nan,1.0,nan,nan,1.0,nan,20.0,nan,3.6666666666666665
444,Cyclobalanopsis gilva,,,,3,17,,,,,5,,11,,27,,,,16,5,,21,31,4,39,16,,41,2.75,nan,nan,nan,nan,1.225,5.125,nan,nan,nan,1.0,nan,nan,1.0,nan,30.0,nan,4.75
445,Cyclobalanopsis glauca,,,,3,7,,,,,5,,,,27,,,,2,,,8,63,23,,11,,47,3.75,nan,nan,nan,nan,1.15,5.75,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,3.7875
446,Cyclobalanopsis glaucoides,,,,3,18,,,,34,4,,25,,27,,,,16,23,,31,29,3,,,,17,3.5,nan,nan,nan,nan,5.425,4.875,nan,nan,nan,1.75,nan,nan,nan,nan,20.0,nan,4.566666666666666
447,Cyclobalanopsis gracilis,6,,,18,,,,,,15,,,,27,,,,16,23,,,19,,,,,46,2.25,nan,nan,nan,nan,1.15,4.0,nan,nan,nan,1.25,nan,nan,nan,nan,15.0,nan,4.583333333333334
448,Cyclobalanopsis helferiana,,,,32,31,,,,,15,,6,,36,,,,9,7,,31,16,14,14,11,,23,6.0,nan,nan,2.15,7.5,1.85,7.5,nan,2.0,nan,nan,nan,nan,1.6,nan,20.0,nan,1.3666666666666667
449,Cyclobalanopsis hui,,,,3,28,,,,,5,0,11,,27,,,,16,5,,31,74,,,11,,23,2.25,nan,nan,nan,nan,2.125,5.6,nan,nan,nan,1.5,nan,nan,1.0,nan,12.5,nan,5.354166666666666
450,Cyclobalanopsis hypophaea,,,,3,,,,,,5,,37,,27,12,,,4,23,,22,19,,36,16,,87,1.65,nan,nan,nan,nan,1.5,6.333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,4.2
451,Cyclobalanopsis jenseniana,,,,18,,,,,,5,,6,,27,,,,2,,,8,63,24,43,16,,86,7.0,nan,nan,nan,nan,1.4,10.0,nan,nan,nan,4.0,nan,nan,1.0,nan,35.0,nan,3.8874999999999997
452,Cyclobalanopsis jinpinensis,,,,3,7,,,,34,5,,,,36,,,,9,,,8,63,,,,,23,3.75,nan,1.8,nan,nan,1.5,4.625,nan,nan,nan,1.5,nan,nan,nan,nan,nan,nan,1.8
