,taxon,leaf_part_margin,leaf position,fruit_part_apex_shape,leaf_part_apex_shape,fruit_part_surface,flower_part_surface,leaf_part_venation_lateral,leaf_part_hair_shape,inflorescence_shape,leaf_part_venation,fruit_part_venation,part_color,article_surface,leaf_part_base_shape,leaf_part_hair_surface,leaf_part_lobe_shape,phyllichnia_shape,part_surface,leaf_part_color,inflorescence_surface,leaf_part_surface,fruit_part_shape,fruit_part_color,part_shape,leaf_part_margin_margin,flower_part_shape,leaf_part_shape,leaf_part_size_width,branch_length,inflorescence_size_width,part_size_width,part_size_length,fruit_part_size_width,leaf_part_size_length,part_size_diameter,part_size_thickness,article_width,inflorescence_size_length,fruit_part_size_thickness,article_length,leaf_part_size_thickness,leaflet_number,part_size_height,flower_part_size_length,fruit_part_size_length
244,Betula gmelinii,,,,33,,,1,,23,,,2,,27,,14,,9,,,8,35,,,24,,79,1.75,nan,8.5,nan,nan,1.5,4.25,nan,nan,nan,1.6,nan,nan,nan,nan,3.0,4.5,3.0
245,Betula gynoterminalis,1,,,3,,,0,,29,4,,33,,27,,13,,2,43,,8,,,,24,,57,6.75,nan,nan,nan,nan,1.5,10.666666666666668,nan,nan,nan,nan,nan,nan,nan,nan,7.0,6.0,2.0
246,Betula halophila,1,,,8,18,7,1,,23,,,8,,,,27,,3,,,22,60,,,21,,79,2.1,nan,1.1,nan,nan,1.5,4.0,nan,nan,nan,2.5,nan,nan,nan,nan,3.0,6.5,2.0
247,Betula humilis,1,,,8,,3,1,,23,,,1,,27,,14,,9,,,8,50,,,24,,57,1.05,nan,5.0,nan,nan,1.5,3.125,nan,nan,nan,1.25,nan,nan,nan,nan,2.0,2.0,2.0
248,Betula insignis,1,,,3,7,,0,,23,15,,2,,25,,7,,9,,,22,50,,,21,,17,4.5,nan,nan,nan,nan,1.5,7.133333333333333,nan,nan,nan,nan,nan,nan,nan,nan,25.0,3.25,4.0
249,Betula jinpingensis,1,,,3,,,1,,23,5,,19,,36,,9,,2,,,8,34,,,24,,34,4.25,nan,1.1,nan,nan,nan,6.666666666666666,nan,nan,nan,4.5,nan,nan,nan,nan,nan,6.5,2.0
250,Betula jiulungensis,,,,3,,,0,,23,4,,6,,,,14,,2,43,,24,60,,,14,,57,1.85,nan,6.5,nan,nan,1.5,4.166666666666667,nan,nan,nan,1.5,nan,nan,nan,nan,12.0,2.0,2.0
251,Betula luminifera,,,,18,18,7,1,,29,,,6,,36,,14,,15,,,22,54,,,25,,43,4.25,nan,8.0,nan,nan,nan,3.75,nan,nan,nan,6.0,nan,nan,nan,nan,25.0,1.5,2.0
252,Betula microphylla,1,,,32,18,,0,,23,,,19,,27,,14,,9,,,22,60,,,24,,79,2.25,nan,7.5,nan,nan,1.5,4.0,nan,nan,nan,1.75,nan,nan,nan,nan,6.0,7.5,2.5
253,Betula microphylla var. ebinurica,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
