,taxon,taxon_id,link,path,part_color,leaf_part_hair_surface,fruit_part_venation,leaf_part_apex_shape,part_shape,fruit_part_shape,leaf_part_color,leaf_part_base_shape,leaf_part_venation,leaf_part_shape,leaf_part_surface,leaf_part_margin,leaf_part_hair_shape,part_surface,flower_part_shape,flower_part_surface,fruit_part_surface,leaf_part_venation_lateral,fruit_part_color,leaf_part_lobe_shape,leaf_part_margin_margin,inflorescence_shape,part_size_length,inflorescence_size_width,flower_part_size_length,fruit_part_size_length,inflorescence_size_length,fruit_part_size_width,leaf_part_size_length,leaf_part_size_width,part_size_height,leaf_part_size_thickness,part_size_diameter
0,Alnus,101157,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=101157,data/eFloras/Betulaceae_1/treatments/taxon_id_101157.html,"['red', 'white']",[],[],[],"['', 'valvate', 'ellipsoid', 'ovoid']",['pendulous'],[],[],[],['ovate'],"['surface', 'glandular', 'tomentose', 'glabrous']","['serrate', 'serrulate', 'entire']",[],['smooth'],[],[],[],[],[],[],['doubly serrate'],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,Alnus glutinosa,233500032,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500032,data/eFloras/Betulaceae_1/treatments/taxon_id_233500032.html,['brown'],[],[],"['retuse', 'obcordate']","['valvate', 'ellipsoid', 'obovoid']","['obovate', 'ovoid', 'spheric']",[],"['obtuse', 'cuneate']",['vein'],['obovate'],"['surface', 'pubescent', 'glabrous']","['doubly serrate', 'dentate']",[],['smooth'],[],[],[],[],[],[],[],[],4.0,nan,5.5,1.85,nan,1.25,6.0,5.5,nan,nan,nan
2,Alnus incana,233500033,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500033,data/eFloras/Betulaceae_1/treatments/taxon_id_233500033.html,"['brown', 'gray', 'red']",[],[],"['acute', 'obtuse', 'acuminate']","['valvate', 'ellipsoid', 'bilaterally symmetric']","['', 'obovate', 'elliptic', 'bilaterally symmetric', 'ovoid']",[],"['cuneate', 'orbicular']",[],['ovate'],[],[],[],['smooth'],[],[],[],[],[],[],['doubly serrate'],[],2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,Alnus incana subsp. rugosa,233500034,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500034,data/eFloras/Betulaceae_1/treatments/taxon_id_233500034.html,"['gray', 'white', 'brown-red']",[],[],"['acute', 'obtuse', 'acuminate']",['ellipsoid'],['ovoid'],['glaucous'],"['cuneate', 'orbicular']",['vein'],['ovate'],"['surface', 'pubescent', 'glabrous']",['toothed'],[],['smooth'],[],[],[],[],[],[],['doubly serrate'],[],2.5,nan,3.0,1.35,nan,1.0,7.5,5.5,nan,nan,nan
4,Alnus incana subsp. tenuifolia,233500035,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500035,data/eFloras/Betulaceae_1/treatments/taxon_id_233500035.html,"['brown', 'gray']",[],[],"['acute', 'obtuse']","['valvate', 'elliptic', 'ellipsoid', 'orbicular']",['ovoid'],[],"['cuneate', 'orbicular']",[],['ovate'],"['surface', 'pubescent', 'glabrous']",[],[],['smooth'],[],[],[],[],[],[],"['doubly serrate', 'lobulate', 'crenate']",[],2.5,nan,3.0,1.5,nan,1.05,7.0,5.25,nan,nan,nan
5,Alnus maritima,233500036,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500036,data/eFloras/Betulaceae_1/treatments/taxon_id_233500036.html,['gray'],[],[],['acute'],"['ellipsoid', 'ovoid']","['elliptic', 'ovoid']",[],"['acute', 'cuneate']",[],['elliptic'],"['surface', 'glabrous']",[],[],['smooth'],[],[],[],[],[],[],[],[],1.75,nan,7.5,2.0,nan,1.7000000000000002,6.75,3.5,nan,nan,nan
6,Alnus oblongifolia,233500037,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500037,data/eFloras/Betulaceae_1/treatments/taxon_id_233500037.html,"['black', 'gray']",[],[],['acuminate'],['ovoid'],"['', 'obovate', 'ellipsoid', 'elliptic', 'bilaterally symmetric', 'ovoid']",[],"['cuneate', 'orbicular']",[],['valvate'],"['surface', 'villose', 'pubescent', 'glabrous']","['doubly serrate', 'serrate']",[],['smooth'],[],[],[],[],[],[],[],[],2.75,nan,7.5,1.75,nan,1.15,7.0,4.5,nan,nan,nan
7,Alnus rhombifolia,233500038,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500038,data/eFloras/Betulaceae_1/treatments/taxon_id_233500038.html,['gray'],[],[],"['acute', 'orbicular', 'obtuse']","['ellipsoid', 'obovoid']","['', 'elliptic', 'ovoid', 'bilaterally symmetric']",[],"['cuneate', 'orbicular']",[],['valvate'],"['surface', 'pubescent', 'villose']","['serrate', 'serrulate']",[],['smooth'],[],[],[],[],[],[],[],[],3.0,nan,5.5,1.6,nan,0.85,6.5,3.5,nan,nan,nan
8,Alnus rubra,233500039,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500039,data/eFloras/Betulaceae_1/treatments/taxon_id_233500039.html,['gray'],[],[],"['acute', 'obtuse']","['valvate', 'ellipsoid', 'rhomboid']","['obovate', 'elliptic', 'ovate', 'ovoid', 'spheric']",[],"['cuneate', 'orbicular']",[],['ovate'],"['surface', 'pubescent', 'glabrous']","['doubly serrate', 'crenate']",[],['smooth'],[],[],[],[],[],[],[],[],4.0,nan,5.5,2.25,nan,1.05,11.0,7.0,nan,nan,nan
9,Alnus serrulata,233500040,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500040,data/eFloras/Betulaceae_1/treatments/taxon_id_233500040.html,['gray'],[],[],"['obtuse', 'orbicular']","['valvate', 'ellipsoid', 'obovoid']","['obovate', 'elliptic', 'ellipsoid-ovoid']",[],['cuneate'],[],['elliptic'],"['surface', 'villose', 'glabrous']",['serrulate'],[],['smooth'],[],[],[],[],[],[],[],[],2.5,nan,2.0,1.6,nan,0.8999999999999999,9.5,5.75,nan,nan,nan
10,Alnus viridis,233500041,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500041,data/eFloras/Betulaceae_1/treatments/taxon_id_233500041.html,[],[],[],"['acute', 'orbicular']",['ovoid'],"['', 'obovate', 'ellipsoid', 'elliptic', 'ovoid']",[],['orbicular'],[],['ovate'],"['surface', 'tomentose', 'glabrous']",[],[],['smooth'],[],[],[],[],[],[],"['doubly serrate', 'serrulate']",[],1.0,nan,nan,nan,nan,nan,7.0,5.5,nan,nan,nan
11,Alnus viridis subsp. crispa,233500042,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500042,data/eFloras/Betulaceae_1/treatments/taxon_id_233500042.html,['brown-gray'],[],[],"['acute', 'obtuse']",[],[],['green'],['orbicular'],[],['ovate'],"['surface', 'tomentose', 'glabrous']",[],[],[],[],[],[],[],[],[],"['serrate', 'serrulate']",[],3.0,nan,3.0,1.6,nan,0.85,4.75,4.0,nan,nan,nan
12,Alnus viridis subsp. fruticosa,233500043,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500043,data/eFloras/Betulaceae_1/treatments/taxon_id_233500043.html,['brown-gray'],[],[],"['acute', 'acuminate']",[],[],['green'],"['cordate', 'truncate', 'orbicular']",['vein'],['ovate'],"['surface', 'pubescent', 'glabrous']",['doubly serrate'],[],[],[],[],[],[],[],[],[],[],3.0,nan,2.0,1.6,nan,0.85,6.5,4.5,nan,nan,nan
13,Alnus viridis subsp. sinuata,233500044,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500044,data/eFloras/Betulaceae_1/treatments/taxon_id_233500044.html,"['gray', 'brown-red']",[],[],['acuminate'],[],[],['green-yellow'],"['cordate', 'orbicular']",[],['ovate'],"['surface', 'pubescent', 'glabrous']",['doubly serrate'],[],[],[],[],[],[],[],[],[],[],5.0,nan,2.0,2.0,nan,1.05,7.0,5.5,nan,nan,nan
14,Betula,103887,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=103887,data/eFloras/Betulaceae_1/treatments/taxon_id_103887.html,"['white', 'brown-red']",[],[],[],"['', 'slender']",['pendulous'],[],[],[],['ovate'],"['surface', 'glandular', 'tomentose', 'glabrous']",[],[],['smooth'],[],[],[],[],[],[],"['doubly serrate', 'serrate', 'crenate']",[],nan,nan,nan,nan,nan,nan,5.25,4.25,nan,nan,nan
15,Betula alleghaniensis,233500246,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500246,data/eFloras/Betulaceae_1/treatments/taxon_id_233500246.html,[],[],[],['acuminate'],['straight'],"['ovoid', 'orbicular']",[],"['cordate', 'cuneate', 'orbicular']",[],['ovate'],"['surface', 'pubescent']",[],[],"['pubescent', 'glabrous']",[],[],[],['vein'],[],[],['doubly serrate'],[],nan,nan,nan,2.25,nan,1.75,8.0,4.25,nan,nan,nan
16,Betula cordifolia,233500247,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500247,data/eFloras/Betulaceae_1/treatments/taxon_id_233500247.html,[],[],[],['acuminate'],['bilaterally symmetric'],"['', 'obtuse', 'pendulous']",[],['cordate'],[],['ovate'],['pubescent'],[],[],"['pubescent', 'glabrous']",[],[],[],['vein'],[],[],['doubly serrate'],[],nan,nan,nan,4.0,nan,0.8,8.0,6.0,nan,nan,nan
17,Betula glandulosa,233500248,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500248,data/eFloras/Betulaceae_1/treatments/taxon_id_233500248.html,['brown'],[],[],"['obtuse', 'orbicular']",[],[''],[],"['cuneate', 'orbicular']",[],['obovate'],"['surface', 'pubescent', 'glabrous']",[],[],"['smooth', 'pubescent', 'glabrous']",[],[],[],['vein'],[],[],['crenate-dentate'],[],nan,nan,nan,1.75,nan,0.85,1.75,1.75,nan,nan,nan
18,Betula kenaica,233500249,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500249,data/eFloras/Betulaceae_1/treatments/taxon_id_233500249.html,"['gray-white', 'pink', 'brown-red']",[],[],"['acute', 'acuminate']",[],"['', 'pendulous']",[],"['cuneate', 'orbicular']",[],['ovate'],"['surface', 'pubescent']",[],[],"['smooth', 'pubescent']",[],[],[],['vein'],[],[],"['doubly serrate', 'dentate']",[],nan,nan,nan,3.5,nan,0.75,4.5,3.5,nan,nan,nan
19,Betula lenta,233500250,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500250,data/eFloras/Betulaceae_1/treatments/taxon_id_233500250.html,[],[],[],['acuminate'],['straight'],"['ovoid', 'spheric', 'cuneate']",[],"['cordate', 'orbicular']",[],['ovate'],"['surface', 'glabrous']",[],[],"['pubescent', 'glabrous']",[],[],[],['vein'],[],[],"['doubly serrate', 'serrate']",[],nan,nan,nan,2.75,nan,2.0,7.5,4.5,nan,nan,nan
20,Betula michauxii,233500251,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500251,data/eFloras/Betulaceae_1/treatments/taxon_id_233500251.html,['brown'],[],[],"['truncate', 'orbicular']",['orbicular'],[''],[],['cuneate'],[],['obovate-reniform'],"['surface', 'glabrous']",[],[],"['smooth', 'pubescent']",[],[],['glabrous'],['vein'],[],[],['crenate-dentate'],[],nan,nan,nan,0.75,nan,0.65,0.75,0.85,nan,nan,nan
21,Betula minor,233500252,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500252,data/eFloras/Betulaceae_1/treatments/taxon_id_233500252.html,['brown-red'],[],[],"['acute', 'obtuse']",[],[''],[],"['truncate', 'cuneate', 'orbicular']",['vein'],['ovate'],"['surface', 'pubescent', 'glabrous']",['toothed'],[],"['smooth', 'pubescent', 'glabrous']",[],[],[],['vein'],[],[],['doubly serrate'],[],nan,nan,nan,2.0,nan,0.75,3.5,2.25,nan,nan,nan
22,Betula murrayana,233500253,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500253,data/eFloras/Betulaceae_1/treatments/taxon_id_233500253.html,[],[],[],"['acute', 'acuminate']",[],['ovoid'],[],['cuneate'],[],['ovate'],"['surface', 'pubescent', 'glabrous']",[],[],"['pubescent', 'glabrous']",[],[],[],['vein'],[],[],['doubly serrate'],[],nan,nan,nan,3.0,nan,2.25,8.0,4.5,nan,nan,nan
23,Betula nana,233500254,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500254,data/eFloras/Betulaceae_1/treatments/taxon_id_233500254.html,"['brown', 'gray']",[],[],['orbicular'],[],[''],[],"['cordate', 'orbicular']",[],['orbicular'],"['surface', 'pubescent', 'glabrous']",[],[],"['smooth', 'pubescent', 'glabrous']",[],[],[],['vein'],[],[],['crenate'],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,Betula nana subsp. exilis,233500255,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500255,data/eFloras/Betulaceae_1/treatments/taxon_id_233500255.html,['brown-red'],[],['parallel'],[],[],[],[],"['cuneate', 'cordate', 'orbicular']",[],['orbicular'],"['surface', 'glabrous']",[],[],"['pubescent', 'glabrous']",[],[],[],[],[],[],[],[],nan,nan,nan,0.85,nan,0.6,0.85,1.05,nan,nan,nan
25,Betula nana subsp. nana,233500256,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500256,data/eFloras/Betulaceae_1/treatments/taxon_id_233500256.html,['brown'],[],[],[],[],[],[],"['cordate', 'cuneate', 'orbicular']",[],['orbicular'],"['surface', 'pubescent', 'glabrous']",[],[],['pubescent'],[],[],[],[],[],[],[],[],nan,nan,nan,1.0,nan,0.7,1.15,1.4,nan,nan,nan
26,Betula neoalaskana,233500257,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500257,data/eFloras/Betulaceae_1/treatments/taxon_id_233500257.html,[],[],[],['acuminate'],[],"['', 'pendulous']",[],"['cuneate', 'orbicular']",[],['deltoid-ovate'],"['surface', 'pubescent', 'glabrous']",[],[],['glabrous'],[],[],[],['vein'],[],[],['doubly serrate'],[],nan,nan,nan,3.0,nan,1.0,5.5,4.0,nan,nan,nan
27,Betula nigra,233500258,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500258,data/eFloras/Betulaceae_1/treatments/taxon_id_233500258.html,[],[],[],['acuminate'],[],"['spheric', 'elongate']",[],"['cuneate', 'truncate']",[],['ovate-rhomboic'],"['surface', 'pubescent']",[],[],"['pubescent', 'glabrous']",[],[],[],['vein'],[],[],"['doubly serrate', 'dentate']",[],nan,nan,nan,2.25,nan,1.75,6.0,4.5,nan,nan,nan
28,Betula occidentalis,233500259,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500259,data/eFloras/Betulaceae_1/treatments/taxon_id_233500259.html,"['bronze', 'red', 'brown-red']",[],[],"['acute', 'acuminate']",[],"['', 'pendulous']",[],"['cuneate', 'truncate', 'orbicular']",[],['ovate'],"['surface', 'pubescent']",[],[],"['smooth', 'pubescent', 'glabrous']",[],[],[],['vein'],[],[],"['doubly serrate', 'serrate']",[],nan,nan,nan,2.5,nan,1.15,3.9,2.75,nan,nan,nan
29,Betula papyrifera,233500260,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500260,data/eFloras/Betulaceae_1/treatments/taxon_id_233500260.html,[],[],[],"['acute', 'acuminate']",[],"['', 'obtuse', 'pendulous']",[],['orbicular'],[],['ovate'],"['surface', 'pubescent']",[],[],['pubescent'],[],[],[],['vein'],[],[],"['doubly serrate', 'dentate-serrate']",[],20.0,nan,nan,3.75,nan,0.8999999999999999,7.0,5.5,nan,nan,nan
30,Betula pendula,200006160,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200006160,data/eFloras/Betulaceae_1/treatments/taxon_id_200006160.html,[],[],[],['acuminate'],['pendulous'],"['', 'orbicular', 'pendulous']",[],['cuneate'],[],['ovate'],"['surface', 'pubescent', 'glabrous']",[],[],['glabrous'],[],[],[],['vein'],[],[],['doubly serrate'],[],nan,nan,nan,2.75,nan,0.8,5.0,3.75,nan,nan,nan
31,Betula populifolia,233500261,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500261,data/eFloras/Betulaceae_1/treatments/taxon_id_233500261.html,"['gray-white', 'brown-red']",[],[],['acuminate'],[],"['', 'acute', 'pendulous', 'angular']",[],"['cuneate', 'truncate']",[],['ovate'],"['surface', 'pubescent', 'glabrous']",['doubly serrate'],[],"['smooth', 'pubescent', 'glabrous']",[],[],[],['vein'],[],[],[],[],nan,nan,nan,1.75,nan,0.9,6.5,5.5,nan,nan,nan
