,taxon,taxon_id,link,path,part_color,leaf_part_hair_surface,fruit_part_venation,leaf_part_apex_shape,part_shape,fruit_part_shape,leaf_part_color,leaf_part_base_shape,leaf_part_venation,leaf_part_shape,leaf_part_surface,leaf_part_margin,leaf_part_hair_shape,part_surface,flower_part_shape,flower_part_surface,fruit_part_surface,leaf_part_venation_lateral,fruit_part_color,leaf_part_lobe_shape,leaf_part_margin_margin,inflorescence_shape,part_size_length,inflorescence_size_width,flower_part_size_length,fruit_part_size_length,inflorescence_size_length,fruit_part_size_width,leaf_part_size_length,leaf_part_size_width,part_size_height,leaf_part_size_thickness,part_size_diameter
32,Betula pubescens,233500262,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500262,data/eFloras/Betulaceae_1/treatments/taxon_id_233500262.html,"['brown', 'gray-white', 'tan', 'brown-red']",[],[],['acute'],[],[],[],[],[],['ovate'],"['surface', 'pubescent']",[],[],['smooth'],[],[],[],[],[],[],['serrate'],"['', 'pendulous']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,Betula pubescens subsp. pubescens,233500263,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500263,data/eFloras/Betulaceae_1/treatments/taxon_id_233500263.html,[],[],[],['acute'],[],[],[],['orbicular'],[],['ovate'],"['surface', 'pubescent']",[],[],[],[],[],[],[],[],[],"['toothed', 'dentate']",[],nan,1.0,nan,nan,2.5,nan,3.5,3.0,nan,nan,nan
34,Betula pubescens subsp. tortuosa,233500264,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500264,data/eFloras/Betulaceae_1/treatments/taxon_id_233500264.html,[],[],[],['acute'],[],[],[],"['cuneate', 'truncate']",[],['ovate'],"['surface', 'pubescent']",[],[],[],[],[],[],[],[],[],"['serrate', 'dentate']",[],1.0,nan,nan,1.25,nan,0.6000000000000001,1.75,1.5,nan,nan,nan
35,Betula pumila,233500265,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500265,data/eFloras/Betulaceae_1/treatments/taxon_id_233500265.html,['brown-red'],[],[],"['acute', 'orbicular', 'obtuse']",['bilaterally symmetric'],"['', 'elongate']",[],"['cuneate', 'orbicular']",[],['elliptic'],"['surface', 'pubescent', 'tomentose', 'glabrous']",[],[],"['smooth', 'pubescent', 'glabrous']",[],[],[],['vein'],[],[],"['dentate', 'crenate']",[],nan,nan,nan,1.15,nan,0.9,3.75,3.0,nan,nan,nan
36,Betula uber,233500266,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500266,data/eFloras/Betulaceae_1/treatments/taxon_id_233500266.html,['brown'],[],[],"['obtuse', 'orbicular']",['slender'],['ellipsoid'],[],"['truncate', 'cordate', 'orbicular']",[],['orbicular'],"['surface', 'pubescent', 'glabrous']",[],[],"['smooth', 'glabrous']",[],[],[],['vein'],[],[],"['serrate', 'dentate']",[],nan,nan,nan,1.5,nan,1.25,3.5,3.0,nan,nan,nan
37,Betulaceae,10101,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=10101,data/eFloras/Betulaceae_1/treatments/taxon_id_10101.html,[],[],[],[],[],['straight'],[],[],['veined'],[],"['surface', 'tomentose', 'glabrous']","['serrate', 'entire']",[],[],[],[],['membranous'],[],[],[],['toothed'],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,Betuloideae,20501,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=20501,data/eFloras/Betulaceae_1/treatments/taxon_id_20501.html,[],[],[],[],['triangular'],['conelike'],[],[],[],[],[],[],[],[],[],[],['membranous'],[],[],[],[],[],nan,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan
39,Carpinus,105705,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=105705,data/eFloras/Betulaceae_1/treatments/taxon_id_105705.html,"['brown', 'white']",[],['rib'],[],['ovoid'],['deltoid'],[],[],[],['ovate'],"['surface', 'tomentose', 'glabrous']",[],[],['smooth'],[],[],[],['vein'],[],[],"['doubly serrate', 'serrulate']",[],8.0,nan,nan,nan,nan,nan,7.5,4.5,nan,nan,nan
40,Carpinus caroliniana,233500311,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500311,data/eFloras/Betulaceae_1/treatments/taxon_id_233500311.html,"['gray', 'white']",[],[],['acute'],[],[],[],[],['vein'],['ovate'],"['surface', 'pubescent']",[],[],['smooth'],[],[],[],[],[],[],['doubly serrate'],[],nan,4.5,nan,7.25,7.5,nan,3.125,2.0999999999999996,nan,nan,nan
41,Carpinus caroliniana subsp. caroliniana,233500312,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500312,data/eFloras/Betulaceae_1/treatments/taxon_id_233500312.html,"['gray', 'brown-gray']",[],[],"['acute', 'obtuse']",[],[],[],"['cordate', 'orbicular']",['vein'],['ovate'],"['surface', 'pubescent']",[],[],['smooth'],[],[],[],[],[],[],['doubly serrate'],[],nan,4.5,nan,4.75,5.75,nan,3.0,1.8499999999999999,nan,nan,nan
42,Carpinus caroliniana subsp. virginiana,233500313,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500313,data/eFloras/Betulaceae_1/treatments/taxon_id_233500313.html,['blue-gray'],[],[],['caudate'],[],[],[],"['cordate', 'orbicular']",['vein'],['ovate'],"['surface', 'pubescent']",[],[],['smooth'],[],[],[],[],[],['triangular'],['doubly serrate'],[],nan,nan,nan,8.25,nan,nan,6.5,3.45,nan,nan,nan
43,Coryloideae,20502,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=20502,data/eFloras/Betulaceae_1/treatments/taxon_id_20502.html,[],[],[],[],"['orbicular', 'triangular']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan
44,Corylus,108088,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=108088,data/eFloras/Betulaceae_1/treatments/taxon_id_108088.html,"['brown', 'brown-gray', 'white']",[],['rib'],[],['ovoid'],"['ovoid', 'spheric']",[],['cordate'],[],['ovate'],"['surface', 'hairy', 'glandular', 'pubescent']",['spiny'],[],['smooth'],[],[],[],['vein'],[],[],['doubly serrate'],[],nan,nan,nan,nan,nan,nan,8.0,7.75,nan,nan,nan
45,Corylus americana,233500448,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500448,data/eFloras/Betulaceae_1/treatments/taxon_id_233500448.html,['gray'],[],[],['acuminate'],['orbicular'],[],[],"['cordate', 'orbicular']",[],['ovate'],"['surface', 'glandular', 'pubescent']",[],[],"['smooth', 'pubescent']",[],"['surface', 'glandular', 'downy', 'pubescent']",[],[],[],['straight'],"['doubly serrate', 'serrate']",['ovoid'],3.0,3.5,nan,3.0,3.5,nan,10.5,8.0,nan,nan,nan
46,Corylus avellana,233500449,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500449,data/eFloras/Betulaceae_1/treatments/taxon_id_233500449.html,['brown'],['glandular'],[],['acuminate'],[],[],[],"['cordate', 'orbicular']",[],['ovate'],['pubescent'],[],[],"['smooth', 'pubescent']",[],"['surface', 'pubescent']",[],[],[],[],['doubly serrate'],['ovoid'],5.0,3.5,nan,8.5,5.5,nan,8.5,8.0,nan,nan,nan
47,Corylus cornuta,233500450,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500450,data/eFloras/Betulaceae_1/treatments/taxon_id_233500450.html,['brown'],['glandular'],[],"['acuminate', 'acute', 'obtuse', 'angular']",[],['tubular'],[],"['cordate', 'orbicular']",[],['orbicular'],"['surface', 'pubescent', 'glabrous']",[],[],"['smooth', 'pubescent', 'glabrous']",[],[],[],[],[],[],['doubly serrate'],"['acute', 'ovoid']",4.0,3.5,5.25,nan,4.0,nan,7.0,7.75,nan,nan,nan
48,Corylus cornuta subsp. californica,233500451,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500451,data/eFloras/Betulaceae_1/treatments/taxon_id_233500451.html,"['brown', 'black']",['glandular'],[],"['acute', 'obtuse']",[],['tubular'],[],['cordate'],[],['orbicular'],['pubescent'],[],[],['pubescent'],[],[],['hispid'],[],[],[],['doubly serrate'],['ovoid'],8.0,4.0,nan,7.5,4.0,nan,5.5,5.25,nan,nan,nan
49,Corylus cornuta subsp. cornuta,233500452,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500452,data/eFloras/Betulaceae_1/treatments/taxon_id_233500452.html,['brown'],['glandular'],[],"['angular', 'acuminate']",[],['tubular'],[],"['cordate', 'orbicular']",[],['ovate'],"['surface', 'pubescent', 'glabrous']",[],[],"['smooth', 'pubescent', 'glabrous']",[],[],[],[],[],[],['doubly serrate'],['ovoid'],6.0,3.5,nan,1.25,4.0,nan,8.5,6.25,nan,nan,nan
50,Ostrya,123370,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=123370,data/eFloras/Betulaceae_1/treatments/taxon_id_123370.html,"['brown', 'white']",[],['rib'],[],['ovoid'],['ovoid'],[],[],[],['ovate'],"['surface', 'tomentose', 'glabrous']",[],[],[],[],[],[],['vein'],[],[],"['doubly serrate', 'serrulate']",[],9.0,3.75,nan,nan,7.75,nan,nan,nan,nan,nan,nan
51,Ostrya chisosensis,233500837,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500837,data/eFloras/Betulaceae_1/treatments/taxon_id_233500837.html,['brown-gray'],[],[],"['acute', 'obtuse']",[''],[],[],"['cuneate', 'cordate', 'orbicular']",['vein'],['elliptic'],"['surface', 'pubescent', 'glabrous']",[],[],['pubescent'],[],[],[],[],[],[],['doubly serrate'],[],nan,nan,nan,3.0,nan,2.0,2.825,1.625,nan,nan,nan
52,Ostrya knowltonii,233500838,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500838,data/eFloras/Betulaceae_1/treatments/taxon_id_233500838.html,['brown-gray'],[],[],['acute'],['orbicular'],[],[],"['cuneate', 'cordate', 'orbicular']",['vein'],['ovate'],"['surface', 'pubescent']",[],[],['pubescent'],[],[],[],[],[],[],['doubly serrate'],[],nan,nan,nan,3.25,nan,2.15,2.95,2.0,nan,nan,nan
53,Ostrya virginiana,233500839,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500839,data/eFloras/Betulaceae_1/treatments/taxon_id_233500839.html,"['gray', 'brown-gray']",[],[],['acuminate'],['orbicular'],[],[],"['cuneate', 'cordate', 'orbicular']",['vein'],['ovate'],"['surface', 'villose', 'pubescent', 'glabrous']",[],[],['pubescent'],[],[],[],[],[],[],['doubly serrate'],[],nan,nan,nan,5.0,nan,2.25,5.2,2.7,nan,nan,nan
54,Casuarina,105837,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=105837,data/eFloras/Casuarinaceae_1/treatments/taxon_id_105837.html,[],[],[],[],[],[],[],[],[],[],['surface'],[],[],[],[],[],"['pubescent', 'glabrous']",[],"['gray', 'brown-yellow']",[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
