flower_part_shape
,0
acute-attenuate,1
branched,2
cup-shaped,3
cymbiform,4
dilated,5
fused,6
hemispheric,7
linear-spatulate,8
ovate,9
pendulous,10
saucerlike,11
slender,12
subglobose,13
subulate,14
turbinate,15
