inflorescence_shape
,0
acute,1
angulate,2
bilaterally symmetric,3
branched,4
campanulate,5
capitulate,6
conelike,7
cup-shaped,8
cupular,9
cymbiform,10
disk,11
ellipsoid,12
ellipsoid-ovoid,13
elongate,14
hemispheric,15
obconic,16
oblong,17
oblong-ovoid,18
orbicular,19
ovoid,20
pendulous,21
recurved,22
saucerlike,23
spheric,24
spikelike,25
spikes,26
stalked,27
stellate,28
subglobose,29
symmetric,30
truncate,31
turbinate,32
