,taxon,leaf_part_margin_margin,part_apex_shape,flower_part_surface,leaf_part_hair_shape,fruit_part_apex_shape,part_color,leaf_part_axil_venation_lateral,fruit_part_shape,leaf_part_hair_surface,leaf_part_lobe_shape,leaf_part_margin_margin_apical,leaf_part_hair_venation,part_shape,leaf_part_surface,fruit_part_venation,leaf_part_base_shape,fruit_part_surface,leaf_part_margin,leaf_part_venation_lateral,leaf_part_shape,flower_part_shape,leaf_part_hair_color,leaf_part_trichome_color,fruit_part_color,part_color_terminal,leaf_part_apex_shape,leaf_part_color,part_surface,leaf_part_venation,inflorescence_surface,inflorescence_shape,leaf_part_size_length,inflorescence_size_length,part_size_height,part_size_thickness,leaf_part_size_width,inflorescence_size_width,fruit_part_size_thickness,fruit_part_size_width,fruit_part_size_length,part_size_diameter,inflorescence_size_male_length,flower_part_size_length,part_size_width,part_size_length,leaf_part_size_thickness
0,Alnus,['14'],"['7', '1']",[],[],[],"['37', '35']",[],['47'],[],[],[],[],"['0', '28', '15', '47']","['5', '4', '19', '20']",[],[],[],"['9', '16', '18']",[],['39'],[],[],[],[],[],[],[],['15'],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,nan
1,Alnus glutinosa,[],['6'],[],[],[],['6'],[],"['44', '38', '52']",[],[],[],[],"['47', '15', '24']","['4', '19', '13']",[],"['13', '9']",[],"['5', '8']",[],['35'],[],[],[],[],[],"['16', '23']",[],['15'],['9'],[],[],6.0,nan,nan,nan,5.5,nan,nan,1.25,1.85,nan,nan,5.5,nan,7.833333333333333,nan
2,Alnus incana,['14'],"['7', '1']",[],[],[],"['6', '35', '19']",[],"['0', '44', '24', '6', '38']",[],[],[],[],"['7', '15', '47']",[],[],"['9', '14']",[],[],[],['39'],[],[],[],[],[],"['18', '0', '3']",[],['15'],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.75,nan
3,Alnus incana subsp. rugosa,['14'],"['6', '1']",[],[],[],"['37', '13', '19']",[],['44'],[],[],[],[],['15'],"['4', '19', '13']",[],"['9', '14']",[],['21'],[],['39'],[],[],[],[],[],"['18', '0', '3']",['13'],['15'],['9'],[],[],7.5,nan,nan,nan,5.5,nan,nan,1.0,1.35,nan,nan,3.0,nan,4.583333333333334,nan
4,Alnus incana subsp. tenuifolia,"['1', '19', '14']",['6'],[],[],[],"['6', '19']",[],['44'],[],[],[],[],"['47', '15', '25', '17']","['4', '19', '13']",[],"['9', '14']",[],[],[],['39'],[],[],[],[],[],"['18', '3']",[],['15'],[],[],[],7.0,nan,nan,nan,5.25,nan,nan,1.05,1.5,nan,nan,3.0,nan,4.916666666666666,nan
5,Alnus maritima,[],['7'],[],[],[],['19'],[],"['44', '24']",[],[],[],[],"['28', '15']","['4', '19']",[],"['9', '1']",[],[],[],['15'],[],[],[],[],[],['3'],[],['15'],[],[],[],6.75,nan,nan,nan,3.5,nan,nan,1.7000000000000002,2.0,nan,nan,7.5,nan,3.875,nan
6,Alnus oblongifolia,[],['7'],[],[],[],"['0', '19']",[],"['0', '44', '19', '24', '6', '38']",[],[],[],[],['28'],"['22', '4', '19', '13']",[],"['9', '14']",[],"['16', '8']",[],['63'],[],[],[],[],[],['0'],[],['15'],[],[],[],7.0,nan,nan,nan,4.5,nan,nan,1.15,1.75,nan,nan,7.5,nan,8.375,nan
7,Alnus rhombifolia,[],['7'],[],[],[],['19'],[],"['0', '44', '6', '24']",[],[],[],[],"['15', '24']","['22', '13', '19']",[],"['9', '14']",[],"['16', '18']",[],['63'],[],[],[],[],[],"['18', '20', '3']",[],['15'],[],[],[],6.5,nan,nan,nan,3.5,nan,nan,0.85,1.6,nan,nan,5.5,nan,9.666666666666666,nan
8,Alnus rubra,[],['7'],[],[],[],['19'],[],"['44', '24', '52', '42', '38']",[],[],[],[],"['47', '15', '34']","['4', '19', '13']",[],"['9', '14']",[],"['2', '8']",[],['39'],[],[],[],[],[],"['18', '3']",[],['15'],[],[],[],11.0,nan,nan,nan,7.0,nan,nan,1.05,2.25,nan,nan,5.5,nan,9.666666666666668,nan
9,Alnus serrulata,[],['7'],[],[],[],['19'],[],"['22', '38', '24']",[],[],[],[],"['47', '15', '24']","['22', '4', '19']",[],['9'],[],['18'],[],['15'],[],[],[],[],[],"['18', '20']",[],['15'],[],[],[],9.5,nan,nan,nan,5.75,nan,nan,0.8999999999999999,1.6,nan,nan,2.0,nan,4.583333333333334,nan
