,taxon,leaf_part_margin_margin,part_apex_shape,flower_part_surface,leaf_part_hair_shape,fruit_part_apex_shape,part_color,leaf_part_axil_venation_lateral,fruit_part_shape,leaf_part_hair_surface,leaf_part_lobe_shape,leaf_part_margin_margin_apical,leaf_part_hair_venation,part_shape,leaf_part_surface,fruit_part_venation,leaf_part_base_shape,fruit_part_surface,leaf_part_margin,leaf_part_venation_lateral,leaf_part_shape,flower_part_shape,leaf_part_hair_color,leaf_part_trichome_color,fruit_part_color,part_color_terminal,leaf_part_apex_shape,leaf_part_color,part_surface,leaf_part_venation,inflorescence_surface,inflorescence_shape,leaf_part_size_length,inflorescence_size_length,part_size_height,part_size_thickness,leaf_part_size_width,inflorescence_size_width,fruit_part_size_thickness,fruit_part_size_width,fruit_part_size_length,part_size_diameter,inflorescence_size_male_length,flower_part_size_length,part_size_width,part_size_length,leaf_part_size_thickness
10,Alnus viridis,"['14', '28']",['0'],[],[],[],[],[],"['0', '44', '19', '24', '38']",[],[],[],[],['28'],"['4', '19', '20']",[],['14'],[],[],[],['39'],[],[],[],[],[],"['20', '3']",[],['15'],[],[],[],7.0,nan,nan,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan,5.5,nan
11,Alnus viridis subsp. crispa,"['24', '28']",[],[],[],[],['8'],[],[],[],[],[],[],[],"['4', '19', '20']",[],['14'],[],[],[],['39'],[],[],[],[],[],"['18', '3']",['21'],[],[],[],[],4.75,nan,nan,nan,4.0,nan,nan,0.85,1.6,nan,nan,3.0,nan,3.0,nan
12,Alnus viridis subsp. fruticosa,[],[],[],[],[],['8'],[],[],[],[],[],[],[],"['4', '19', '13']",[],"['21', '14', '7']",[],['8'],[],['39'],[],[],[],[],[],"['0', '3']",['21'],[],['9'],[],[],6.5,nan,nan,nan,4.5,nan,nan,0.85,1.6,nan,nan,2.0,nan,3.0,nan
13,Alnus viridis subsp. sinuata,[],[],[],[],[],"['13', '19']",[],[],[],[],[],[],[],"['4', '19', '13']",[],"['14', '7']",[],['8'],[],['39'],[],[],[],[],[],['0'],['24'],[],[],[],[],7.0,nan,nan,nan,5.5,nan,nan,1.05,2.0,nan,nan,2.0,nan,5.0,nan
14,Betula,"['1', '24', '14']",['1'],[],[],[],"['37', '13']",[],['47'],[],[],[],[],"['0', '36']","['5', '4', '19', '20']",[],[],[],[],[],['39'],[],[],[],[],[],[],[],['15'],[],[],[],5.25,nan,nan,nan,4.25,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan
15,Betula alleghaniensis,['14'],[],[],[],[],[],[],"['44', '41']",[],[],[],[],['41'],"['13', '19']",[],"['9', '14', '7']",[],[],['1'],['39'],[],[],[],[],[],['0'],[],"['2', '9']",[],[],[],8.0,nan,nan,nan,4.25,nan,nan,1.75,2.25,nan,nan,nan,nan,30.0,nan
16,Betula cordifolia,['14'],[],[],[],[],[],[],"['0', '40', '47']",[],[],[],[],['7'],['13'],[],['7'],[],[],['1'],['39'],[],[],[],[],[],['0'],[],"['2', '9']",[],[],[],8.0,nan,nan,nan,6.0,nan,nan,0.8,4.0,nan,nan,nan,nan,20.0,nan
17,Betula glandulosa,['2'],[],[],[],[],['6'],[],['0'],[],[],[],[],[],"['4', '19', '13']",[],"['9', '14']",[],[],['1'],['35'],[],[],[],[],[],"['18', '20']",[],"['15', '2', '9']",[],[],[],1.75,nan,nan,nan,1.75,nan,nan,0.85,1.75,nan,nan,nan,nan,3.0,nan
18,Betula kenaica,"['6', '14']",[],[],[],[],"['32', '23', '13']",[],"['0', '47']",[],[],[],[],[],"['13', '19']",[],"['9', '14']",[],[],['1'],['39'],[],[],[],[],[],"['0', '3']",[],"['15', '9']",[],[],[],4.5,nan,nan,nan,3.5,nan,nan,0.75,3.5,nan,nan,nan,nan,12.0,nan
19,Betula lenta,"['24', '14']",[],[],[],[],[],[],"['44', '12', '52']",[],[],[],[],['41'],"['4', '19']",[],"['14', '7']",[],[],['1'],['39'],[],[],[],[],[],['0'],[],"['2', '9']",[],[],[],7.5,nan,nan,nan,4.5,nan,nan,2.0,2.75,nan,nan,nan,nan,20.0,nan
20,Betula michauxii,['2'],[],[],[],[],['6'],[],['0'],[],[],[],[],['25'],"['4', '19']",[],['9'],['3'],[],['1'],['36'],[],[],[],[],[],"['30', '20']",[],"['15', '9']",[],[],[],0.75,nan,nan,nan,0.85,nan,nan,0.65,0.75,nan,nan,nan,nan,0.5,nan
21,Betula minor,['14'],[],[],[],['8'],['13'],[],['0'],[],[],[],[],[],"['4', '19', '13']",[],"['21', '9', '14']",[],['21'],['1'],['39'],[],[],[],[],[],"['18', '3']",[],"['15', '2', '9']",['9'],[],[],3.5,nan,nan,nan,2.25,nan,nan,0.75,2.0,nan,nan,nan,nan,5.0,nan
22,Betula murrayana,['14'],[],[],[],[],[],[],['44'],[],[],[],[],[],"['13', '19', '4']",[],['9'],[],[],['1'],['39'],[],[],[],[],[],"['0', '3']",[],"['2', '9']",[],[],[],8.0,nan,nan,nan,4.5,nan,nan,2.25,3.0,nan,nan,nan,nan,15.0,nan
23,Betula nana,['1'],[],[],[],[],"['6', '19']",[],['0'],[],[],[],[],[],"['4', '19', '13']",[],"['14', '7']",[],[],['1'],['38'],[],[],[],[],[],['20'],[],"['15', '2', '9']",[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
24,Betula nana subsp. exilis,[],[],[],[],[],['13'],[],[],[],[],[],[],[],"['4', '19']",['2'],"['9', '14', '7']",[],[],[],['38'],[],[],[],[],[],[],[],"['2', '9']",[],[],[],0.85,nan,nan,nan,1.05,nan,nan,0.6,0.85,nan,nan,nan,nan,1.0,nan
25,Betula nana subsp. nana,[],[],[],[],[],['6'],[],[],[],[],[],[],[],"['13', '19', '4']",[],"['9', '14', '7']",[],[],[],['38'],[],[],[],[],[],[],[],['9'],[],[],[],1.15,nan,nan,nan,1.4,nan,nan,0.7,1.0,nan,nan,nan,nan,1.0,nan
26,Betula neoalaskana,['14'],[],[],[],[],[],[],"['0', '47']",[],[],[],[],[],"['4', '19', '13']",[],"['9', '14']",[],[],['1'],['14'],[],[],[],[],[],['0'],[],['2'],[],[],[],5.5,nan,nan,nan,4.0,nan,nan,1.0,3.0,nan,nan,nan,nan,25.0,nan
27,Betula nigra,"['6', '14']",[],[],[],['1'],[],[],"['52', '27']",[],[],[],[],[],"['13', '19']",[],"['21', '9']",[],[],['1'],['40'],[],[],[],[],[],['0'],[],"['2', '9']",[],[],[],6.0,nan,nan,nan,4.5,nan,nan,1.75,2.25,nan,nan,nan,nan,25.0,nan
28,Betula occidentalis,"['24', '14']",[],[],[],[],"['5', '35', '13']",[],"['0', '47']",[],[],[],[],[],"['13', '19']",[],"['21', '9', '14']",[],[],['1'],['39'],[],[],[],[],[],"['0', '3']",[],"['15', '2', '9']",[],[],[],3.9,nan,nan,nan,2.75,nan,nan,1.15,2.5,nan,nan,nan,nan,10.0,nan
29,Betula papyrifera,"['9', '14']",[],[],[],[],[],[],"['0', '40', '47']",[],[],[],[],[],"['13', '19']",[],['14'],[],[],['1'],['39'],[],[],[],[],[],"['0', '3']",[],['9'],[],[],[],7.0,nan,nan,nan,5.5,nan,nan,0.8999999999999999,3.75,nan,nan,nan,nan,25.0,nan
30,Betula pendula,['14'],[],[],[],[],[],[],"['0', '41', '47']",[],[],[],[],['30'],"['4', '19', '13']",[],['9'],[],[],['1'],['39'],[],[],[],[],[],['0'],[],['2'],[],[],[],5.0,nan,nan,nan,3.75,nan,nan,0.8,2.75,nan,nan,nan,nan,25.0,nan
31,Betula populifolia,[],[],[],[],[],"['23', '13']",[],"['0', '3', '47', '2']",[],[],[],[],[],"['4', '19', '13']",[],"['21', '9']",[],['8'],['1'],['39'],[],[],[],[],[],['0'],[],"['15', '2', '9']",[],[],[],6.5,nan,nan,nan,5.5,nan,nan,0.9,1.75,nan,nan,nan,nan,10.0,nan
32,Betula pubescens,['24'],[],[],[],[],"['6', '36', '13', '23']",[],[],[],[],[],[],[],"['13', '19']",[],[],[],[],[],['39'],[],[],[],[],[],['3'],[],['15'],[],[],"['0', '21']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,Betula pubescens subsp. pubescens,"['31', '6']",[],[],[],[],[],[],[],[],[],[],[],[],"['13', '19']",[],['14'],[],[],[],['39'],[],[],[],[],[],['3'],[],[],[],[],[],3.5,2.5,nan,nan,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,20.0,nan
34,Betula pubescens subsp. tortuosa,"['6', '24']",[],[],[],"['8', '1']",[],[],[],[],[],[],[],[],"['13', '19']",[],"['21', '9']",[],[],[],['39'],[],[],[],[],[],['3'],[],[],[],[],[],1.75,nan,nan,nan,1.5,nan,nan,0.6000000000000001,1.25,nan,nan,nan,nan,6.5,nan
35,Betula pumila,"['1', '6']",[],[],[],[],['13'],[],"['0', '27']",[],[],[],[],['7'],"['4', '19', '13', '20']",[],"['9', '14']",[],[],['1'],['15'],[],[],[],[],[],"['18', '20', '3']",[],"['15', '2', '9']",[],[],[],3.75,nan,nan,nan,3.0,nan,nan,0.9,1.15,nan,nan,nan,nan,4.0,nan
36,Betula uber,"['6', '24']",[],[],[],[],['6'],[],['19'],[],[],[],[],['36'],"['4', '19', '13']",[],"['21', '14', '7']",[],[],['1'],['38'],[],[],[],[],[],"['18', '20']",[],"['15', '2']",[],[],[],3.5,nan,nan,nan,3.0,nan,nan,1.25,1.5,nan,nan,nan,nan,10.0,nan
37,Betulaceae,['31'],[],[],[],[],[],[],['54'],[],[],[],[],[],"['4', '19', '20']",[],[],['8'],"['16', '9']",[],[],[],[],[],[],[],[],[],[],['10'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,Betuloideae,[],[],[],[],[],[],[],['10'],[],[],[],[],['44'],[],[],[],['8'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,2.5,nan,nan,nan,nan,nan,nan
39,Carpinus,"['28', '14']",['1'],[],[],[],"['37', '6']",[],['17'],[],[],[],[],['28'],"['4', '19', '20']",['4'],[],[],[],['1'],['39'],[],[],[],[],[],[],[],['15'],[],[],[],7.5,nan,nan,nan,4.5,nan,nan,nan,nan,nan,nan,nan,nan,16.5,nan
40,Carpinus caroliniana,['14'],[],[],[],[],"['37', '19']",[],[],[],[],[],[],[],"['13', '19']",[],[],[],[],[],['39'],[],[],[],[],[],['3'],[],['15'],['9'],[],[],3.125,7.5,nan,nan,2.0999999999999996,4.5,nan,nan,7.25,nan,nan,nan,nan,12.0,nan
41,Carpinus caroliniana subsp. caroliniana,['14'],[],[],[],[],"['19', '8']",[],[],[],[],[],[],[],"['13', '19']",[],"['14', '7']",[],[],[],['39'],[],[],[],[],[],"['18', '3']",[],['15'],['9'],[],[],3.0,5.75,nan,nan,1.8499999999999999,4.5,nan,nan,4.75,nan,nan,nan,nan,8.0,nan
42,Carpinus caroliniana subsp. virginiana,['14'],[],[],[],[],['4'],[],[],[],['27'],[],[],[],"['13', '19']",[],"['14', '7']",[],[],[],['39'],[],[],[],[],[],['9'],[],['15'],['9'],[],[],6.5,nan,nan,nan,3.45,nan,nan,nan,8.25,nan,nan,nan,nan,12.0,nan
43,Coryloideae,[],[],[],[],[],[],[],[],[],[],[],[],"['25', '44']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan
44,Corylus,['14'],['1'],[],[],[],"['37', '6', '8']",[],"['44', '52']",[],[],[],[],['28'],"['7', '13', '19', '5']",['4'],['7'],[],['19'],['1'],['39'],[],[],[],[],[],[],[],['15'],[],[],[],8.0,nan,nan,nan,7.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,Corylus americana,"['24', '14']",[],"['1', '7', '8', '3']",[],['5'],['19'],[],[],[],['26'],[],[],['25'],"['13', '5', '19']",[],"['14', '7']",[],[],[],['39'],[],[],[],[],[],['0'],[],"['15', '9']",[],[],['20'],10.5,3.5,nan,nan,8.0,3.5,nan,nan,3.0,nan,nan,nan,nan,3.0,nan
46,Corylus avellana,['14'],[],"['7', '8']",[],[],['6'],[],[],['3'],[],[],[],[],['13'],[],"['14', '7']",[],[],[],['39'],[],[],[],[],[],['0'],[],"['15', '9']",[],[],['20'],8.5,5.5,nan,nan,8.0,3.5,nan,nan,8.5,nan,nan,nan,nan,5.0,nan
47,Corylus cornuta,['14'],[],[],[],[],['6'],[],['57'],['3'],[],[],[],[],"['4', '19', '13']",[],"['14', '7']",[],[],[],['38'],[],[],[],[],[],"['18', '5', '0', '3']",[],"['15', '2', '9']",[],[],"['20', '1']",7.0,4.0,nan,nan,7.75,3.5,nan,nan,nan,nan,nan,5.25,nan,6.0,nan
48,Corylus cornuta subsp. californica,['14'],[],[],[],[],"['6', '0']",[],['57'],['3'],[],[],[],[],['13'],[],['7'],['7'],[],[],['38'],[],[],[],[],[],"['18', '3']",[],['9'],[],[],['20'],5.5,4.0,nan,nan,5.25,4.0,nan,nan,7.5,nan,nan,nan,nan,8.0,nan
49,Corylus cornuta subsp. cornuta,['14'],[],[],[],[],['6'],[],['57'],['3'],[],[],[],[],"['4', '19', '13']",[],"['14', '7']",[],[],[],['39'],[],[],[],[],[],"['5', '0']",[],"['15', '2', '9']",[],[],['20'],8.5,4.0,nan,nan,6.25,3.5,nan,nan,1.25,nan,nan,nan,nan,6.0,nan
50,Ostrya,"['28', '14']",['1'],[],[],[],"['37', '6']",[],['44'],[],[],[],[],['28'],"['4', '19', '20']",['4'],[],[],[],['1'],['39'],[],[],[],[],[],[],[],[],[],[],[],nan,7.75,nan,nan,nan,3.75,nan,nan,nan,nan,nan,nan,nan,13.5,nan
51,Ostrya chisosensis,['14'],[],[],[],[],['8'],[],[],[],[],[],[],['0'],"['4', '19', '13']",[],"['9', '14', '7']",[],[],[],['15'],[],[],[],[],[],"['18', '3']",[],['9'],['9'],[],[],2.825,nan,nan,nan,1.625,nan,nan,2.0,3.0,nan,nan,nan,nan,12.0,nan
52,Ostrya knowltonii,['14'],[],[],[],[],['8'],[],[],[],[],[],[],['25'],"['13', '19']",[],"['9', '14', '7']",[],[],[],['39'],[],[],[],[],[],['3'],[],['9'],['9'],[],[],2.95,nan,nan,nan,2.0,nan,nan,2.15,3.25,nan,nan,nan,nan,9.0,nan
53,Ostrya virginiana,['14'],[],[],[],[],"['19', '8']",[],[],[],[],[],[],['25'],"['22', '4', '19', '13']",[],"['9', '14', '7']",[],[],[],['39'],[],[],[],[],[],['0'],[],['9'],['9'],[],[],5.2,nan,nan,nan,2.7,nan,nan,2.25,5.0,nan,nan,nan,nan,18.0,nan
54,Casuarina,[],[],[],[],[],[],[],[],[],[],[],[],[],['19'],[],[],"['12', '3']",[],[],[],[],[],[],"['11', '14']",[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,Casuarina cunninghamiana,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,Casuarina cunninghamiana subsp. cunninghamiana,[],[],[],[],[],['8'],[],[],[],[],[],[],['4'],[],[],[],['12'],[],[],['3'],[],[],[],[],[],[],[],['9'],[],[],[],nan,nan,nan,nan,nan,nan,nan,5.0,7.0,nan,nan,5.5,0.5,16.25,nan
57,Casuarina equisetifolia,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,Casuarina equisetifolia,[],[],[],[],[],['13'],[],[],[],[],[],[],['41'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,Casuarina equisetifolia subsp. equisetifolia,[],[],[],[],[],"['0', '8']",[],[],[],[],[],[],['4'],[],[],[],"['12', '17']",[],[],['3'],[],[],[],[],[],[],[],['9'],[],[],[],nan,nan,nan,nan,nan,nan,nan,10.0,12.5,nan,nan,6.5,0.6,13.75,nan
60,Casuarina glauca,[],[],[],[],[],['8'],[],[],[],[],[],[],['11'],[],[],[],"['12', '3']",[],[],['3'],[],[],[],['23'],[],[],[],['2'],[],[],[],nan,nan,nan,nan,nan,nan,nan,8.0,8.875,nan,nan,7.5,1.05,14.0,nan
61,Casuarinaceae,[],[],[],[],[],[],[],"['0', '10']",[],[],[],[],"['36', '18']",[],[],[],[],[],[],['0'],['2'],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62,Castanea,[],[],[],[],[],[],[],"['11', '7']",[],[],[],[],[],[],[],[],[],['20'],[],['43'],[],[],[],[],[],[],[],[],"['9', '4']",[],['19'],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63,Castanea dentata,['24'],[],[],[],[],['19'],[],['38'],[],[],[],[],[],['4'],[],['9'],['3'],['20'],[],['35'],[],[],[],[],[],"['0', '3']",[],"['15', '2']",[],[],[],99.5,nan,nan,nan,65.0,nan,nan,21.5,17.25,nan,nan,nan,nan,12.5,nan
64,Castanea ozarkensis,['24'],[],[],[],[],['6'],[],['41'],[],[],[],[],[],"['19', '3']",[],"['9', '14', '7']",[],['0'],['1'],['35'],[],[],[],[],[],"['0', '3']",['31'],['2'],[],[],[],75.75,nan,nan,nan,65.0,nan,nan,11.0,13.166666666666666,nan,nan,nan,nan,15.0,nan
65,Castanea pumila,['24'],[],[],[],[],"['6', '19']",[],"['42', '41']",[],[],[],[],[],"['12', '19', '3']",[],"['14', '7']",[],['0'],[],['15'],[],[],"['12', '0']",[],[],[],[],"['15', '1']",['9'],[],[],61.75,nan,nan,nan,50.0,nan,nan,nan,6.5,nan,nan,14.0,nan,15.0,nan
66,Chrysolepis,"['31', '16']",[],[],[],[],[],[],"['41', '7']",[],[],[],[],"['28', '42']",[],[],[],[],[],[],[],[],[],[],['24'],[],[],[],[],['9'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67,Chrysolepis chrysophylla,['16'],[],[],[],[],['39'],[],[],[],[],[],[],[],[],[],[],"['3', '16']",[],[],[],[],[],"['0', '5']","['3', '24']",[],"['0', '3']",[],[],['2'],[],[],6.5,nan,nan,nan,nan,nan,40.0,nan,10.0,nan,nan,nan,nan,45.0,nan
68,Chrysolepis chrysophylla var. chrysophylla,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,Chrysolepis chrysophylla var. minor,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,Chrysolepis sempervirens,['16'],[],[],[],[],"['6', '39', '19']",[],[],[],[],[],[],[],"['13', '19', '3']",[],[],"['3', '16']",[],[],['32'],[],[],[],"['3', '24']",[],['18'],"['13', '15']",['15'],[],[],[],27.5,nan,nan,nan,nan,nan,40.0,nan,10.5,nan,nan,nan,nan,0.6,nan
71,Fagaceae,['24'],[],[],[],[],[],[],['54'],[],['28'],[],[],[],"['13', '19']",[],[],['8'],"['5', '9']",[],[],[],[],[],[],[],[],[],[],['10'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72,Fagus,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['10', '16']",['20'],[],['3'],[],[],[],[],[],[],[],[],"['9', '4']",[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73,Fagus grandifolia,[],['1'],[],['8'],[],"['6', '19']",[],[],"['11', '10']",[],[],[],"['41', '20']","['22', '4']",[],"['19', '9']","['11', '3']",[],[],['39'],[],[],[],"['3', '9']",[],['0'],[],"['15', '2', '14']",['2'],[],[],49.0,nan,nan,nan,50.0,nan,nan,14.0,17.5,nan,nan,nan,nan,18.75,nan
74,Lithocarpus,"['31', '24', '16']",[],[],[],[],[],[],"['41', '13']",[],[],[],[],['27'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['9', '4']",[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,Lithocarpus densiflorus,[],[],[],[],[],"['6', '39', '19']",[],"['49', '0', '52']",[],[],[],[],[],"['19', '3']",[],[],"['2', '17']",['21'],[],['9'],[],[],[],['11'],[],[],"['2', '16']","['15', '16']",[],[],[],90.0,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan,nan,nan,20.0,nan
76,Lithocarpus densiflorus var. densiflorus,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['9'],[],[],[],[],[],[],[],['16'],"['1', '9']",[],[],120.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan
77,Lithocarpus densiflorus var. echinoides,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['16'],"['1', '9']",[],[],60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan
78,Quercus,['16'],[],[],[],[],[],[],['41'],[],['28'],[],[],"['0', '28', '37']",[],[],[],[],['21'],[],[],[],[],[],[],[],[],[],[],"['9', '4']",[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79,Quercus Sect. Lobatae,"['31', '16']",[],[],[],[],"['6', '0', '19']",[],[],[],['28'],[],[],[],[],[],[],[],[],[],[],"['5', '10']",[],[],[],[],[],[],['15'],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80,Quercus Sect. Protobalanus,"['31', '16']",[],[],[],[],"['23', '13']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],['6'],[],[],[],[],[],[],['15'],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81,Quercus Sect. Quercus,"['31', '16']",[],[],[],[],"['37', '19', '0', '6']",[],[],[],['28'],[],[],[],[],[],[],[],[],[],[],"['6', '17']",[],[],[],[],[],[],['15'],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82,Quercus acerifolia,[],[],[],[],[],"['0', '13', '19', '8']",[],"['44', '2', '35', '13', '40']",[],['15'],[],[],"['28', '15']","['4', '19']",[],"['13', '8']","['11', '3', '16', '12']",[],[],['15'],[],[],[],"['3', '9']","['9', '4']",['3'],[],"['2', '9']",['9'],[],[],47.333333333333336,nan,nan,nan,125.0,nan,nan,13.5,11.125,2.25,nan,nan,nan,15.0,nan
