fruit_part_shape
,0
acuminate,1
acute,2
angular,3
arcuate-convex,4
attenuate,5
bilaterally symmetric,6
branched,7
campanulate,8
concave,9
conelike,10
convex,11
cuneate,12
cup-shaped,13
cupular,14
curved,15
cymbiform,16
deltoid,17
disk,18
ellipsoid,19
ellipsoid-oblong,20
ellipsoid-obovoid,21
ellipsoid-ovoid,22
ellipsoid-spheric,23
elliptic,24
elliptic-obovate,25
elliptic-ovate,26
elongate,27
funnelform,28
fusiform,29
grooved,30
hemispheric,31
incurved,32
linear,33
obconic,34
oblong,35
oblong-obovate,36
oblong-ovoid,37
obovate,38
obovoid,39
obtuse,40
orbicular,41
ovate,42
ovate-triangular,43
ovoid,44
ovoid-spheric,45
ovoid-triangular,46
pendulous,47
radially symmetric,48
recurved,49
rhomboid,50
saucerlike,51
spheric,52
stipitate glandular,53
straight,54
subglobose,55
triangular,56
tubular,57
turbinate,58
