,taxon,leaf_part_margin_count_margin,leaf_part_sinus_venation,leaf_part_tooth_venation,multiple_parts_hair_shape,leaf_part_scales_flower_morphology,part_margin_shape,fruit_part_base_color,fruit_part_flower_morphology,leaf_part_margin_surface,leaf_part_margin,inflorescence_reproduction,leaf position,inflorescence_apex_shape,inflorescence_scales_margin,female_flower_part_color,fruit_part_count_venation,flower_part_shape_proximally,fruit_part_scales_shape,male_flower_part_surface,leaf_part_color_apical,flower_part_tip_color,part_apex_shape,multiple_parts_gland_color,fruit_part_lobe_shape,part_margin,fruit_part_apex_shape,part_scales_venation,leaf_part_trichome_surface,fruit_part_hair_shape,fruit_part_scales_surface_proximal,leaf_part_apex_shape_staminate,fruit_part_scales_duration,leaf_part_flower_morphology_subtended,leaf_part_base_venation,leaf_part_flower_morphology,part_tooth_duration,part_trichome_shape,fruit_part_wing_surface,leaf_part_apex_shape,leaf_part_venation_distal,leaf_part_scales_color_staminate,fruit_part_surface,inflorescence_hair_color,flower_part_surface,leaf_part_lobe_margin_distal,inflorescence_shape_male,leaf_part_base_margin,leaf_part_trichome_shape,fruit_part_surface_proximal,inflorescence_reproduction_staminate,inflorescence_reproduction_distal_pistillate,leaf_part_hair_venation,leaf_part_ray_shape,leaf_part_margin_margin_staminate,flower_part_apex_margin,fruit_part_flower_morphology_pistillate,leaf_part_ciliolate_surface,leaf_part_scales_color,leaf_part_apex_count_margin,leaf_part_surface_basal,leaf_part_gland_venation,leaf_part_margin_leaf_folding,male_flower_part_hair_surface,fruit_part_surface_basal,inflorescence_hair_surface,part_surface_male,fruit_part_gland_venation,leaf_part_venation_lateral,leaf_part_hair_shape,leaf_part_tooth_shape,fruit_part_base_surface,part_venation,part_color_terminal,part_gland_shape,flower_part_rim_shape,multiple_parts_surface_staminate,leaf_part_lobe_venation_distal,fruit_part_apex_color,flower_part_surface_staminate,flower_part_shape_basally,part_trichome_shape_staminate,female_flower_part_surface,inflorescence_rim_shape,multiple_parts_shape_staminate,inflorescence_shape,fruit_part_color_proximal,part_reproduction,part_gland_surface,fruit_part_scales_color_proximal,part_base_woodiness,part_surface_abaxial,leaf_part_margin_shape,leaf_part_lobe_margin_basal,leaf_part_venation,part_apex_surface,part_apex_color,part_tooth_shape,leaf_part_surface_axillary,fruit_part_hair_color_basal,male_flower_part_color,part_surface_distal,fruit_part_venation,inflorescence_shape_pistillate,inflorescence_color_male,part_scales_margin_apical,fruit_part_hair_surface,inflorescence_reproduction_terminal,leaf_part_axil_venation_lateral,leaf_part_venation_axillary,female_flower_part_base_surface,multiple_parts_scales_surface,part_scales_surface,part_surface_apical,part_color,part_scales_color_terminal,flower_part_scales_color,leaf_part_furcate_color,leaf_part_gland_shape,flower_part_base_shape,multiple_parts_hair_surface,part_leaf_folding,fruit_part_margin_margin_distal,fruit_part_tip_shape,inflorescence_reproduction_proximal,leaf_part_scales_shape,leaf_part_axil_surface_lateral,fruit_part_shape_distally,fruit_part_hair_color,leaf_part_hair_duration,leaf_part_leaf_folding,multiple_parts_scales_shape,part_shape_distally,multiple_parts_axil_surface,inflorescence_color,fruit_part_margin_subtended,multiple_parts_margin_margin,fruit_part_gland_color,leaf_part_color_abaxial,part_scales_surface_proximal,fruit_part_apex_venation,inflorescence_scales_surface,leaf_part_lobe_margin,leaf_part_venation_above,part_margin_surface,flower_part_color,part_crown_shape,flower_part_margin_subtended,leaf_part_margin_margin_distal,article_surface,male_flower_part_apex_surface,fruit_part_tip_color,fruit_part_base_shape,part_scales_margin,leaf_part_trichome_color,part_shape_staminate,part_shape_male,fruit_part_margin_margin_proximal,leaf_part_rim_shape,part_cilia_surface,fruit_part_trichome_color,part_scales_surface_basal,part_hair_surface,male_flower_part_woodiness,leaf_part_base_shape,leaf_part_tip_shape,fruit_part_scales_color,inflorescence_hair_shape,part_flower_morphology,leaf_part_surface_lateral,flower_part_margin_male,leaf_part_hair_surface,leaf_part_margin_distal,leaf_part_shape_staminate,part_woodiness,leaf_part_lobe_shape,fruit_part_margin_color,part_venation_lateral,leaf_part_tooth_margin_distal,leaf_part_axil_color,flower_part_wing_surface,leaf_part_gland_surface,leaf_part_gland_surface_basal,inflorescence_axis_surface,fruit_part_scales_margin,part_surface_above,leaf_part_woodiness,leaf_part_apex_venation,part_tip_surface,multiple_parts_color,phyllichnia_shape,part_surface,leaf_part_apex_surface,leaf_part_lobe_count_margin,leaf_part_axil_venation,inflorescence_lobe_shape,leaf_part_tooth_margin,fruit_part_margin_venation,leaf_part_color,inflorescence_shape_staminate,flower_part_venation,fruit_part_margin,leaf_part_axil_shape,leaf_part_ciliolate_color,part_margin_margin,flower_part_flower_morphology,part_duration,leaf_part_scales_surface,flower_part_margin_male_subtended,part_hair_surface_staminate,flower_part_surface_proximal,part_color_distal,multiple_parts_shape,female_flower_part_hair_shape,inflorescence_surface,leaf_part_callose_margin,inflorescence_reproduction_male,leaf_part_surface,fruit_part_scales_surface,fruit_part_base_woodiness,leaf_part_gland_color_basal,leaf_part_apex_surface_basal,inflorescence_scales_color,fruit_part_scales_leaf_folding,multiple_parts_flower_morphology_staminate,leaf_part_color_basal,part_base_shape,fruit_part_tip_surface,part_woodiness_basal,fruit_part_gland_surface,part_missing_part,leaf_part_margin_venation,inflorescence_tip_shape,fruit_part_margin_shape,leaf_part_shape_pistillate,male_flower_part_margin,fruit_part_margin_surface,part_scales_shape,part_scales_color_proximal,female_flower_part_apex_shape,leaf_part_count_margin,inflorescence_surface_male,fruit_part_shape,part_gland_color,fruit_part_woodiness_basal,leaf_part_margin_margin_apical,leaf_part_reproduction_male,leaf_part_shape_basal,fruit_part_leaf_folding,female_flower_part_hair_surface,fruit_part_color,fruit_part_apex_surface,inflorescence_scales_shape_pistillate,inflorescence_reproduction_unisexual,leaf_part_margin_male,leaflet_shape,fruit_part_hair_surface_basal,male_flower_part_hair_shape_staminate,part_axil_surface_lateral,inflorescence_reproduction_above_male,part_shape,inflorescence_tip_color,flower_part_scales_shape,leaf_part_surface_staminate,multiple_parts_surface,leaf_part_hair_color,multiple_parts_flower_morphology,part_scales_surface_distal,part_hair_shape,part_trichome_color,leaf_part_margin_margin_basal,part_axil_venation_lateral,multiple_parts_axil_venation,leaf_part_venation_basal,female_flower_part_apex_surface,branch_position,leaf_part_base_surface,male_flower_part_apex_surface_pistillate,leaf_part_margin_margin,fruit_part_margin_leaf_folding,inflorescence_shape_unisexual,leaf_part_sinus_shape,flower_part_margin,leaf_part_shape_male,leaf_part_axil_surface,male_flower_part_hair_color_staminate,part_trichome_surface_staminate,multiple_parts_hair_color,part_scales_color,flower_part_shape_style,leaf_part_scales_venation,fruit_part_margin_margin,part_trichome_surface,part_venation_beneath,leaf_part_gland_color,leaf_part_axil_venation_proximal,leaf_part_apex_color,part_base_surface,fruit_position,part_hair_color,flower_part_shape,leaf_part_gland_venation_basal,inflorescence_reproduction_basal,leaf_part_margin_margin_above,male_flower_part_shape,leaf_part_apex_margin,part_surface_proximal,fruit_part_wing_shape,leaf_part_surface_abaxial,leaf_part_trichome_venation,part_color_basal,fruit_part_woodiness,leaf_part_surface_adaxial,leaf_part_shape,female_flower_part_shape,leaf_part_tube_shape,inflorescence_margin_leaf_folding,part_surface_staminate,leaf_part_margin_proximal,article_shape,inflorescence_trichome_surface,leaf_part_size_male_terminal_length,leaf_part_size_proximal_length,fruit_part_size_staminate_length,flower_part_size_width,leaf_part_size_width,fruit_part_size_staminate_width,branch_length,fruit_part_size_height,leaf_part_size_terminal_length,inflorescence_size_staminate_terminal_length,leaf_part_wing_size_length,inflorescence_apex_size_male_length,leaf_part_size_distal_width,part_size_basal_length,inflorescence_size_width,leaf_part_hair_size_length,part_base_size_thickness,part_size_width,multiple_parts_size_staminate_length,part_size_length,flower_part_size_bisexual_length,multiple_parts_size_width,fruit_part_apex_size_thickness,part_size_male_width,fruit_part_scales_size_width,male_flower_part_size_staminate_length,fruit_part_wing_size_lateral_length,part_size_pistillate_length,fruit_part_size_width,male_flower_part_size_width,leaf_part_size_length,fruit_part_lobe_size_basal_length,leaf_part_article_size_length,flower_part_leaf-axil_size_length,flower_part_size_staminate_length,leaf_part_hair_size_lateral_diameter,fruit_part_size_pistillate_length,part_size_staminate_length,fruit_part_size_apical_length,inflorescence_hair_size_diameter,leaf_part_size_diameter,male_flower_part_size_staminate_width,leaf_part_size_distal_length,flower_part_hair_size_diameter,fruit_stem_length,flower_part_size_axillary_length,female_flower_part_size_length,leaf_part_base_size_thickness,part_size_diameter,fruit_part_margin_size_length,part_size_thickness,flower_part_size_thickness,inflorescence_hair_size_length,inflorescence_size_basal_male_length,fruit_part_size_basal_thickness,inflorescence_size_diameter,inflorescence_lobe_size_length,part_base_size_length,leaflet_width,inflorescence_size_staminate_length,leaf_part_size_proximal_width,part_gland_size_length,part_size_basal_thickness,leaf_part_tooth_size_length,leaf_part_size_staminate_length,inflorescence_size_pistillate_length,article_width,part_size_basal_width,fruit_part_base_size_thickness,fruit_part_hair_size_width,flower_part_size_staminate_width,fruit_part_base_size_length,multiple_parts_size_length,inflorescence_size_male_length,leaf_part_size_pistillate_length,inflorescence_size_length,male_flower_part_size_length,part_size_dbh,flower_part_tooth_size_length,fruit_part_apex_size_length,flower_part_size_apical_male_length,fruit_part_size_diameter,part_size_male_length,fruit_part_size_thickness,inflorescence_size_staminate_terminal_width,article_length,fruit_part_hair_size_length,leaf_part_size_thickness,fruit_part_wing_size_length,leaflet_number,leaf_part_apex_size_length,leaf_part_size_male_length,leaflet_length,fruit_part_size_male_length,leaf_part_size_basal_thickness,flower_part_size_diameter,part_size_distal_length,leaf_part_size_basal_length,part_size_height,leaf_part_size_lateral_length,fruit_part_scales_size_length,part_size_male_terminal_length,inflorescence_size_staminate_width,multiple_parts_size_male_length,flower_part_size_length,part_lobe_size_basal_length,flower_part_size_pistillate_length,fruit_part_size_length,part_valve_count,leaf_part_lobe_count_apical,leaf_part_count_apical,leaf_part_axil_count_male,inflorescence_count_above,leaf_part_apex_count,leaf_part_margin_count,part_count_staminate,part_scales_count,fruit_part_margin_count_apical,fruit_part_hair_count,leaf_part_scales_count,fruit_part_tooth_count,leaf_part_count_subtended,flower_part_count_lateral,inflorescence_count_pistillate,part_ranked_count,flower_part_count_staminate,part_apex_count,fruit_part_lobe_count,flower_part_count_pistillate_subtended,fruit_part_wing_count,fruit_part_margin_count,inflorescence_gland_count,leaf_part_count_staminate,flower_part_valve_count,inflorescence_hair_count,leaf_part_tooth_count,flower_part_count,part_ray_count,leaf_part_tooth_count_distal,part_hair_count,fruit_part_locular_count_distal,fruit_part_locular_count_pistillate,flower_part_count_subtending,flower_part_lobe_count_male_subtended,inflorescence_count_lateral,inflorescence_ray_count,leaf_part_count_male_subtending,inflorescence_count,flower_part_count_subtended,female_flower_part_trichome_count,inflorescence_lobe_count,part_count_basal,flower_part_count_axillary,leaf_part_lobe_count,multiple_parts_hair_count,leaf_part_ray_count,fruit_part_count_apical,flower_part_lobe_count_male,flower_part_count_male,leaf_part_base_count,flower_part_ray_count,inflorescence_count_staminate,multiple_parts_count,part_furcate_count,inflorescence_locular_count,inflorescence_tooth_count,male_flower_part_count_staminate,inflorescence_count_style,female_flower_part_count_style,leaf_part_hair_count,female_flower_part_count,flower_part_lobe_count,leaf_part_ranked_count,leaf_part_tooth_count_apical,fruit_part_count_style,part_article_count_basal,leaf_part_lobe_count_distal,part_scales_count_terminal,leaf_part_count_terminal,fruit_part_axil_count,part_count,male_flower_part_count_bisexual,flower_part_count_distal,fruit_part_margin_count_basal,leaf_part_count_basal,inflorescence_count_subtended,male_flower_part_locular_count,inflorescence_count_male,leaf_part_count_lateral_male,multiple_parts_scales_count,male_flower_part_hair_count,fruit_part_apex_count,fruit_part_wing_count_lateral,flower_part_trichome_count,male_flower_part_count_pistillate,leaf_part_furcate_count,flower_part_count_pistillate_terminal,flower_part_count_pistillate,male_flower_part_count,flower_part_ranked_count,leaf_part_margin_count_apical,leaf_part_sinus_count,flower_part_apex_count,flower_part_locular_count_distal,fruit_part_count_subtending,leaf_part_count_proximal,part_count_terminal,leaf_part_count_pistillate,female_flower_part_hair_count,leaf_part_valve_count,leaf_part_count_lateral,leaf_part_count_male,inflorescence_count_staminate_terminal,fruit_part_count_basal,male_flower_part_count_male,fruit_part_count_staminate,female_flower_part_locular_count_proximal,inflorescence_count_basal,leaf_part_count,flower_part_lobe_count_basal,fruit_part_endosperm_count,multiple_parts_ray_count,inflorescence_axil_count,part_tooth_count,fruit_part_count,flower_part_count_male_subtending,leaf_part_count_abaxial,fruit_part_valve_count,female_flower_part_lobe_count,fruit_part_ray_count,leaf_part_count_distal,part_count_apical,leaf_part_trichome_count
0,Alnus,,,,,,,,,"[nan, nan]","['serrate', 'serrulate', 'entire', nan]",,,"[nan, nan]",,,,,"[nan, nan]","[nan, nan, nan]",,,"['acute', 'orbicular', nan]",,"[nan, nan]","[nan, nan]","[nan, nan, nan]",,"[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]",persistent,,,,,,,"[nan, nan, nan, nan]","[nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan]",,"[nan, nan, nan]",,"[nan, nan]",,,,"[nan, nan]",,,,,,"[nan, nan]",,"[nan, nan]",,,,"[nan, nan]",,,,"[nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan]",,"[nan, nan, nan, nan, nan]","[nan, nan, nan]",,,"[nan, nan]",,,,,,"[nan, nan, nan]",,,"[nan, nan, nan, nan]",,"[nan, nan]",,,,,"[nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan]",,,,"[nan, nan, nan]",,,,"[nan, nan, nan, nan]",,,,"[nan, nan]",,,"[nan, nan]",,,"[nan, nan]","[nan, nan]","['white', 'red', nan, nan, nan, nan, nan, nan]",,"[nan, nan]",,"[nan, nan]",,,,,,,"[nan, nan, nan, nan]","[nan, nan]",,"[nan, nan]",,,,,,"[nan, nan, nan]",,"[nan, nan]",,,,,,"[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]",,,"[nan, nan]",,"[nan, nan]",,,,"[nan, nan, nan]",,"[nan, nan]",,,,,"[nan, nan]","[nan, nan]",,"[nan, nan, nan, nan]","[nan, nan]","[nan, nan]",,,"[nan, nan, nan]",,"[nan, nan, nan, nan, nan]",,"[nan, nan]",,"[nan, nan, nan]","[nan, nan]","[nan, nan]",,,,"[nan, nan, nan]",,"[nan, nan]",,,,,,"['gray', 'brown', nan, nan]",,"['smooth', nan, nan, nan, nan, nan, nan, nan]",,,"[nan, nan]",,"[nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan]","['pendulous', 'ovoid', 'ellipsoid']",,,,,"[nan, nan, nan]",,,"[nan, nan, nan]",,,"[nan, nan]",,,,"[nan, nan]",,"[nan, nan]","['surface', 'glabrous', 'tomentose', 'glandular', nan, nan, nan, nan, nan]","[nan, nan]",,,,"[nan, nan]",,,"[nan, nan]","[nan, nan]","[nan, nan]",,,,,,"[nan, nan]",,,,"[nan, nan]",,,,,"['pendulous', nan, nan, nan, nan, nan, nan]","[nan, nan]",,"[nan, nan]",,,,,"[nan, nan, nan, nan, nan]","[nan, nan]",,,,,,,,,"['ovoid', 'ellipsoid', 'terete', 'valvate']",,,,"['smooth', nan, nan, nan]","[nan, nan, nan]",,,"[nan, nan]","[nan, nan]","[nan, nan, nan]",,,,,,"[nan, nan]",,"['doubly serrate', nan, nan, nan]",,,"[nan, nan]",,,"[nan, nan]","[nan, nan]",,,,,"[nan, nan]","[nan, nan]",,,"[nan, nan]",,"[nan, nan]",,,"[nan, nan]","[nan, nan, nan, nan]",,,,"[nan, nan]","[nan, nan]",,"[nan, nan]","[nan, nan]","[nan, nan]",,woody,,"['ovate', nan, nan, nan, nan, nan, nan, 'elliptic', 'obovate', 'cuneate', 'orbicular', 'acute', 'obtuse', 'acuminate', 'orbicular']","[nan, nan]",,,"[nan, nan]",,,"[nan, nan]",nan,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,35.0,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,,,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,,nan,,nan,,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,,nan,nan,2.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,,,,2.5,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,2.0,,nan,nan,,2.0,4.0,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,0.0,,nan,nan,nan,nan,nan,nan,nan
1,Alnus glutinosa,,,,,,,,,"[nan, nan]","['doubly serrate', 'dentate', nan, nan]",,,"[nan, nan]",,,,,"[nan, nan]","[nan, nan, nan]",,,"['obtuse', nan, nan]",,"[nan, nan]","[nan, nan]","[nan, nan, nan]",,"[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]",,,,,,,,"['retuse', 'obcordate', nan, nan]","[nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan]",,"[nan, nan, nan]",,"[nan, nan]",,,,"[nan, nan]",,,,,,"[nan, nan]",,"[nan, nan]",,,,"[nan, nan]",,,,"[nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['acute', 'obtuse', 'orbicular']",,"[nan, nan, nan, nan, nan]","[nan, nan, nan]",,,"[nan, nan]",,,,,,"[nan, nan, nan]",,,"[nan, nan, nan, nan]",,"[nan, nan]",,,,,"[nan, nan]",,"['vein', nan, nan, nan, nan, nan, nan]",,,,"[nan, nan, nan]",,,,"[nan, nan, nan, nan]",,,,"[nan, nan]",,,"[nan, nan]",,,"[nan, nan]","[nan, nan]","['brown', nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan]",,"[nan, nan]",,,,,,,"[nan, nan, nan, nan]","[nan, nan]",,"[nan, nan]",,,,,,"[nan, nan, nan]",,"[nan, nan]",,,,,,"[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]",,,"[nan, nan]",,"[nan, nan]",,,,"[nan, nan, nan]",,"[nan, nan]",,,,,"[nan, nan]","[nan, nan]",,"['obtuse', 'cuneate', nan, nan]","[nan, nan]","[nan, nan]",,,"[nan, nan, nan]",,"[nan, nan, nan, nan, nan]",,"[nan, nan]",,"[nan, nan, nan]","[nan, nan]","[nan, nan]",,,,"[nan, nan, nan]",,"[nan, nan]",,,,,,"[nan, nan, nan, nan]",,"['smooth', nan, nan, nan, nan, nan, nan, nan]",,,"[nan, nan]",,"[nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan]",,,,,"[nan, nan, nan]",,,"[nan, nan, nan]",,,"[nan, nan]",,,,"[nan, nan]",,"[nan, nan]","['surface', 'glabrous', 'pubescent', 'surface', nan, nan, nan, nan, nan]","[nan, nan]",,,,"[nan, nan]",,,"[nan, nan]","[nan, nan]","[nan, nan]",,,,,,"[nan, nan]",,,,"[nan, nan]",,,,,"['ovoid', 'spheric', 'obovate', nan, nan, nan, nan]","[nan, nan]",,"[nan, nan]",,,,,"[nan, nan, nan, nan, nan]","[nan, nan]",,,,,,,,,"['ellipsoid', 'obovoid', 'valvate', nan]",,,,"[nan, nan, nan, nan]","[nan, nan, nan]",,,"[nan, nan]","[nan, nan]","[nan, nan, nan]",,,,,,"[nan, nan]",,"[nan, nan, nan, nan]",,,"[nan, nan]",,,"[nan, nan]","[nan, nan]",,,,,"[nan, nan]","[nan, nan]",,,"[nan, nan]",,"[nan, nan]",,,"[nan, nan]","[nan, nan, nan, nan]",,,,"[nan, nan]","[nan, nan]",,"[nan, nan]","[nan, nan]","[nan, nan]",,,,"['obovate', nan, nan, nan, nan, nan, nan, 'orbicular', 'orbicular', nan, nan, nan, nan, nan, nan]","[nan, nan]",,,"[nan, nan]",,,"[nan, nan]",nan,nan,nan,,5.5,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,7.833333333333333,nan,nan,nan,nan,nan,nan,nan,nan,1.25,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,,,nan,nan,,nan,nan,nan,,2.0,nan,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,,nan,,nan,,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,4.0,nan,5.5,nan,nan,1.85,nan,,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan
2,Alnus incana,,,,,,,,,"[nan, nan]","[nan, nan, nan, nan]",,,"[nan, nan]",,,,,"[nan, nan]","[nan, nan, nan]",,,"['orbicular', 'acute', nan]",,"[nan, nan]","[nan, nan]","[nan, nan, nan]",,"[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]",,,,,,,,"['acute', 'acuminate', 'obtuse', nan]","[nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan]",,"[nan, nan, nan]",,"[nan, nan]",,,,"[nan, nan]",,,,,,"[nan, nan]",,"[nan, nan]",,,,"[nan, nan]",,,,"[nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan]",,"[nan, nan, nan, nan, nan]","[nan, nan, nan]",,,"[nan, nan]",,,,,,"[nan, nan, nan]",,,"[nan, nan, nan, nan]",,"[nan, nan]",,,,,"[nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan]",,,,"[nan, nan, nan]",,,,"[nan, nan, nan, nan]",,,,"[nan, nan]",,,"[nan, nan]",,,"[nan, nan]","[nan, nan]","['gray', 'red', 'brown', nan, nan, nan, nan, nan]",,"[nan, nan]",,"[nan, nan]",,,,,,,"[nan, nan, nan, nan]","[nan, nan]",,"[nan, nan]",,,,,,"[nan, nan, nan]",,"[nan, nan]",,,,,,"[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]",,,"[nan, nan]",,"[nan, nan]",,,,"[nan, nan, nan]",,"[nan, nan]",,,,,"[nan, nan]","[nan, nan]",,"['cuneate', 'orbicular', nan, nan]","[nan, nan]","[nan, nan]",,,"[nan, nan, nan]",,"[nan, nan, nan, nan, nan]",,"[nan, nan]",,"[nan, nan, nan]","[nan, nan]","[nan, nan]",,,,"[nan, nan, nan]",,"[nan, nan]",,,,,,"[nan, nan, nan, nan]",,"['smooth', nan, nan, nan, nan, nan, nan, nan]",,,"[nan, nan]",,"[nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan]",,,,,"[nan, nan, nan]",,,"[nan, nan, nan]",,,"[nan, nan]",,,,"[nan, nan]",,"[nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan]",,,,"[nan, nan]",,,"[nan, nan]","[nan, nan]","[nan, nan]",,,,,,"[nan, nan]",,,,"[nan, nan]",,,,,"['ovoid', 'cylindric', 'elliptic', 'obovate', 'bilaterally symmetric', nan, nan]","[nan, nan]",,"[nan, nan]",,,,,"[nan, nan, nan, nan, nan]","[nan, nan]",,,,,,,,,"['bilaterally symmetric', 'ellipsoid', 'valvate', nan]",,,,"[nan, nan, nan, nan]","[nan, nan, nan]",,,"[nan, nan]","[nan, nan]","[nan, nan, nan]",,,,,,"[nan, nan]",,"['doubly serrate', nan, nan, nan]",,,"[nan, nan]",,,"[nan, nan]","[nan, nan]",,,,,"[nan, nan]","[nan, nan]",,,"[nan, nan]",,"[nan, nan]",,,"[nan, nan]","[nan, nan, nan, nan]",,,,"[nan, nan]","[nan, nan]",,"[nan, nan]","[nan, nan]","[nan, nan]",,,,"['ovate', nan, nan, nan, nan, nan, nan, 'elliptic', nan, nan, nan, nan, nan, nan, nan]","[nan, nan]",,,"[nan, nan]",,,"[nan, nan]",nan,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,3.75,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,nan,,,nan,nan,,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,,nan,,nan,,nan,nan,nan,nan,nan,,nan,,nan,,nan,,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan
