,taxon,taxon_id,link,path,part_color,leaf_part_hair_surface,fruit_part_venation,leaf_part_apex_shape,part_shape,fruit_part_shape,leaf_part_color,leaf_part_base_shape,leaf_part_venation,leaf_part_shape,leaf_part_surface,leaf_part_margin,leaf_part_hair_shape,part_surface,flower_part_shape,flower_part_surface,fruit_part_surface,leaf_part_venation_lateral,fruit_part_color,leaf_part_lobe_shape,leaf_part_margin_margin,inflorescence_shape,part_size_length,inflorescence_size_width,flower_part_size_length,fruit_part_size_length,inflorescence_size_length,fruit_part_size_width,leaf_part_size_length,leaf_part_size_width,part_size_height,leaf_part_size_thickness,part_size_diameter
0,Alnus,101157,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=101157,data/eFloras/Betulaceae_1/treatments/taxon_id_101157.html,34,,,,41,44,,,,37,19,16,,14,,,,,,,13,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,Alnus glutinosa,233500032,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500032,data/eFloras/Betulaceae_1/treatments/taxon_id_233500032.html,6,,,10,15,41,,13,9,33,3,8,,14,,,,,,,,,4.0,nan,5.5,1.85,nan,1.25,6.0,5.5,nan,nan,nan
2,Alnus incana,233500033,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500033,data/eFloras/Betulaceae_1/treatments/taxon_id_233500033.html,6,,,0,41,22,,9,,37,,,,14,,,,,,,13,,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,Alnus incana subsp. rugosa,233500034,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500034,data/eFloras/Betulaceae_1/treatments/taxon_id_233500034.html,34,,,12,15,41,12,14,9,37,12,21,,14,,,,,,,13,,2.5,nan,3.0,1.35,nan,1.0,7.5,5.5,nan,nan,nan
4,Alnus incana subsp. tenuifolia,233500035,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500035,data/eFloras/Betulaceae_1/treatments/taxon_id_233500035.html,6,,,12,17,41,,9,,37,18,,,14,,,,,,,13,,2.5,nan,3.0,1.5,nan,1.05,7.0,5.25,nan,nan,nan
5,Alnus maritima,233500036,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500036,data/eFloras/Betulaceae_1/treatments/taxon_id_233500036.html,17,,,3,26,41,,1,,13,3,,,14,,,,,,,,,1.75,nan,7.5,2.0,nan,1.7000000000000002,6.75,3.5,nan,nan,nan
6,Alnus oblongifolia,233500037,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500037,data/eFloras/Betulaceae_1/treatments/taxon_id_233500037.html,0,,,0,26,22,,14,,57,18,16,,14,,,,,,,,,2.75,nan,7.5,1.75,nan,1.15,7.0,4.5,nan,nan,nan
7,Alnus rhombifolia,233500038,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500038,data/eFloras/Betulaceae_1/treatments/taxon_id_233500038.html,17,,,14,15,41,,14,,57,18,16,,14,,,,,,,,,3.0,nan,5.5,1.6,nan,0.85,6.5,3.5,nan,nan,nan
8,Alnus rubra,233500039,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500039,data/eFloras/Betulaceae_1/treatments/taxon_id_233500039.html,17,,,3,15,41,,14,,37,12,2,,14,,,,,,,,,4.0,nan,5.5,2.25,nan,1.05,11.0,7.0,nan,nan,nan
9,Alnus serrulata,233500040,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500040,data/eFloras/Betulaceae_1/treatments/taxon_id_233500040.html,17,,,14,41,20,,9,,13,18,18,,14,,,,,,,,,2.5,nan,2.0,1.6,nan,0.8999999999999999,9.5,5.75,nan,nan,nan
10,Alnus viridis,233500041,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500041,data/eFloras/Betulaceae_1/treatments/taxon_id_233500041.html,,,,3,26,0,,14,,37,3,,,14,,,,,,,27,,1.0,nan,nan,nan,nan,nan,7.0,5.5,nan,nan,nan
11,Alnus viridis subsp. crispa,233500042,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500042,data/eFloras/Betulaceae_1/treatments/taxon_id_233500042.html,8,,,3,,,20,14,,37,19,,,,,,,,,,23,,3.0,nan,3.0,1.6,nan,0.85,4.75,4.0,nan,nan,nan
12,Alnus viridis subsp. fruticosa,233500043,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500043,data/eFloras/Betulaceae_1/treatments/taxon_id_233500043.html,8,,,0,,,20,14,9,37,12,8,,,,,,,,,,,3.0,nan,2.0,1.6,nan,0.85,6.5,4.5,nan,nan,nan
13,Alnus viridis subsp. sinuata,233500044,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500044,data/eFloras/Betulaceae_1/treatments/taxon_id_233500044.html,17,,,0,,,23,14,,37,12,8,,,,,,,,,,,5.0,nan,2.0,2.0,nan,1.05,7.0,5.5,nan,nan,nan
14,Betula,103887,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=103887,data/eFloras/Betulaceae_1/treatments/taxon_id_103887.html,34,,,,32,44,,,,37,18,,,14,,,,,,,1,,nan,nan,nan,nan,nan,nan,5.25,4.25,nan,nan,nan
