,taxon,taxon_id,link,path,part_color,leaf_part_hair_surface,fruit_part_venation,leaf_part_apex_shape,part_shape,fruit_part_shape,leaf_part_color,leaf_part_base_shape,leaf_part_venation,leaf_part_shape,leaf_part_surface,leaf_part_margin,leaf_part_hair_shape,part_surface,flower_part_shape,flower_part_surface,fruit_part_surface,leaf_part_venation_lateral,fruit_part_color,leaf_part_lobe_shape,leaf_part_margin_margin,inflorescence_shape,part_size_length,inflorescence_size_width,flower_part_size_length,fruit_part_size_length,inflorescence_size_length,fruit_part_size_width,leaf_part_size_length,leaf_part_size_width,part_size_height,leaf_part_size_thickness,part_size_diameter
15,Betula alleghaniensis,233500246,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500246,data/eFloras/Betulaceae_1/treatments/taxon_id_233500246.html,,,,0,37,41,,9,,37,12,,,2,,,,1,,,13,,nan,nan,nan,2.25,nan,1.75,8.0,4.25,nan,nan,nan
16,Betula cordifolia,233500247,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500247,data/eFloras/Betulaceae_1/treatments/taxon_id_233500247.html,,,,0,7,37,,7,,37,12,,,2,,,,1,,,13,,nan,nan,nan,4.0,nan,0.8,8.0,6.0,nan,nan,nan
17,Betula glandulosa,233500248,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500248,data/eFloras/Betulaceae_1/treatments/taxon_id_233500248.html,6,,,12,,0,,14,,33,18,,,14,,,,1,,,2,,nan,nan,nan,1.75,nan,0.85,1.75,1.75,nan,nan,nan
18,Betula kenaica,233500249,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500249,data/eFloras/Betulaceae_1/treatments/taxon_id_233500249.html,12,,,3,,44,,9,,37,12,,,14,,,,1,,,13,,nan,nan,nan,3.5,nan,0.75,4.5,3.5,nan,nan,nan
19,Betula lenta,233500250,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500250,data/eFloras/Betulaceae_1/treatments/taxon_id_233500250.html,,,,0,37,41,,7,,37,3,,,2,,,,1,,,13,,nan,nan,nan,2.75,nan,2.0,7.5,4.5,nan,nan,nan
20,Betula michauxii,233500251,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500251,data/eFloras/Betulaceae_1/treatments/taxon_id_233500251.html,6,,,23,23,0,,9,,34,18,,,9,,,3,1,,,2,,nan,nan,nan,0.75,nan,0.65,0.75,0.85,nan,nan,nan
21,Betula minor,233500252,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500252,data/eFloras/Betulaceae_1/treatments/taxon_id_233500252.html,12,,,3,,0,,9,9,37,18,21,,9,,,,1,,,13,,nan,nan,nan,2.0,nan,0.75,3.5,2.25,nan,nan,nan
22,Betula murrayana,233500253,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500253,data/eFloras/Betulaceae_1/treatments/taxon_id_233500253.html,,,,3,,41,,9,,37,18,,,9,,,,1,,,13,,nan,nan,nan,3.0,nan,2.25,8.0,4.5,nan,nan,nan
23,Betula nana,233500254,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500254,data/eFloras/Betulaceae_1/treatments/taxon_id_233500254.html,17,,,14,,0,,7,,36,18,,,14,,,,1,,,1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,Betula nana subsp. exilis,233500255,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500255,data/eFloras/Betulaceae_1/treatments/taxon_id_233500255.html,12,,2,,,,,9,,36,18,,,9,,,,,,,,,nan,nan,nan,0.85,nan,0.6,0.85,1.05,nan,nan,nan
25,Betula nana subsp. nana,233500256,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500256,data/eFloras/Betulaceae_1/treatments/taxon_id_233500256.html,6,,,,,,,14,,36,18,,,9,,,,,,,,,nan,nan,nan,1.0,nan,0.7,1.15,1.4,nan,nan,nan
26,Betula neoalaskana,233500257,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500257,data/eFloras/Betulaceae_1/treatments/taxon_id_233500257.html,,,,0,,44,,14,,12,18,,,2,,,,1,,,13,,nan,nan,nan,3.0,nan,1.0,5.5,4.0,nan,nan,nan
27,Betula nigra,233500258,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500258,data/eFloras/Betulaceae_1/treatments/taxon_id_233500258.html,,,,0,,25,,20,,38,18,,,9,,,,1,,,6,,nan,nan,nan,2.25,nan,1.75,6.0,4.5,nan,nan,nan
28,Betula occidentalis,233500259,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500259,data/eFloras/Betulaceae_1/treatments/taxon_id_233500259.html,32,,,0,,0,,14,,37,18,,,2,,,,1,,,13,,nan,nan,nan,2.5,nan,1.15,3.9,2.75,nan,nan,nan
29,Betula papyrifera,233500260,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500260,data/eFloras/Betulaceae_1/treatments/taxon_id_233500260.html,,,,0,,0,,14,,37,12,,,9,,,,1,,,13,,20.0,nan,nan,3.75,nan,0.8999999999999999,7.0,5.5,nan,nan,nan
30,Betula pendula,200006160,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200006160,data/eFloras/Betulaceae_1/treatments/taxon_id_200006160.html,,,,0,28,44,,9,,37,3,,,2,,,,1,,,13,,nan,nan,nan,2.75,nan,0.8,5.0,3.75,nan,nan,nan
31,Betula populifolia,233500261,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500261,data/eFloras/Betulaceae_1/treatments/taxon_id_233500261.html,12,,,0,,3,,9,,37,3,8,,14,,,,1,,,,,nan,nan,nan,1.75,nan,0.9,6.5,5.5,nan,nan,nan
32,Betula pubescens,233500262,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500262,data/eFloras/Betulaceae_1/treatments/taxon_id_233500262.html,20,,,3,,,,,,37,18,,,14,,,,,,,23,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,Betula pubescens subsp. pubescens,233500263,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500263,data/eFloras/Betulaceae_1/treatments/taxon_id_233500263.html,,,,3,,,,14,,37,18,,,,,,,,,,6,,nan,1.0,nan,nan,2.5,nan,3.5,3.0,nan,nan,nan
34,Betula pubescens subsp. tortuosa,233500264,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500264,data/eFloras/Betulaceae_1/treatments/taxon_id_233500264.html,,,,3,,,,20,,37,12,,,,,,,,,,6,,1.0,nan,nan,1.25,nan,0.6000000000000001,1.75,1.5,nan,nan,nan
35,Betula pumila,233500265,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500265,data/eFloras/Betulaceae_1/treatments/taxon_id_233500265.html,12,,,14,7,0,,9,,13,12,,,9,,,,1,,,1,,nan,nan,nan,1.15,nan,0.9,3.75,3.0,nan,nan,nan
36,Betula uber,233500266,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500266,data/eFloras/Betulaceae_1/treatments/taxon_id_233500266.html,6,,,12,32,17,,20,,36,12,,,14,,,,1,,,23,,nan,nan,nan,1.5,nan,1.25,3.5,3.0,nan,nan,nan
37,Betulaceae,10101,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=10101,data/eFloras/Betulaceae_1/treatments/taxon_id_10101.html,,,,,,50,,,10,,18,9,,,,,8,,,,30,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,Betuloideae,20501,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=20501,data/eFloras/Betulaceae_1/treatments/taxon_id_20501.html,,,,,40,9,,,,,,,,,,,8,,,,,,nan,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan
39,Carpinus,105705,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=105705,data/eFloras/Betulaceae_1/treatments/taxon_id_105705.html,34,,4,,26,15,,,,37,19,,,14,,,,1,,,13,,8.0,nan,nan,nan,nan,nan,7.5,4.5,nan,nan,nan
40,Carpinus caroliniana,233500311,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500311,data/eFloras/Betulaceae_1/treatments/taxon_id_233500311.html,34,,,3,,,,,9,37,12,,,14,,,,,,,13,,nan,4.5,nan,7.25,7.5,nan,3.125,2.0999999999999996,nan,nan,nan
41,Carpinus caroliniana subsp. caroliniana,233500312,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500312,data/eFloras/Betulaceae_1/treatments/taxon_id_233500312.html,17,,,12,,,,7,9,37,12,,,14,,,,,,,13,,nan,4.5,nan,4.75,5.75,nan,3.0,1.8499999999999999,nan,nan,nan
42,Carpinus caroliniana subsp. virginiana,233500313,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500313,data/eFloras/Betulaceae_1/treatments/taxon_id_233500313.html,4,,,8,,,,7,9,37,18,,,14,,,,,,27,13,,nan,nan,nan,8.25,nan,nan,6.5,3.45,nan,nan,nan
43,Coryloideae,20502,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=20502,data/eFloras/Betulaceae_1/treatments/taxon_id_20502.html,,,,,40,,,,,,,,,,,,,,,,,,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan
44,Corylus,108088,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=108088,data/eFloras/Betulaceae_1/treatments/taxon_id_108088.html,6,,4,,26,41,,7,,37,6,19,,14,,,,1,,,13,,nan,nan,nan,nan,nan,nan,8.0,7.75,nan,nan,nan
45,Corylus americana,233500448,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500448,data/eFloras/Betulaceae_1/treatments/taxon_id_233500448.html,17,,,0,23,,,7,,37,18,,,9,,8,,,,26,23,17,3.0,3.5,nan,3.0,3.5,nan,10.5,8.0,nan,nan,nan
46,Corylus avellana,233500449,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500449,data/eFloras/Betulaceae_1/treatments/taxon_id_233500449.html,6,2,,0,,,,14,,37,12,,,9,,7,,,,,13,17,5.0,3.5,nan,8.5,5.5,nan,8.5,8.0,nan,nan,nan
47,Corylus cornuta,233500450,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500450,data/eFloras/Betulaceae_1/treatments/taxon_id_233500450.html,6,2,,4,,53,,14,,36,12,,,2,,,,,,,13,1,4.0,3.5,5.25,nan,4.0,nan,7.0,7.75,nan,nan,nan
48,Corylus cornuta subsp. californica,233500451,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500451,data/eFloras/Betulaceae_1/treatments/taxon_id_233500451.html,6,2,,12,,53,,7,,36,12,,,9,,,7,,,,13,17,8.0,4.0,nan,7.5,4.0,nan,5.5,5.25,nan,nan,nan
49,Corylus cornuta subsp. cornuta,233500452,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500452,data/eFloras/Betulaceae_1/treatments/taxon_id_233500452.html,6,2,,0,,53,,7,,37,18,,,14,,,,,,,13,17,6.0,3.5,nan,1.25,4.0,nan,8.5,6.25,nan,nan,nan
50,Ostrya,123370,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=123370,data/eFloras/Betulaceae_1/treatments/taxon_id_123370.html,6,,4,,26,41,,,,37,19,,,,,,,1,,,13,,9.0,3.75,nan,nan,7.75,nan,nan,nan,nan,nan,nan
51,Ostrya chisosensis,233500837,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500837,data/eFloras/Betulaceae_1/treatments/taxon_id_233500837.html,8,,,12,0,,,14,9,13,18,,,9,,,,,,,13,,nan,nan,nan,3.0,nan,2.0,2.825,1.625,nan,nan,nan
52,Ostrya knowltonii,233500838,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500838,data/eFloras/Betulaceae_1/treatments/taxon_id_233500838.html,8,,,3,23,,,14,9,37,18,,,9,,,,,,,13,,nan,nan,nan,3.25,nan,2.15,2.95,2.0,nan,nan,nan
53,Ostrya virginiana,233500839,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500839,data/eFloras/Betulaceae_1/treatments/taxon_id_233500839.html,17,,,0,23,,,14,9,37,21,,,9,,,,,,,13,,nan,nan,nan,5.0,nan,2.25,5.2,2.7,nan,nan,nan
54,Casuarina,105837,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=105837,data/eFloras/Casuarinaceae_1/treatments/taxon_id_105837.html,,,,,,,,,,,18,,,,,,3,,12,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,Casuarina cunninghamiana,200005532,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200005532,data/eFloras/Casuarinaceae_1/treatments/taxon_id_200005532.html,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,Casuarina cunninghamiana subsp. cunninghamiana,233500328,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500328,data/eFloras/Casuarinaceae_1/treatments/taxon_id_233500328.html,8,,,,4,,,,,3,,,,9,,,12,,,,,,10.5,nan,5.5,7.0,nan,5.0,nan,nan,nan,nan,nan
57,Casuarina equisetifolia,200005533,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200005533,data/eFloras/Casuarinaceae_1/treatments/taxon_id_200005533.html,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,Casuarina equisetifolia subsp. equisetifolia,233500329,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500329,data/eFloras/Casuarinaceae_1/treatments/taxon_id_233500329.html,8,,,,4,,,,,3,,,,9,,,12,,,,,,6.0,nan,6.5,12.5,nan,10.0,nan,nan,nan,nan,nan
59,Casuarina glauca,200005534,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200005534,data/eFloras/Casuarinaceae_1/treatments/taxon_id_200005534.html,8,,,,11,,,,,3,,,,2,,,3,,20,,,,8.0,nan,7.5,8.875,nan,8.0,nan,nan,nan,nan,nan
60,Casuarinaceae,10167,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=10167,data/eFloras/Casuarinaceae_1/treatments/taxon_id_10167.html,,,,,18,9,,,,0,,,,,2,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61,Castanea,105816,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=105816,data/eFloras/Fagaceae_1/treatments/taxon_id_105816.html,,,,,,6,,,4,41,,20,,,,,,,,,,16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62,Castanea dentata,233500325,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500325,data/eFloras/Fagaceae_1/treatments/taxon_id_233500325.html,17,,,0,,35,,9,,33,3,20,,2,,,3,,,,23,,5.0,nan,nan,17.25,nan,21.5,99.5,65.0,nan,nan,nan
63,Castanea ozarkensis,233500326,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500326,data/eFloras/Fagaceae_1/treatments/taxon_id_233500326.html,6,,,3,,38,30,9,,33,18,0,,2,,,,1,,,23,,10.0,nan,nan,13.166666666666666,nan,11.0,75.75,65.0,nan,nan,nan
64,Castanea pumila,233500327,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500327,data/eFloras/Fagaceae_1/treatments/taxon_id_233500327.html,6,,,,,39,,14,9,13,11,0,,14,,,,,,,23,,nan,nan,14.0,6.5,nan,nan,61.75,50.0,nan,nan,nan
65,Chrysolepis,106995,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=106995,data/eFloras/Fagaceae_1/treatments/taxon_id_106995.html,,,,,38,38,,,9,,,,,,,,,,21,,15,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
66,Chrysolepis chrysophylla,220002877,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=220002877,data/eFloras/Fagaceae_1/treatments/taxon_id_220002877.html,36,,,3,,,,,2,,,,,,,,15,,3,,15,,nan,nan,nan,10.0,nan,nan,6.5,nan,nan,nan,nan
67,Chrysolepis chrysophylla var. chrysophylla,233500372,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500372,data/eFloras/Fagaceae_1/treatments/taxon_id_233500372.html,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68,Chrysolepis chrysophylla var. minor,233500373,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500373,data/eFloras/Fagaceae_1/treatments/taxon_id_233500373.html,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,Chrysolepis sempervirens,233500374,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500374,data/eFloras/Fagaceae_1/treatments/taxon_id_233500374.html,36,,,12,,,12,,,30,12,,,14,,,3,,3,,15,,0.2,nan,nan,10.5,nan,nan,27.5,nan,nan,nan,nan
70,Fagaceae,10338,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=10338,data/eFloras/Fagaceae_1/treatments/taxon_id_10338.html,,,,,,50,,,10,,18,9,,,,,8,,,28,23,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,Fagus,112623,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=112623,data/eFloras/Fagaceae_1/treatments/taxon_id_112623.html,,,,,,,,,4,3,,20,,,,,15,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72,Fagus grandifolia,233500645,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500645,data/eFloras/Fagaceae_1/treatments/taxon_id_233500645.html,6,9,,0,37,,,9,2,37,3,,6,14,,,3,,3,,,,17.5,nan,nan,17.5,nan,14.0,49.0,50.0,nan,nan,nan
73,Lithocarpus,118733,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=118733,data/eFloras/Fagaceae_1/treatments/taxon_id_118733.html,,,,,25,38,,,9,,,,,,,,,,,,15,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74,Lithocarpus densiflorus,233500750,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500750,data/eFloras/Fagaceae_1/treatments/taxon_id_233500750.html,36,,,,,48,2,,,8,18,21,,15,,,16,,10,,,,20.0,nan,nan,25.0,nan,nan,90.0,nan,nan,nan,nan
75,Lithocarpus densiflorus var. densiflorus,233500751,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500751,data/eFloras/Fagaceae_1/treatments/taxon_id_233500751.html,,,,,,,,,9,8,,,,15,,,,,,,,,20.0,nan,nan,nan,nan,nan,120.0,nan,nan,nan,nan
76,Lithocarpus densiflorus var. echinoides,233500752,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233500752,data/eFloras/Fagaceae_1/treatments/taxon_id_233500752.html,,,,,,,,,1,,,,,15,,,,,,,,,2.0,nan,nan,nan,nan,nan,60.0,nan,nan,nan,nan
77,Quercus,127839,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=127839,data/eFloras/Fagaceae_1/treatments/taxon_id_127839.html,,,,,33,38,,,9,,,21,,,,,,,,28,15,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78,Quercus Sect. Lobatae,302020,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=302020,data/eFloras/Fagaceae_1/treatments/taxon_id_302020.html,6,,,,,,,,,,,,,14,8,,,,,28,30,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79,Quercus Sect. Protobalanus,302027,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=302027,data/eFloras/Fagaceae_1/treatments/taxon_id_302027.html,12,,,,,,,,,,,,,14,5,,,,,,15,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80,Quercus Sect. Quercus,302029,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=302029,data/eFloras/Fagaceae_1/treatments/taxon_id_302029.html,17,,,,,,,,,,,,,14,5,,,,,28,15,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81,Quercus acerifolia,233501004,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233501004,data/eFloras/Fagaceae_1/treatments/taxon_id_233501004.html,17,,,3,15,41,,13,9,13,3,,,9,,,12,,8,15,,,nan,nan,nan,11.125,nan,13.5,47.333333333333336,125.0,nan,nan,2.25
82,Quercus agrifolia,233501005,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233501005,data/eFloras/Fagaceae_1/treatments/taxon_id_233501005.html,12,,,6,26,47,,14,9,13,12,,,9,,,12,,,,15,,3.0,nan,nan,15.375,nan,12.25,27.25,25.0,nan,nan,2.25
83,Quercus ajoensis,233501006,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233501006,data/eFloras/Fagaceae_1/treatments/taxon_id_233501006.html,6,,,3,26,32,2,7,9,37,18,,,15,3,,12,,,,,,1.5,nan,nan,8.5,nan,6.75,14.25,15.0,nan,nan,1.5
84,Quercus alba,233501007,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233501007,data/eFloras/Fagaceae_1/treatments/taxon_id_233501007.html,17,,,14,26,32,20,9,9,33,18,,,9,7,,16,,3,,,,3.0,nan,25.0,18.0,nan,13.5,83.75,90.0,nan,nan,2.5
85,Quercus arizonica,233501008,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233501008,data/eFloras/Fagaceae_1/treatments/taxon_id_233501008.html,17,6,,3,23,32,12,7,6,13,18,,0,1,7,,16,,3,,15,,nan,nan,15.0,8.75,nan,12.5,30.166666666666668,22.5,nan,nan,2.0
86,Quercus arkansana,233501009,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233501009,data/eFloras/Fagaceae_1/treatments/taxon_id_233501009.html,0,,,14,26,51,,7,9,45,12,,,1,,,11,,,,15,,2.0,nan,nan,10.0,nan,12.5,57.5,67.5,nan,nan,2.25
87,Quercus austrina,233501010,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233501010,data/eFloras/Fagaceae_1/treatments/taxon_id_233501010.html,32,10,,14,26,39,20,9,9,33,3,,5,8,3,,0,,12,19,,,20.0,nan,nan,11.5,nan,12.0,31.0,21.125,nan,nan,2.25
