,taxon,leaf_part_margin_margin,part_apex_shape,flower_part_surface,leaf_part_hair_shape,fruit_part_apex_shape,part_color,leaf_part_axil_venation_lateral,fruit_part_shape,leaf_part_hair_surface,leaf_part_lobe_shape,leaf_part_margin_margin_apical,leaf_part_hair_venation,part_shape,leaf_part_surface,fruit_part_venation,leaf_part_base_shape,fruit_part_surface,leaf_part_margin,leaf_part_venation_lateral,leaf_part_shape,flower_part_shape,leaf_part_hair_color,leaf_part_trichome_color,fruit_part_color,part_color_terminal,leaf_part_apex_shape,leaf_part_color,part_surface,leaf_part_venation,inflorescence_surface,inflorescence_shape,leaf_part_size_length,inflorescence_size_length,part_size_height,part_size_thickness,leaf_part_size_width,inflorescence_size_width,fruit_part_size_thickness,fruit_part_size_width,fruit_part_size_length,part_size_diameter,inflorescence_size_male_length,flower_part_size_length,part_size_width,part_size_length,leaf_part_size_thickness
0,Alnus,['doubly serrate'],"['orbicular', 'acute']",[],[],[],"['white', 'red']",[],['pendulous'],[],[],[],[],"['', 'ovoid', 'ellipsoid', 'valvate']","['glandular', 'glabrous', 'surface', 'tomentose']",[],[],[],"['entire', 'serrate', 'serrulate']",[],['ovate'],[],[],[],[],[],[],[],['smooth'],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,nan
1,Alnus glutinosa,[],['obtuse'],[],[],[],['brown'],[],"['ovoid', 'obovate', 'spheric']",[],[],[],[],"['valvate', 'ellipsoid', 'obovoid']","['glabrous', 'surface', 'pubescent']",[],"['obtuse', 'cuneate']",[],"['dentate', 'doubly serrate']",[],['obovate'],[],[],[],[],[],"['obcordate', 'retuse']",[],['smooth'],['vein'],[],[],6.0,nan,nan,nan,5.5,nan,nan,1.25,1.85,nan,nan,5.5,nan,7.833333333333333,nan
2,Alnus incana,['doubly serrate'],"['orbicular', 'acute']",[],[],[],"['brown', 'red', 'gray']",[],"['', 'ovoid', 'elliptic', 'bilaterally symmetric', 'obovate']",[],[],[],[],"['bilaterally symmetric', 'ellipsoid', 'valvate']",[],[],"['cuneate', 'orbicular']",[],[],[],['ovate'],[],[],[],[],[],"['obtuse', 'acuminate', 'acute']",[],['smooth'],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.75,nan
3,Alnus incana subsp. rugosa,['doubly serrate'],"['obtuse', 'acute']",[],[],[],"['white', 'brown-red', 'gray']",[],['ovoid'],[],[],[],[],['ellipsoid'],"['glabrous', 'surface', 'pubescent']",[],"['cuneate', 'orbicular']",[],['toothed'],[],['ovate'],[],[],[],[],[],"['obtuse', 'acuminate', 'acute']",['glaucous'],['smooth'],['vein'],[],[],7.5,nan,nan,nan,5.5,nan,nan,1.0,1.35,nan,nan,3.0,nan,4.583333333333334,nan
4,Alnus incana subsp. tenuifolia,"['crenate', 'lobulate', 'doubly serrate']",['obtuse'],[],[],[],"['brown', 'gray']",[],['ovoid'],[],[],[],[],"['valvate', 'ellipsoid', 'orbicular', 'elliptic']","['glabrous', 'surface', 'pubescent']",[],"['cuneate', 'orbicular']",[],[],[],['ovate'],[],[],[],[],[],"['obtuse', 'acute']",[],['smooth'],[],[],[],7.0,nan,nan,nan,5.25,nan,nan,1.05,1.5,nan,nan,3.0,nan,4.916666666666666,nan
5,Alnus maritima,[],['orbicular'],[],[],[],['gray'],[],"['ovoid', 'elliptic']",[],[],[],[],"['ovoid', 'ellipsoid']","['glabrous', 'surface']",[],"['cuneate', 'acute']",[],[],[],['elliptic'],[],[],[],[],[],['acute'],[],['smooth'],[],[],[],6.75,nan,nan,nan,3.5,nan,nan,1.7000000000000002,2.0,nan,nan,7.5,nan,3.875,nan
6,Alnus oblongifolia,[],['orbicular'],[],[],[],"['black', 'gray']",[],"['', 'ovoid', 'ellipsoid', 'elliptic', 'bilaterally symmetric', 'obovate']",[],[],[],[],['ovoid'],"['villose', 'glabrous', 'surface', 'pubescent']",[],"['cuneate', 'orbicular']",[],"['serrate', 'doubly serrate']",[],['valvate'],[],[],[],[],[],['acuminate'],[],['smooth'],[],[],[],7.0,nan,nan,nan,4.5,nan,nan,1.15,1.75,nan,nan,7.5,nan,8.375,nan
7,Alnus rhombifolia,[],['orbicular'],[],[],[],['gray'],[],"['', 'ovoid', 'bilaterally symmetric', 'elliptic']",[],[],[],[],"['ellipsoid', 'obovoid']","['villose', 'pubescent', 'surface']",[],"['cuneate', 'orbicular']",[],"['serrate', 'serrulate']",[],['valvate'],[],[],[],[],[],"['obtuse', 'orbicular', 'acute']",[],['smooth'],[],[],[],6.5,nan,nan,nan,3.5,nan,nan,0.85,1.6,nan,nan,5.5,nan,9.666666666666666,nan
8,Alnus rubra,[],['orbicular'],[],[],[],['gray'],[],"['ovoid', 'elliptic', 'spheric', 'ovate', 'obovate']",[],[],[],[],"['valvate', 'ellipsoid', 'rhomboid']","['glabrous', 'surface', 'pubescent']",[],"['cuneate', 'orbicular']",[],"['crenate', 'doubly serrate']",[],['ovate'],[],[],[],[],[],"['obtuse', 'acute']",[],['smooth'],[],[],[],11.0,nan,nan,nan,7.0,nan,nan,1.05,2.25,nan,nan,5.5,nan,9.666666666666668,nan
9,Alnus serrulata,[],['orbicular'],[],[],[],['gray'],[],"['ellipsoid-ovoid', 'obovate', 'elliptic']",[],[],[],[],"['valvate', 'ellipsoid', 'obovoid']","['villose', 'glabrous', 'surface']",[],['cuneate'],[],['serrulate'],[],['elliptic'],[],[],[],[],[],"['obtuse', 'orbicular']",[],['smooth'],[],[],[],9.5,nan,nan,nan,5.75,nan,nan,0.8999999999999999,1.6,nan,nan,2.0,nan,4.583333333333334,nan
