,taxon,leaf_part_margin_margin,part_apex_shape,flower_part_surface,leaf_part_hair_shape,fruit_part_apex_shape,part_color,leaf_part_axil_venation_lateral,fruit_part_shape,leaf_part_hair_surface,leaf_part_lobe_shape,leaf_part_margin_margin_apical,leaf_part_hair_venation,part_shape,leaf_part_surface,fruit_part_venation,leaf_part_base_shape,fruit_part_surface,leaf_part_margin,leaf_part_venation_lateral,leaf_part_shape,flower_part_shape,leaf_part_hair_color,leaf_part_trichome_color,fruit_part_color,part_color_terminal,leaf_part_apex_shape,leaf_part_color,part_surface,leaf_part_venation,inflorescence_surface,inflorescence_shape,leaf_part_size_length,inflorescence_size_length,part_size_height,part_size_thickness,leaf_part_size_width,inflorescence_size_width,fruit_part_size_thickness,fruit_part_size_width,fruit_part_size_length,part_size_diameter,inflorescence_size_male_length,flower_part_size_length,part_size_width,part_size_length,leaf_part_size_thickness
10,Alnus viridis,"['doubly serrate', 'serrulate']",['acuminate'],[],[],[],[],[],"['', 'ovoid', 'ellipsoid', 'elliptic', 'obovate']",[],[],[],[],['ovoid'],"['glabrous', 'surface', 'tomentose']",[],['orbicular'],[],[],[],['ovate'],[],[],[],[],[],"['orbicular', 'acute']",[],['smooth'],[],[],[],7.0,nan,nan,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan,5.5,nan
11,Alnus viridis subsp. crispa,"['serrate', 'serrulate']",[],[],[],[],['brown-gray'],[],[],[],[],[],[],[],"['glabrous', 'surface', 'tomentose']",[],['orbicular'],[],[],[],['ovate'],[],[],[],[],[],"['obtuse', 'acute']",['green'],[],[],[],[],4.75,nan,nan,nan,4.0,nan,nan,0.85,1.6,nan,nan,3.0,nan,3.0,nan
12,Alnus viridis subsp. fruticosa,[],[],[],[],[],['brown-gray'],[],[],[],[],[],[],[],"['glabrous', 'surface', 'pubescent']",[],"['truncate', 'orbicular', 'cordate']",[],['doubly serrate'],[],['ovate'],[],[],[],[],[],"['acuminate', 'acute']",['green'],[],['vein'],[],[],6.5,nan,nan,nan,4.5,nan,nan,0.85,1.6,nan,nan,2.0,nan,3.0,nan
13,Alnus viridis subsp. sinuata,[],[],[],[],[],"['brown-red', 'gray']",[],[],[],[],[],[],[],"['glabrous', 'surface', 'pubescent']",[],"['orbicular', 'cordate']",[],['doubly serrate'],[],['ovate'],[],[],[],[],[],['acuminate'],['green-yellow'],[],[],[],[],7.0,nan,nan,nan,5.5,nan,nan,1.05,2.0,nan,nan,2.0,nan,5.0,nan
14,Betula,"['crenate', 'serrate', 'doubly serrate']",['acute'],[],[],[],"['white', 'brown-red']",[],['pendulous'],[],[],[],[],"['', 'slender']","['glandular', 'glabrous', 'surface', 'tomentose']",[],[],[],[],[],['ovate'],[],[],[],[],[],[],[],['smooth'],[],[],[],5.25,nan,nan,nan,4.25,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan
15,Betula alleghaniensis,['doubly serrate'],[],[],[],[],[],[],"['ovoid', 'orbicular']",[],[],[],[],['straight'],"['pubescent', 'surface']",[],"['cuneate', 'orbicular', 'cordate']",[],[],['vein'],['ovate'],[],[],[],[],[],['acuminate'],[],"['glabrous', 'pubescent']",[],[],[],8.0,nan,nan,nan,4.25,nan,nan,1.75,2.25,nan,nan,nan,nan,30.0,nan
16,Betula cordifolia,['doubly serrate'],[],[],[],[],[],[],"['', 'obtuse', 'pendulous']",[],[],[],[],['bilaterally symmetric'],['pubescent'],[],['cordate'],[],[],['vein'],['ovate'],[],[],[],[],[],['acuminate'],[],"['glabrous', 'pubescent']",[],[],[],8.0,nan,nan,nan,6.0,nan,nan,0.8,4.0,nan,nan,nan,nan,20.0,nan
17,Betula glandulosa,['crenate-dentate'],[],[],[],[],['brown'],[],[''],[],[],[],[],[],"['glabrous', 'surface', 'pubescent']",[],"['cuneate', 'orbicular']",[],[],['vein'],['obovate'],[],[],[],[],[],"['obtuse', 'orbicular']",[],"['smooth', 'glabrous', 'pubescent']",[],[],[],1.75,nan,nan,nan,1.75,nan,nan,0.85,1.75,nan,nan,nan,nan,3.0,nan
18,Betula kenaica,"['dentate', 'doubly serrate']",[],[],[],[],"['pink', 'gray-white', 'brown-red']",[],"['', 'pendulous']",[],[],[],[],[],"['pubescent', 'surface']",[],"['cuneate', 'orbicular']",[],[],['vein'],['ovate'],[],[],[],[],[],"['acuminate', 'acute']",[],"['smooth', 'pubescent']",[],[],[],4.5,nan,nan,nan,3.5,nan,nan,0.75,3.5,nan,nan,nan,nan,12.0,nan
19,Betula lenta,"['serrate', 'doubly serrate']",[],[],[],[],[],[],"['ovoid', 'cuneate', 'spheric']",[],[],[],[],['straight'],"['glabrous', 'surface']",[],"['orbicular', 'cordate']",[],[],['vein'],['ovate'],[],[],[],[],[],['acuminate'],[],"['glabrous', 'pubescent']",[],[],[],7.5,nan,nan,nan,4.5,nan,nan,2.0,2.75,nan,nan,nan,nan,20.0,nan
20,Betula michauxii,['crenate-dentate'],[],[],[],[],['brown'],[],[''],[],[],[],[],['orbicular'],"['glabrous', 'surface']",[],['cuneate'],['glabrous'],[],['vein'],['obovate-reniform'],[],[],[],[],[],"['truncate', 'orbicular']",[],"['smooth', 'pubescent']",[],[],[],0.75,nan,nan,nan,0.85,nan,nan,0.65,0.75,nan,nan,nan,nan,0.5,nan
21,Betula minor,['doubly serrate'],[],[],[],['obtuse'],['brown-red'],[],[''],[],[],[],[],[],"['glabrous', 'surface', 'pubescent']",[],"['truncate', 'cuneate', 'orbicular']",[],['toothed'],['vein'],['ovate'],[],[],[],[],[],"['obtuse', 'acute']",[],"['smooth', 'glabrous', 'pubescent']",['vein'],[],[],3.5,nan,nan,nan,2.25,nan,nan,0.75,2.0,nan,nan,nan,nan,5.0,nan
22,Betula murrayana,['doubly serrate'],[],[],[],[],[],[],['ovoid'],[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",[],['cuneate'],[],[],['vein'],['ovate'],[],[],[],[],[],"['acuminate', 'acute']",[],"['glabrous', 'pubescent']",[],[],[],8.0,nan,nan,nan,4.5,nan,nan,2.25,3.0,nan,nan,nan,nan,15.0,nan
23,Betula nana,['crenate'],[],[],[],[],"['brown', 'gray']",[],[''],[],[],[],[],[],"['glabrous', 'surface', 'pubescent']",[],"['orbicular', 'cordate']",[],[],['vein'],['orbicular'],[],[],[],[],[],['orbicular'],[],"['smooth', 'glabrous', 'pubescent']",[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
24,Betula nana subsp. exilis,[],[],[],[],[],['brown-red'],[],[],[],[],[],[],[],"['glabrous', 'surface']",['parallel'],"['cuneate', 'orbicular', 'cordate']",[],[],[],['orbicular'],[],[],[],[],[],[],[],"['glabrous', 'pubescent']",[],[],[],0.85,nan,nan,nan,1.05,nan,nan,0.6,0.85,nan,nan,nan,nan,1.0,nan
25,Betula nana subsp. nana,[],[],[],[],[],['brown'],[],[],[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",[],"['cuneate', 'orbicular', 'cordate']",[],[],[],['orbicular'],[],[],[],[],[],[],[],['pubescent'],[],[],[],1.15,nan,nan,nan,1.4,nan,nan,0.7,1.0,nan,nan,nan,nan,1.0,nan
26,Betula neoalaskana,['doubly serrate'],[],[],[],[],[],[],"['', 'pendulous']",[],[],[],[],[],"['glabrous', 'surface', 'pubescent']",[],"['cuneate', 'orbicular']",[],[],['vein'],['deltoid-ovate'],[],[],[],[],[],['acuminate'],[],['glabrous'],[],[],[],5.5,nan,nan,nan,4.0,nan,nan,1.0,3.0,nan,nan,nan,nan,25.0,nan
27,Betula nigra,"['dentate', 'doubly serrate']",[],[],[],['acute'],[],[],"['spheric', 'elongate']",[],[],[],[],[],"['pubescent', 'surface']",[],"['truncate', 'cuneate']",[],[],['vein'],['ovate-rhomboic'],[],[],[],[],[],['acuminate'],[],"['glabrous', 'pubescent']",[],[],[],6.0,nan,nan,nan,4.5,nan,nan,1.75,2.25,nan,nan,nan,nan,25.0,nan
28,Betula occidentalis,"['serrate', 'doubly serrate']",[],[],[],[],"['bronze', 'red', 'brown-red']",[],"['', 'pendulous']",[],[],[],[],[],"['pubescent', 'surface']",[],"['truncate', 'cuneate', 'orbicular']",[],[],['vein'],['ovate'],[],[],[],[],[],"['acuminate', 'acute']",[],"['smooth', 'glabrous', 'pubescent']",[],[],[],3.9,nan,nan,nan,2.75,nan,nan,1.15,2.5,nan,nan,nan,nan,10.0,nan
29,Betula papyrifera,"['dentate-serrate', 'doubly serrate']",[],[],[],[],[],[],"['', 'obtuse', 'pendulous']",[],[],[],[],[],"['pubescent', 'surface']",[],['orbicular'],[],[],['vein'],['ovate'],[],[],[],[],[],"['acuminate', 'acute']",[],['pubescent'],[],[],[],7.0,nan,nan,nan,5.5,nan,nan,0.8999999999999999,3.75,nan,nan,nan,nan,25.0,nan
30,Betula pendula,['doubly serrate'],[],[],[],[],[],[],"['', 'orbicular', 'pendulous']",[],[],[],[],['pendulous'],"['glabrous', 'surface', 'pubescent']",[],['cuneate'],[],[],['vein'],['ovate'],[],[],[],[],[],['acuminate'],[],['glabrous'],[],[],[],5.0,nan,nan,nan,3.75,nan,nan,0.8,2.75,nan,nan,nan,nan,25.0,nan
31,Betula populifolia,[],[],[],[],[],"['gray-white', 'brown-red']",[],"['', 'angular', 'pendulous', 'acute']",[],[],[],[],[],"['glabrous', 'surface', 'pubescent']",[],"['truncate', 'cuneate']",[],['doubly serrate'],['vein'],['ovate'],[],[],[],[],[],['acuminate'],[],"['smooth', 'glabrous', 'pubescent']",[],[],[],6.5,nan,nan,nan,5.5,nan,nan,0.9,1.75,nan,nan,nan,nan,10.0,nan
32,Betula pubescens,['serrate'],[],[],[],[],"['brown', 'tan', 'brown-red', 'gray-white']",[],[],[],[],[],[],[],"['pubescent', 'surface']",[],[],[],[],[],['ovate'],[],[],[],[],[],['acute'],[],['smooth'],[],[],"['', 'pendulous']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,Betula pubescens subsp. pubescens,"['toothed', 'dentate']",[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'surface']",[],['orbicular'],[],[],[],['ovate'],[],[],[],[],[],['acute'],[],[],[],[],[],3.5,2.5,nan,nan,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,20.0,nan
34,Betula pubescens subsp. tortuosa,"['dentate', 'serrate']",[],[],[],"['obtuse', 'acute']",[],[],[],[],[],[],[],[],"['pubescent', 'surface']",[],"['truncate', 'cuneate']",[],[],[],['ovate'],[],[],[],[],[],['acute'],[],[],[],[],[],1.75,nan,nan,nan,1.5,nan,nan,0.6000000000000001,1.25,nan,nan,nan,nan,6.5,nan
35,Betula pumila,"['crenate', 'dentate']",[],[],[],[],['brown-red'],[],"['', 'elongate']",[],[],[],[],['bilaterally symmetric'],"['glabrous', 'surface', 'pubescent', 'tomentose']",[],"['cuneate', 'orbicular']",[],[],['vein'],['elliptic'],[],[],[],[],[],"['obtuse', 'orbicular', 'acute']",[],"['smooth', 'glabrous', 'pubescent']",[],[],[],3.75,nan,nan,nan,3.0,nan,nan,0.9,1.15,nan,nan,nan,nan,4.0,nan
36,Betula uber,"['dentate', 'serrate']",[],[],[],[],['brown'],[],['ellipsoid'],[],[],[],[],['slender'],"['glabrous', 'surface', 'pubescent']",[],"['truncate', 'orbicular', 'cordate']",[],[],['vein'],['orbicular'],[],[],[],[],[],"['obtuse', 'orbicular']",[],"['smooth', 'glabrous']",[],[],[],3.5,nan,nan,nan,3.0,nan,nan,1.25,1.5,nan,nan,nan,nan,10.0,nan
37,Betulaceae,['toothed'],[],[],[],[],[],[],['straight'],[],[],[],[],[],"['glabrous', 'surface', 'tomentose']",[],[],['membranous'],"['serrate', 'entire']",[],[],[],[],[],[],[],[],[],[],['veined'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,Betuloideae,[],[],[],[],[],[],[],['conelike'],[],[],[],[],['triangular'],[],[],[],['membranous'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,2.5,nan,nan,nan,nan,nan,nan
39,Carpinus,"['serrulate', 'doubly serrate']",['acute'],[],[],[],"['white', 'brown']",[],['deltoid'],[],[],[],[],['ovoid'],"['glabrous', 'surface', 'tomentose']",['rib'],[],[],[],['vein'],['ovate'],[],[],[],[],[],[],[],['smooth'],[],[],[],7.5,nan,nan,nan,4.5,nan,nan,nan,nan,nan,nan,nan,nan,16.5,nan
40,Carpinus caroliniana,['doubly serrate'],[],[],[],[],"['white', 'gray']",[],[],[],[],[],[],[],"['pubescent', 'surface']",[],[],[],[],[],['ovate'],[],[],[],[],[],['acute'],[],['smooth'],['vein'],[],[],3.125,7.5,nan,nan,2.0999999999999996,4.5,nan,nan,7.25,nan,nan,nan,nan,12.0,nan
41,Carpinus caroliniana subsp. caroliniana,['doubly serrate'],[],[],[],[],"['gray', 'brown-gray']",[],[],[],[],[],[],[],"['pubescent', 'surface']",[],"['orbicular', 'cordate']",[],[],[],['ovate'],[],[],[],[],[],"['obtuse', 'acute']",[],['smooth'],['vein'],[],[],3.0,5.75,nan,nan,1.8499999999999999,4.5,nan,nan,4.75,nan,nan,nan,nan,8.0,nan
42,Carpinus caroliniana subsp. virginiana,['doubly serrate'],[],[],[],[],['blue-gray'],[],[],[],['triangular'],[],[],[],"['pubescent', 'surface']",[],"['orbicular', 'cordate']",[],[],[],['ovate'],[],[],[],[],[],['caudate'],[],['smooth'],['vein'],[],[],6.5,nan,nan,nan,3.45,nan,nan,nan,8.25,nan,nan,nan,nan,12.0,nan
43,Coryloideae,[],[],[],[],[],[],[],[],[],[],[],[],"['orbicular', 'triangular']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan
44,Corylus,['doubly serrate'],['acute'],[],[],[],"['white', 'brown', 'brown-gray']",[],"['ovoid', 'spheric']",[],[],[],[],['ovoid'],"['hairy', 'pubescent', 'surface', 'glandular']",['rib'],['cordate'],[],['spiny'],['vein'],['ovate'],[],[],[],[],[],[],[],['smooth'],[],[],[],8.0,nan,nan,nan,7.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,Corylus americana,"['serrate', 'doubly serrate']",[],"['downy', 'pubescent', 'surface', 'glandular']",[],['laciniate'],['gray'],[],[],[],['straight'],[],[],['orbicular'],"['pubescent', 'glandular', 'surface']",[],"['orbicular', 'cordate']",[],[],[],['ovate'],[],[],[],[],[],['acuminate'],[],"['smooth', 'pubescent']",[],[],['ovoid'],10.5,3.5,nan,nan,8.0,3.5,nan,nan,3.0,nan,nan,nan,nan,3.0,nan
46,Corylus avellana,['doubly serrate'],[],"['pubescent', 'surface']",[],[],['brown'],[],[],['glandular'],[],[],[],[],['pubescent'],[],"['orbicular', 'cordate']",[],[],[],['ovate'],[],[],[],[],[],['acuminate'],[],"['smooth', 'pubescent']",[],[],['ovoid'],8.5,5.5,nan,nan,8.0,3.5,nan,nan,8.5,nan,nan,nan,nan,5.0,nan
47,Corylus cornuta,['doubly serrate'],[],[],[],[],['brown'],[],['tubular'],['glandular'],[],[],[],[],"['glabrous', 'surface', 'pubescent']",[],"['orbicular', 'cordate']",[],[],[],['orbicular'],[],[],[],[],[],"['obtuse', 'angular', 'acuminate', 'acute']",[],"['smooth', 'glabrous', 'pubescent']",[],[],"['ovoid', 'acute']",7.0,4.0,nan,nan,7.75,3.5,nan,nan,nan,nan,nan,5.25,nan,6.0,nan
48,Corylus cornuta subsp. californica,['doubly serrate'],[],[],[],[],"['brown', 'black']",[],['tubular'],['glandular'],[],[],[],[],['pubescent'],[],['cordate'],['hispid'],[],[],['orbicular'],[],[],[],[],[],"['obtuse', 'acute']",[],['pubescent'],[],[],['ovoid'],5.5,4.0,nan,nan,5.25,4.0,nan,nan,7.5,nan,nan,nan,nan,8.0,nan
49,Corylus cornuta subsp. cornuta,['doubly serrate'],[],[],[],[],['brown'],[],['tubular'],['glandular'],[],[],[],[],"['glabrous', 'surface', 'pubescent']",[],"['orbicular', 'cordate']",[],[],[],['ovate'],[],[],[],[],[],"['angular', 'acuminate']",[],"['smooth', 'glabrous', 'pubescent']",[],[],['ovoid'],8.5,4.0,nan,nan,6.25,3.5,nan,nan,1.25,nan,nan,nan,nan,6.0,nan
50,Ostrya,"['serrulate', 'doubly serrate']",['acute'],[],[],[],"['white', 'brown']",[],['ovoid'],[],[],[],[],['ovoid'],"['glabrous', 'surface', 'tomentose']",['rib'],[],[],[],['vein'],['ovate'],[],[],[],[],[],[],[],[],[],[],[],nan,7.75,nan,nan,nan,3.75,nan,nan,nan,nan,nan,nan,nan,13.5,nan
51,Ostrya chisosensis,['doubly serrate'],[],[],[],[],['brown-gray'],[],[],[],[],[],[],[''],"['glabrous', 'surface', 'pubescent']",[],"['cuneate', 'orbicular', 'cordate']",[],[],[],['elliptic'],[],[],[],[],[],"['obtuse', 'acute']",[],['pubescent'],['vein'],[],[],2.825,nan,nan,nan,1.625,nan,nan,2.0,3.0,nan,nan,nan,nan,12.0,nan
52,Ostrya knowltonii,['doubly serrate'],[],[],[],[],['brown-gray'],[],[],[],[],[],[],['orbicular'],"['pubescent', 'surface']",[],"['cuneate', 'orbicular', 'cordate']",[],[],[],['ovate'],[],[],[],[],[],['acute'],[],['pubescent'],['vein'],[],[],2.95,nan,nan,nan,2.0,nan,nan,2.15,3.25,nan,nan,nan,nan,9.0,nan
53,Ostrya virginiana,['doubly serrate'],[],[],[],[],"['gray', 'brown-gray']",[],[],[],[],[],[],['orbicular'],"['villose', 'glabrous', 'surface', 'pubescent']",[],"['cuneate', 'orbicular', 'cordate']",[],[],[],['ovate'],[],[],[],[],[],['acuminate'],[],['pubescent'],['vein'],[],[],5.2,nan,nan,nan,2.7,nan,nan,2.25,5.0,nan,nan,nan,nan,18.0,nan
54,Casuarina,[],[],[],[],[],[],[],[],[],[],[],[],[],['surface'],[],[],"['pubescent', 'glabrous']",[],[],[],[],[],[],"['brown-yellow', 'gray']",[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,Casuarina cunninghamiana,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,Casuarina cunninghamiana subsp. cunninghamiana,[],[],[],[],[],['brown-gray'],[],[],[],[],[],[],['angular'],[],[],[],['pubescent'],[],[],['acute'],[],[],[],[],[],[],[],['pubescent'],[],[],[],nan,nan,nan,nan,nan,nan,nan,5.0,7.0,nan,nan,5.5,0.5,16.25,nan
57,Casuarina equisetifolia,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,Casuarina equisetifolia,[],[],[],[],[],['brown-red'],[],[],[],[],[],[],['straight'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,Casuarina equisetifolia subsp. equisetifolia,[],[],[],[],[],"['black', 'brown-gray']",[],[],[],[],[],[],['angular'],[],[],[],"['pubescent', 'tomentose']",[],[],['acute'],[],[],[],[],[],[],[],['pubescent'],[],[],[],nan,nan,nan,nan,nan,nan,nan,10.0,12.5,nan,nan,6.5,0.6,13.75,nan
60,Casuarina glauca,[],[],[],[],[],['brown-gray'],[],[],[],[],[],[],['convex-orbicular'],[],[],[],"['pubescent', 'glabrous']",[],[],['acute'],[],[],[],['white'],[],[],[],['glabrous'],[],[],[],nan,nan,nan,nan,nan,nan,nan,8.0,8.875,nan,nan,7.5,1.05,14.0,nan
61,Casuarinaceae,[],[],[],[],[],[],[],"['', 'conelike']",[],[],[],[],"['slender', 'elongate']",[],[],[],[],[],[],[''],['branched'],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62,Castanea,[],[],[],[],[],[],[],"['convex', 'branched']",[],[],[],[],[],[],[],[],[],['tooth'],[],['ovoid'],[],[],[],[],[],[],[],[],"['vein', 'parallel']",[],['orbicular'],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63,Castanea dentata,['serrate'],[],[],[],[],['gray'],[],['obovate'],[],[],[],[],[],['glabrous'],[],['cuneate'],['glabrous'],['tooth'],[],['obovate'],[],[],[],[],[],"['acuminate', 'acute']",[],"['smooth', 'glabrous']",[],[],[],99.5,nan,nan,nan,65.0,nan,nan,21.5,17.25,nan,nan,nan,nan,12.5,nan
64,Castanea ozarkensis,['serrate'],[],[],[],[],['brown'],[],['orbicular'],[],[],[],[],[],"['surface', 'glabrate']",[],"['cuneate', 'orbicular', 'cordate']",[],['acuminate-tooth'],['vein'],['obovate'],[],[],[],[],[],"['acuminate', 'acute']",['white'],['glabrous'],[],[],[],75.75,nan,nan,nan,65.0,nan,nan,11.0,13.166666666666666,nan,nan,nan,nan,15.0,nan
65,Castanea pumila,['serrate'],[],[],[],[],"['brown', 'gray']",[],"['ovate', 'orbicular']",[],[],[],[],[],"['puberulent', 'surface', 'glabrate']",[],"['orbicular', 'cordate']",[],['acuminate-tooth'],[],['elliptic'],[],[],"['white', 'brown']",[],[],[],[],"['smooth', 'glabrate']",['vein'],[],[],61.75,nan,nan,nan,50.0,nan,nan,nan,6.5,nan,nan,14.0,nan,15.0,nan
66,Chrysolepis,"['toothed', 'entire']",[],[],[],[],[],[],"['orbicular', 'branched']",[],[],[],[],"['ovoid', 'subglobose']",[],[],[],[],[],[],[],[],[],[],['yellow'],[],[],[],[],['vein'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
