Accepted term,Low extreme,Low,High,High extreme
female_flower_part_count,female_flower_part_count.1.min,female_flower_part_count.1.low,female_flower_part_count.1.high,female_flower_part_count.1.max
female_flower_part_count,,female_flower_part_count.2.low,female_flower_part_count.2.high,female_flower_part_count.2.max
female_flower_part_count,,female_flower_part_count.3.low,female_flower_part_count.3.high,
female_flower_part_count,,female_flower_part_count.4.low,,
female_flower_part_count_style,,female_flower_part_count_style.1.low,,
female_flower_part_hair_count,,female_flower_part_hair_count.1.low,,
female_flower_part_lobe_count,,female_flower_part_lobe_count.1.low,,
female_flower_part_locular_count_proximal,,female_flower_part_locular_count_proximal.1.low,,
female_flower_part_trichome_count,,female_flower_part_trichome_count.1.low,,
flower_part_apex_count,,flower_part_apex_count.1.low,,
flower_part_count,flower_part_count.1.min,flower_part_count.1.low,flower_part_count.1.high,flower_part_count.1.max
flower_part_count,,flower_part_count.2.low,flower_part_count.2.high,
flower_part_count,,flower_part_count.3.low,flower_part_count.3.high,
flower_part_count,,flower_part_count.4.low,flower_part_count.4.high,
flower_part_count,,flower_part_count.5.low,,
flower_part_count,,flower_part_count.6.low,flower_part_count.6.high,
flower_part_count_axillary,,flower_part_count_axillary.1.low,flower_part_count_axillary.1.high,
flower_part_count_distal,,flower_part_count_distal.1.low,,
flower_part_count_lateral,,flower_part_count_lateral.1.low,flower_part_count_lateral.1.high,
flower_part_count_male,,flower_part_count_male.1.low,,
flower_part_count_male_subtending,flower_part_count_male_subtending.1.min,flower_part_count_male_subtending.1.low,flower_part_count_male_subtending.1.high,
flower_part_count_male_subtending,,flower_part_count_male_subtending.2.low,,
flower_part_count_pistillate,flower_part_count_pistillate.1.min,flower_part_count_pistillate.1.low,flower_part_count_pistillate.1.high,flower_part_count_pistillate.1.max
flower_part_count_pistillate_subtended,,flower_part_count_pistillate_subtended.1.low,flower_part_count_pistillate_subtended.1.high,
flower_part_count_pistillate_terminal,,flower_part_count_pistillate_terminal.1.low,flower_part_count_pistillate_terminal.1.high,
flower_part_count_pistillate_terminal,,flower_part_count_pistillate_terminal.2.low,,
flower_part_count_staminate,,flower_part_count_staminate.1.low,flower_part_count_staminate.1.high,
flower_part_count_subtended,,flower_part_count_subtended.1.low,flower_part_count_subtended.1.high,flower_part_count_subtended.1.max
flower_part_count_subtending,,flower_part_count_subtending.1.low,flower_part_count_subtending.1.high,
flower_part_lobe_count,,flower_part_lobe_count.1.low,flower_part_lobe_count.1.high,flower_part_lobe_count.1.max
flower_part_lobe_count,,flower_part_lobe_count.2.low,flower_part_lobe_count.2.high,
flower_part_lobe_count_basal,,flower_part_lobe_count_basal.1.low,flower_part_lobe_count_basal.1.high,
flower_part_lobe_count_male,,flower_part_lobe_count_male.1.low,,
flower_part_lobe_count_male_subtended,,flower_part_lobe_count_male_subtended.1.low,,
flower_part_locular_count_distal,,flower_part_locular_count_distal.1.low,,
flower_part_ranked_count,,flower_part_ranked_count.1.low,flower_part_ray_count.1.high,
flower_part_ray_count,,flower_part_ray_count.1.low,,
flower_part_trichome_count,,flower_part_trichome_count.1.low,,
flower_part_trichome_count,,flower_part_trichome_count.2.low,,
flower_part_valve_count,,flower_part_valve_count.1.low,,
fruit_part_apex_count,,fruit_part_apex_count.1.low,fruit_part_apex_count.1.high,
fruit_part_count,fruit_part_count.1.min,fruit_part_count.1.low,fruit_part_count.1.high,fruit_part_count.1.max
fruit_part_count,fruit_part_count.2.min,fruit_part_count.2.low,fruit_part_count.2.high,fruit_part_count.2.max
fruit_part_count,,fruit_part_count.3.low,fruit_part_count.3.high,
fruit_part_count,,fruit_part_count.4.low,,
fruit_part_count_apical,,fruit_part_count_apical.1.low,,
fruit_part_count_basal,,fruit_part_count_basal.1.low,fruit_part_count_basal.1.high,
fruit_part_count_staminate,,fruit_part_count_staminate.1.low,,
fruit_part_count_style,,fruit_part_count_style.1.low,,
fruit_part_count_subtending,,fruit_part_count_subtending.1.low,,
fruit_part_endosperm_count,,fruit_part_endosperm_count.1.low,,
fruit_part_hair_count,,fruit_part_hair_count.1.low,,
fruit_part_lobe_count,fruit_part_lobe_count.1.min,fruit_part_lobe_count.1.low,fruit_part_lobe_count.1.high,
fruit_part_locular_count_distal,,fruit_part_locular_count_distal.1.low,,
fruit_part_locular_count_pistillate,,fruit_part_locular_count_pistillate.1.low,,
