,taxon,leaf_part_margin,leaf position,fruit_part_apex_shape,leaf_part_apex_shape,fruit_part_surface,flower_part_surface,leaf_part_venation_lateral,leaf_part_hair_shape,inflorescence_shape,leaf_part_venation,fruit_part_venation,part_color,article_surface,leaf_part_base_shape,leaf_part_hair_surface,leaf_part_lobe_shape,phyllichnia_shape,part_surface,leaf_part_color,inflorescence_surface,leaf_part_surface,fruit_part_shape,fruit_part_color,part_shape,leaf_part_margin_margin,flower_part_shape,leaf_part_shape,leaf_part_size_width,branch_length,inflorescence_size_width,part_size_width,part_size_length,fruit_part_size_width,leaf_part_size_length,part_size_diameter,part_size_thickness,article_width,inflorescence_size_length,fruit_part_size_thickness,article_length,leaf_part_size_thickness,leaflet_number,part_size_height,flower_part_size_length,fruit_part_size_length
10,Alnus viridis,[],[],[],"['orbicular', 'acute']",[],[],[],[],[],[],[],[],[],['orbicular'],[],[],[],['smooth'],[],[],"['surface', 'tomentose', 'glabrous']","['', 'elliptic', 'obovate', 'ovoid', 'ellipsoid']",[],['ovoid'],"['serrulate', 'doubly serrate']",[],['ovate'],5.5,nan,nan,nan,5.5,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,Alnus viridis subsp. crispa,[],[],[],"['acute', 'obtuse']",[],[],[],[],[],[],[],['brown-gray'],[],['orbicular'],[],[],[],[],['green'],[],"['surface', 'tomentose', 'glabrous']",[],[],[],"['serrate', 'serrulate']",[],['ovate'],4.0,nan,nan,nan,3.0,0.85,4.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.6
12,Alnus viridis subsp. fruticosa,['doubly serrate'],[],[],"['acuminate', 'acute']",[],[],[],[],[],['vein'],[],['brown-gray'],[],"['orbicular', 'truncate', 'cordate']",[],[],[],[],['green'],[],"['surface', 'pubescent', 'glabrous']",[],[],[],[],[],['ovate'],4.5,nan,nan,nan,3.0,0.85,6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.6
13,Alnus viridis subsp. sinuata,['doubly serrate'],[],[],['acuminate'],[],[],[],[],[],[],[],"['gray', 'brown-red']",[],"['orbicular', 'cordate']",[],[],[],[],['green-yellow'],[],"['surface', 'pubescent', 'glabrous']",[],[],[],[],[],['ovate'],5.5,nan,nan,nan,5.0,1.05,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0
14,Betula,[],[],[],[],[],[],[],[],[],[],[],"['white', 'brown-red']",[],[],[],[],[],['smooth'],[],[],"['surface', 'glandular', 'tomentose', 'glabrous']",['pendulous'],[],"['', 'slender']","['crenate', 'serrate', 'doubly serrate']",[],['ovate'],4.25,nan,nan,nan,30.0,nan,5.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,Betula alleghaniensis,[],[],[],['acuminate'],[],[],['vein'],[],[],[],[],[],[],"['orbicular', 'cordate', 'cuneate']",[],[],[],"['pubescent', 'glabrous']",[],[],"['surface', 'pubescent']","['orbicular', 'ovoid']",[],['straight'],['doubly serrate'],[],['ovate'],4.25,nan,nan,nan,30.0,1.75,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.25
16,Betula cordifolia,[],[],[],['acuminate'],[],[],['vein'],[],[],[],[],[],[],['cordate'],[],[],[],"['pubescent', 'glabrous']",[],[],['pubescent'],"['', 'pendulous', 'obtuse']",[],['bilaterally symmetric'],['doubly serrate'],[],['ovate'],6.0,nan,nan,nan,20.0,0.8,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0
17,Betula glandulosa,[],[],[],"['orbicular', 'obtuse']",[],[],['vein'],[],[],[],[],['brown'],[],"['orbicular', 'cuneate']",[],[],[],"['smooth', 'glabrous', 'pubescent']",[],[],"['surface', 'pubescent', 'glabrous']",[''],[],[],['crenate-dentate'],[],['obovate'],1.75,nan,nan,nan,3.0,0.85,1.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.75
18,Betula kenaica,[],[],[],"['acuminate', 'acute']",[],[],['vein'],[],[],[],[],"['pink', 'gray-white', 'brown-red']",[],"['orbicular', 'cuneate']",[],[],[],"['pubescent', 'smooth']",[],[],"['surface', 'pubescent']","['', 'pendulous']",[],[],"['dentate', 'doubly serrate']",[],['ovate'],3.5,nan,nan,nan,12.0,0.75,4.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.5
19,Betula lenta,[],[],[],['acuminate'],[],[],['vein'],[],[],[],[],[],[],"['orbicular', 'cordate']",[],[],[],"['pubescent', 'glabrous']",[],[],"['surface', 'glabrous']","['cuneate', 'spheric', 'ovoid']",[],['straight'],"['serrate', 'doubly serrate']",[],['ovate'],4.5,nan,nan,nan,20.0,2.0,7.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.75
20,Betula michauxii,[],[],[],"['orbicular', 'truncate']",['glabrous'],[],['vein'],[],[],[],[],['brown'],[],['cuneate'],[],[],[],"['pubescent', 'smooth']",[],[],"['surface', 'glabrous']",[''],[],['orbicular'],['crenate-dentate'],[],['obovate-reniform'],0.85,nan,nan,nan,0.5,0.65,0.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.75
21,Betula minor,['toothed'],[],['obtuse'],"['acute', 'obtuse']",[],[],['vein'],[],[],['vein'],[],['brown-red'],[],"['orbicular', 'truncate', 'cuneate']",[],[],[],"['smooth', 'glabrous', 'pubescent']",[],[],"['surface', 'pubescent', 'glabrous']",[''],[],[],['doubly serrate'],[],['ovate'],2.25,nan,nan,nan,5.0,0.75,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0
22,Betula murrayana,[],[],[],"['acuminate', 'acute']",[],[],['vein'],[],[],[],[],[],[],['cuneate'],[],[],[],"['pubescent', 'glabrous']",[],[],"['surface', 'pubescent', 'glabrous']",['ovoid'],[],[],['doubly serrate'],[],['ovate'],4.5,nan,nan,nan,15.0,2.25,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0
23,Betula nana,[],[],[],['orbicular'],[],[],['vein'],[],[],[],[],"['gray', 'brown']",[],"['orbicular', 'cordate']",[],[],[],"['smooth', 'glabrous', 'pubescent']",[],[],"['surface', 'pubescent', 'glabrous']",[''],[],[],['crenate'],[],['orbicular'],nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,Betula nana subsp. exilis,[],[],[],[],[],[],[],[],[],[],['parallel'],['brown-red'],[],"['orbicular', 'cordate', 'cuneate']",[],[],[],"['pubescent', 'glabrous']",[],[],"['surface', 'glabrous']",[],[],[],[],[],['orbicular'],1.05,nan,nan,nan,1.0,0.6,0.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.85
25,Betula nana subsp. nana,[],[],[],[],[],[],[],[],[],[],[],['brown'],[],"['orbicular', 'cordate', 'cuneate']",[],[],[],['pubescent'],[],[],"['surface', 'pubescent', 'glabrous']",[],[],[],[],[],['orbicular'],1.4,nan,nan,nan,1.0,0.7,1.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
26,Betula neoalaskana,[],[],[],['acuminate'],[],[],['vein'],[],[],[],[],[],[],"['orbicular', 'cuneate']",[],[],[],['glabrous'],[],[],"['surface', 'pubescent', 'glabrous']","['', 'pendulous']",[],[],['doubly serrate'],[],['deltoid-ovate'],4.0,nan,nan,nan,25.0,1.0,5.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0
27,Betula nigra,[],[],['acute'],['acuminate'],[],[],['vein'],[],[],[],[],[],[],"['truncate', 'cuneate']",[],[],[],"['pubescent', 'glabrous']",[],[],"['surface', 'pubescent']","['spheric', 'elongate']",[],[],"['dentate', 'doubly serrate']",[],['ovate-rhomboic'],4.5,nan,nan,nan,25.0,1.75,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.25
28,Betula occidentalis,[],[],[],"['acuminate', 'acute']",[],[],['vein'],[],[],[],[],"['bronze', 'red', 'brown-red']",[],"['orbicular', 'truncate', 'cuneate']",[],[],[],"['smooth', 'glabrous', 'pubescent']",[],[],"['surface', 'pubescent']","['', 'pendulous']",[],[],"['serrate', 'doubly serrate']",[],['ovate'],2.75,nan,nan,nan,10.0,1.15,3.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5
29,Betula papyrifera,[],[],[],"['acuminate', 'acute']",[],[],['vein'],[],[],[],[],[],[],['orbicular'],[],[],[],['pubescent'],[],[],"['surface', 'pubescent']","['', 'pendulous', 'obtuse']",[],[],"['dentate-serrate', 'doubly serrate']",[],['ovate'],5.5,nan,nan,nan,25.0,0.8999999999999999,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.75
30,Betula pendula,[],[],[],['acuminate'],[],[],['vein'],[],[],[],[],[],[],['cuneate'],[],[],[],['glabrous'],[],[],"['surface', 'pubescent', 'glabrous']","['', 'orbicular', 'pendulous']",[],['pendulous'],['doubly serrate'],[],['ovate'],3.75,nan,nan,nan,25.0,0.8,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.75
31,Betula populifolia,['doubly serrate'],[],[],['acuminate'],[],[],['vein'],[],[],[],[],"['gray-white', 'brown-red']",[],"['truncate', 'cuneate']",[],[],[],"['smooth', 'glabrous', 'pubescent']",[],[],"['surface', 'pubescent', 'glabrous']","['', 'pendulous', 'acute', 'angular']",[],[],[],[],['ovate'],5.5,nan,nan,nan,10.0,0.9,6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.75
32,Betula pubescens,[],[],[],['acute'],[],[],[],[],"['', 'pendulous']",[],[],"['tan', 'brown', 'gray-white', 'brown-red']",[],[],[],[],[],['smooth'],[],[],"['surface', 'pubescent']",[],[],[],['serrate'],[],['ovate'],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,Betula pubescens subsp. pubescens,[],[],[],['acute'],[],[],[],[],[],[],[],[],[],['orbicular'],[],[],[],[],[],[],"['surface', 'pubescent']",[],[],[],"['toothed', 'dentate']",[],['ovate'],3.0,nan,1.0,nan,20.0,nan,3.5,nan,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan
34,Betula pubescens subsp. tortuosa,[],[],"['acute', 'obtuse']",['acute'],[],[],[],[],[],[],[],[],[],"['truncate', 'cuneate']",[],[],[],[],[],[],"['surface', 'pubescent']",[],[],[],"['serrate', 'dentate']",[],['ovate'],1.5,nan,nan,nan,6.5,0.6000000000000001,1.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.25
35,Betula pumila,[],[],[],"['orbicular', 'acute', 'obtuse']",[],[],['vein'],[],[],[],[],['brown-red'],[],"['orbicular', 'cuneate']",[],[],[],"['smooth', 'glabrous', 'pubescent']",[],[],"['surface', 'tomentose', 'pubescent', 'glabrous']","['', 'elongate']",[],['bilaterally symmetric'],"['crenate', 'dentate']",[],['elliptic'],3.0,nan,nan,nan,4.0,0.9,3.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.15
36,Betula uber,[],[],[],"['orbicular', 'obtuse']",[],[],['vein'],[],[],[],[],['brown'],[],"['truncate', 'orbicular', 'cordate']",[],[],[],"['glabrous', 'smooth']",[],[],"['surface', 'pubescent', 'glabrous']",['ellipsoid'],[],['slender'],"['serrate', 'dentate']",[],['orbicular'],3.0,nan,nan,nan,10.0,1.25,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5
37,Betulaceae,"['serrate', 'entire']",[],[],[],['membranous'],[],[],[],[],['veined'],[],[],[],[],[],[],[],[],[],[],"['surface', 'tomentose', 'glabrous']",['straight'],[],[],['toothed'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,Betuloideae,[],[],[],[],['membranous'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['conelike'],[],['triangular'],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5
39,Carpinus,[],[],[],[],[],[],['vein'],[],[],[],['rib'],"['white', 'brown']",[],[],[],[],[],['smooth'],[],[],"['surface', 'tomentose', 'glabrous']",['deltoid'],[],['ovoid'],"['serrulate', 'doubly serrate']",[],['ovate'],4.5,nan,nan,nan,16.5,nan,7.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,Carpinus caroliniana,[],[],[],['acute'],[],[],[],[],[],['vein'],[],"['white', 'gray']",[],[],[],[],[],['smooth'],[],[],"['surface', 'pubescent']",[],[],[],['doubly serrate'],[],['ovate'],2.0999999999999996,nan,4.5,nan,12.0,nan,3.125,nan,nan,nan,7.5,nan,nan,nan,nan,nan,nan,7.25
41,Carpinus caroliniana subsp. caroliniana,[],[],[],"['acute', 'obtuse']",[],[],[],[],[],['vein'],[],"['gray', 'brown-gray']",[],"['orbicular', 'cordate']",[],[],[],['smooth'],[],[],"['surface', 'pubescent']",[],[],[],['doubly serrate'],[],['ovate'],1.8499999999999999,nan,4.5,nan,8.0,nan,3.0,nan,nan,nan,5.75,nan,nan,nan,nan,nan,nan,4.75
42,Carpinus caroliniana subsp. virginiana,[],[],[],['caudate'],[],[],[],[],[],['vein'],[],['blue-gray'],[],"['orbicular', 'cordate']",[],['triangular'],[],['smooth'],[],[],"['surface', 'pubescent']",[],[],[],['doubly serrate'],[],['ovate'],3.45,nan,nan,nan,12.0,nan,6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.25
43,Coryloideae,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['orbicular', 'triangular']",[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0
44,Corylus,['spiny'],[],[],[],[],[],['vein'],[],[],[],['rib'],"['white', 'brown-gray', 'brown']",[],['cordate'],[],[],[],['smooth'],[],[],"['surface', 'hairy', 'glandular', 'pubescent']","['spheric', 'ovoid']",[],['ovoid'],['doubly serrate'],[],['ovate'],7.75,nan,nan,nan,nan,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,Corylus americana,[],[],['laciniate'],['acuminate'],[],"['surface', 'glandular', 'pubescent', 'downy']",[],[],['ovoid'],[],[],['gray'],[],"['orbicular', 'cordate']",[],['straight'],[],"['pubescent', 'smooth']",[],[],"['surface', 'glandular', 'pubescent']",[],[],['orbicular'],"['serrate', 'doubly serrate']",[],['ovate'],8.0,nan,3.5,nan,3.0,nan,10.5,nan,nan,nan,3.5,nan,nan,nan,nan,nan,nan,3.0
46,Corylus avellana,[],[],[],['acuminate'],[],"['surface', 'pubescent']",[],[],['ovoid'],[],[],['brown'],[],"['orbicular', 'cordate']",['glandular'],[],[],"['pubescent', 'smooth']",[],[],['pubescent'],[],[],[],['doubly serrate'],[],['ovate'],8.0,nan,3.5,nan,5.0,nan,8.5,nan,nan,nan,5.5,nan,nan,nan,nan,nan,nan,8.5
47,Corylus cornuta,[],[],[],"['acuminate', 'acute', 'obtuse', 'angular']",[],[],[],[],"['acute', 'ovoid']",[],[],['brown'],[],"['orbicular', 'cordate']",['glandular'],[],[],"['smooth', 'glabrous', 'pubescent']",[],[],"['surface', 'pubescent', 'glabrous']",['tubular'],[],[],['doubly serrate'],[],['orbicular'],7.75,nan,3.5,nan,6.0,nan,7.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,5.25,nan
48,Corylus cornuta subsp. californica,[],[],[],"['acute', 'obtuse']",['hispid'],[],[],[],['ovoid'],[],[],"['black', 'brown']",[],['cordate'],['glandular'],[],[],['pubescent'],[],[],['pubescent'],['tubular'],[],[],['doubly serrate'],[],['orbicular'],5.25,nan,4.0,nan,8.0,nan,5.5,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,7.5
49,Corylus cornuta subsp. cornuta,[],[],[],"['acuminate', 'angular']",[],[],[],[],['ovoid'],[],[],['brown'],[],"['orbicular', 'cordate']",['glandular'],[],[],"['smooth', 'glabrous', 'pubescent']",[],[],"['surface', 'pubescent', 'glabrous']",['tubular'],[],[],['doubly serrate'],[],['ovate'],6.25,nan,3.5,nan,6.0,nan,8.5,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,1.25
50,Ostrya,[],[],[],[],[],[],['vein'],[],[],[],['rib'],"['white', 'brown']",[],[],[],[],[],[],[],[],"['surface', 'tomentose', 'glabrous']",['ovoid'],[],['ovoid'],"['serrulate', 'doubly serrate']",[],['ovate'],nan,nan,3.75,nan,13.5,nan,nan,nan,nan,nan,7.75,nan,nan,nan,nan,nan,nan,nan
51,Ostrya chisosensis,[],[],[],"['acute', 'obtuse']",[],[],[],[],[],['vein'],[],['brown-gray'],[],"['orbicular', 'cordate', 'cuneate']",[],[],[],['pubescent'],[],[],"['surface', 'pubescent', 'glabrous']",[],[],[''],['doubly serrate'],[],['elliptic'],1.625,nan,nan,nan,12.0,2.0,2.825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0
52,Ostrya knowltonii,[],[],[],['acute'],[],[],[],[],[],['vein'],[],['brown-gray'],[],"['orbicular', 'cordate', 'cuneate']",[],[],[],['pubescent'],[],[],"['surface', 'pubescent']",[],[],['orbicular'],['doubly serrate'],[],['ovate'],2.0,nan,nan,nan,9.0,2.15,2.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25
53,Ostrya virginiana,[],[],[],['acuminate'],[],[],[],[],[],['vein'],[],"['gray', 'brown-gray']",[],"['orbicular', 'cordate', 'cuneate']",[],[],[],['pubescent'],[],[],"['surface', 'pubescent', 'villose', 'glabrous']",[],[],['orbicular'],['doubly serrate'],[],['ovate'],2.7,nan,nan,nan,18.0,2.25,5.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0
54,Casuarina,[],[],[],[],"['pubescent', 'glabrous']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['surface'],[],"['gray', 'brown-yellow']",[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,Casuarina cunninghamiana,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,Casuarina cunninghamiana subsp. cunninghamiana,[],[],[],[],['pubescent'],[],[],[],[],[],[],['brown-gray'],[],[],[],[],[],['pubescent'],[],[],[],[],[],['angular'],[],[],['acute'],nan,nan,nan,0.5,16.25,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,7.0
57,Casuarina equisetifolia,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
