flower_part_shape
,0
acute-attenuate,1
branched,2
cup-shaped,3
cupular,4
cymbiform,5
dilated,6
elongate,7
fused,8
hemispheric,9
linear-spatulate,10
ovate,11
pendulous,12
saucerlike,13
slender,14
straight,15
subglobose,16
subulate,17
turbinate,18
