inflorescence_shape
,0
Male catkins glutinous when young,1
Staminate inflorescences catkin-like,2
"Staminate inflorescences catkin-like, pistillate inflorescences in racemes of two to four, pedunculate, globose to oblong",3
acute,4
angulate,5
bilaterally symmetric,6
branched,7
campanulate,8
capitulate,9
catkin,10
catkin-like,11
compound,12
conelike,13
cup-shaped,14
cupular,15
cymbiform,16
disk,17
ellipsoid,18
ellipsoid-ovoid,19
elongate,20
hemispheric,21
obconic,22
oblong,23
oblong-ovoid,24
orbicular,25
ovate,26
ovoid,27
ovoid to globose,28
pendulous,29
"pendulous, slender",30
racemes,31
rachis,32
recurved,33
saucerlike,34
spheric,35
spikelet,36
spikelike,37
spikes,38
stalked,39
stellate,40
subglobose,41
symmetric,42
truncate,43
turbinate,44
