female_flower_part_size.1.length_units
flower_part_hair_size.1.diameter_units
flower_part_leaf-axil_size.1.length_units
flower_part_size.1.diameter_units
flower_part_size.1.length_units
flower_part_size.1.thickness_units
flower_part_size.1.width_units
flower_part_size.2.length_units
flower_part_size.2.thickness_units
flower_part_size.2.width_units
flower_part_size_apical_male.1.length_units
flower_part_size_axillary.1.length_units
flower_part_size_bisexual.1.length_units
flower_part_size_pistillate.1.length_units
flower_part_size_staminate.1.length_units
flower_part_size_staminate.1.width_units
flower_part_tooth_size.1.length_units
fruit_part_apex_size.1.length_units
fruit_part_apex_size.1.thickness_units
fruit_part_base_size.1.length_units
fruit_part_base_size.1.thickness_units
fruit_part_base_size.2.thickness_units
fruit_part_lobe_size_basal.1.length_units
fruit_part_hair_size.1.length_units
fruit_part_hair_size.1.width_units
fruit_part_margin_size.1.length_units
fruit_part_scales_size.1.length_units
fruit_part_scales_size.1.width_units
fruit_part_size.1.height_units
fruit_part_size.1.length_units
fruit_part_size.1.thickness_units
fruit_part_size.1.width_units
fruit_part_size.2.diameter_units
fruit_part_size.2.length_units
fruit_part_size.2.thickness_units
fruit_part_size.3.thickness_units
fruit_part_size.3.width_units
fruit_part_size.4.length_units
fruit_part_size.4.thickness_units
fruit_part_size.4.width_units
fruit_part_size.5.length_units
fruit_part_size.5.thickness_units
fruit_part_size.6.length_units
fruit_part_size_apical.1.length_units
fruit_part_size_basal.1.thickness_units
fruit_part_size_basal.2.thickness_units
fruit_part_size_male.1.length_units
fruit_part_size_pistillate.1.length_units
fruit_part_size_staminate.1.length_units
fruit_part_size_staminate.1.width_units
fruit_part_wing_size.1.length_units
fruit_part_wing_size_lateral.1.length_units
inflorescence_apex_size_male.1.length_units
inflorescence_hair_size.1.diameter_units
inflorescence_hair_size.1.length_units
inflorescence_lobe_size.1.length_units
inflorescence_size.1.diameter_units
inflorescence_size.1.length_units
inflorescence_size.1.width_units
inflorescence_size.2.length_units
inflorescence_size.2.width_units
inflorescence_size.3.width_units
inflorescence_size_basal_male.1.length_units
inflorescence_size_male.1.length_units
inflorescence_size_male.2.length_units
inflorescence_size_pistillate.1.length_units
inflorescence_size_staminate.1.length_units
inflorescence_size_staminate.1.width_units
inflorescence_size_staminate_terminal.1.length_units
inflorescence_size_staminate_terminal.1.width_units
leaf_part_apex_size.1.length_units
leaf_part_article_size.1.length_units
leaf_part_base_size.1.length_units
leaf_part_base_size.1.thickness_units
leaf_part_hair_size.1.length_units
leaf_part_hair_size_lateral.1.diameter_units
leaf_part_size.1.diameter_units
leaf_part_size.1.length_units
leaf_part_size.1.thickness_units
leaf_part_size.1.width_units
leaf_part_size.2.length_units
leaf_part_size.2.thickness_units
leaf_part_size.2.width_units
leaf_part_size.3.length_units
leaf_part_size.3.thickness_units
leaf_part_size.3.width_units
leaf_part_size.4.length_units
leaf_part_size.4.thickness_units
leaf_part_size.4.width_units
leaf_part_size.5.length_units
leaf_part_size.5.width_units
leaf_part_size_basal.1.length_units
leaf_part_size_basal.1.thickness_units
leaf_part_size_distal.1.length_units
leaf_part_size_distal.1.width_units
leaf_part_size_lateral.1.length_units
leaf_part_size_male.1.length_units
leaf_part_size_male_terminal.1.length_units
leaf_part_size_pistillate.1.length_units
leaf_part_size_proximal.1.length_units
leaf_part_size_proximal.1.width_units
leaf_part_size_staminate.1.length_units
leaf_part_size_terminal.1.length_units
leaf_part_tooth_size.1.length_units
leaf_part_wing_size.1.length_units
male_flower_part_size.1.length_units
male_flower_part_size.1.width_units
male_flower_part_size_staminate.1.length_units
male_flower_part_size_staminate.1.width_units
multiple_parts_size.1.length_units
multiple_parts_size.1.width_units
multiple_parts_size_male.1.length_units
multiple_parts_size_staminate.1.length_units
part_base_size.1.length_units
part_base_size.1.thickness_units
part_gland_size.1.length_units
part_lobe_size_basal.1.length_units
part_size.1.dbh_units
part_size.1.diameter_units
part_size.1.height_units
part_size.1.length_units
part_size.1.thickness_units
part_size.1.width_units
part_size.2.dbh_units
part_size.2.diameter_units
part_size.2.height_units
part_size.2.length_units
part_size.2.thickness_units
part_size.2.width_units
part_size.3.diameter_units
part_size.3.length_units
part_size.3.thickness_units
part_size.3.width_units
part_size.4.length_units
part_size.4.thickness_units
part_size.4.width_units
part_size.5.thickness_units
part_size_basal.1.length_units
part_size_basal.1.thickness_units
part_size_basal.1.width_units
part_size_distal.1.length_units
part_size_male.1.length_units
part_size_male.1.width_units
part_size_male_terminal.1.length_units
part_size_pistillate.1.length_units
part_size_staminate.1.length_units
