Accepted term,Synonym
female_flower_part_apex_shape,female_flower_part_apex_shape.1.shape
female_flower_part_apex_surface,female_flower_part_apex_surface.1.surface
female_flower_part_base_surface,female_flower_part_base_surface.1.surface
female_flower_part_color,female_flower_part_color.1.color
male_flower_part_hair_color_staminate,female_flower_part_hair_color_staminate.1.color
male_flower_part_hair_color_staminate,female_flower_part_hair_color_staminate.2.color
female_flower_part_hair_shape,female_flower_part_hair_shape.1.shape
male_flower_part_hair_shape_staminate,female_flower_part_hair_shape_staminate.1.shape
female_flower_part_hair_surface,female_flower_part_hair_surface.1.surface
female_flower_part_shape,female_flower_part_shape.1.shape
female_flower_part_shape,female_flower_part_shape.2.shape
female_flower_part_surface,female_flower_part_surface.1.surface
female_flower_part_surface,female_flower_part_surface.2.surface
female_flower_part_surface,female_flower_part_surface.3.surface
flower_part_apex_margin,flower_part_apex_margin.1.margin
male_flower_part_apex_surface_pistillate,flower_part_apex_surface_pistillate.1.surface
flower_part_base_shape,flower_part_base_shape.1.shape
flower_part_color,flower_part_color.1.color
flower_part_color,flower_part_color.2.color
flower_part_flower_morphology,flower_part_flower_morphology.1.flower_morphology
flower_part_margin,flower_part_margin.1.margin
flower_part_margin_male,flower_part_margin_male.1.margin
flower_part_margin_male_subtended,flower_part_margin_male_subtended.1.margin
flower_part_margin_subtended,flower_part_margin_subtended.1.margin
flower_part_rim_shape,flower_part_rim_shape.1.shape
flower_part_scales_color,flower_part_scales_color.1.color
flower_part_scales_color,flower_part_scales_color.2.color
flower_part_scales_shape,flower_part_scales_shape.1.shape
flower_part_shape,flower_part_shape.1.shape
flower_part_shape,flower_part_shape.2.shape
flower_part_shape,flower_part_shape.3.shape
flower_part_shape,flower_part_shape.4.shape
flower_part_shape_basally,flower_part_shape_basally.1.shape
flower_part_shape_proximally,flower_part_shape_proximally.1.shape
flower_part_shape_style,flower_part_shape_style.1.shape
flower_part_surface,flower_part_surface.1.surface
flower_part_surface,flower_part_surface.2.surface
flower_part_surface,flower_part_surface.3.surface
flower_part_surface,flower_part_surface.4.surface
