anther_size.1.length_units
bark_size.1.length_units
bark_size.1.width_units
beak_size.1.length_units
bract_apex_size.1.length_units
bract_base_size.1.length_units
bract_base_size.1.thickness_units
bract_size.1.length_units
bract_size.1.thickness_units
bract_size.1.width_units
bract_size.2.length_units
bract_size.2.thickness_units
bract_size.2.width_units
bract_size.3.length_units
bract_size_male.1.length_units
bract_size_pistillate.1.length_units
bract_size_staminate.1.length_units
branch_gland_size.1.length_units
branch_lobe_size.1.length_units
branch_size.1.length_units
branch_size.1.thickness_units
branch_size.1.width_units
branch_size.2.length_units
branch_size.2.width_units
branch_size_male.1.length_units
branch_size_pistillate.1.length_units
bud_size.1.diameter_units
bud_size.1.length_units
bud_size.1.width_units
bud_size.2.length_units
catkin_size.1.length_units
catkin_size.1.width_units
catkin_size_pistillate.1.length_units
catkin_size_staminate.1.length_units
catkin_size_staminate.1.width_units
cotyledon_size.1.length_units
cotyledon_size.1.width_units
cotyledon_size.2.width_units
dehiscent_size.1.length_units
dehiscent_size.1.width_units
dehiscent_size.2.thickness_units
disk_size.1.length_units
disk_size.1.width_units
drupe_size.1.length_units
epidermis_size.1.thickness_units
fascicles_size.1.length_units
flower_size.1.length_units
flower_size.1.width_units
flower_size_bisexual.1.length_units
flower_size_male.1.length_units
flower_size_pistillate.1.length_units
flower_tooth_size.1.length_units
fruit_lobe_size.1.length_units
fruit_size.1.length_units
fruit_size.1.thickness_units
fruit_size.1.width_units
fruit_size.2.length_units
fruit_size.2.thickness_units
fruit_size.3.length_units
fruit_size_pistillate.1.length_units
fruit_wing_size.1.length_units
indumentum_size.1.length_units
indumentum_size.1.thickness_units
indumentum_size.1.width_units
indumentum_size.2.length_units
inflorescence_apex_size_male.1.length_units
inflorescence_lobe_size.1.length_units
inflorescence_size.1.length_units
inflorescence_size.1.width_units
inflorescence_size.2.length_units
inflorescence_size_male.1.length_units
inflorescence_size_pistillate.1.length_units
inflorescence_size_staminate.1.length_units
infructescence_size.1.length_units
infructescence_size.1.thickness_units
infructescence_size.1.width_units
infructescence_size.2.length_units
infructescence_size.2.thickness_units
infructescence_size_male.1.length_units
introrse_size.1.length_units
introrse_size.1.width_units
keel_size.1.thickness_units
leaf_article_size.1.length_units
leaf_hair_size.1.diameter_units
leaf_hair_size.1.length_units
leaf_size.1.diameter_units
leaf_size.1.length_units
leaf_size.1.width_units
leaf_size.2.length_units
leaf_size.2.width_units
leaf_size.3.length_units
leaf_size_male.1.length_units
leaf_tooth_size.1.length_units
leaflet_size.1.length_units
leaflet_size.1.width_units
leaflet_wing_size.1.length_units
lenticel_size.1.diameter_units
lenticel_size.1.length_units
lenticel_size.1.width_units
nut_apex_size.1.length_units
nut_apex_size.1.thickness_units
nut_base_size.1.length_units
nut_base_size.1.thickness_units
nut_base_size.2.thickness_units
nut_hair_size.1.length_units
nut_hair_size.1.width_units
nut_margin_size.1.length_units
nut_scales_size.1.length_units
nut_scales_size.1.width_units
nut_size.1.height_units
nut_size.1.length_units
nut_size.1.thickness_units
nut_size.1.width_units
nut_size.2.diameter_units
nut_size.2.length_units
nut_size.2.thickness_units
nut_size.2.width_units
nut_size.3.length_units
nut_size.3.thickness_units
nut_size.3.width_units
nut_size.4.length_units
nut_size.4.thickness_units
nut_size.5.length_units
nut_size_staminate.1.length_units
nut_size_staminate.1.width_units
nutlet_size.1.length_units
nutlet_size.1.width_units
panicle_size.1.length_units
panicle_size.1.width_units
panicle_size_male.1.length_units
peduncle_hair_size.1.diameter_units
peduncle_leafaxil_size.1.length_units
peduncle_rachis_size_male.1.length_units
peduncle_size.1.diameter_units
peduncle_size.1.length_units
peduncle_size.1.width_units
peduncle_size.2.length_units
peduncle_size.2.width_units
peduncle_size_staminate.1.length_units
peduncle_size_staminate.1.width_units
perianth_size.1.length_units
perianth_size.1.width_units
petiole_base_size.1.thickness_units
petiole_size.1.length_units
petiole_size.1.thickness_units
petiole_size.1.width_units
petiole_size.2.length_units
petiole_size.2.width_units
petiolule_size.1.length_units
petiolule_size.2.length_units
petiolule_size_male.1.length_units
pollen_sac_size.1.length_units
raceme_size.1.length_units
raceme_size.1.width_units
rachis_base_size.1.thickness_units
rachis_bract_size.1.length_units
rachis_bract_size.1.width_units
rachis_size.1.diameter_units
rachis_size.1.length_units
rachis_size.1.thickness_units
rachis_size.1.width_units
rachis_size.2.length_units
rachis_size.2.thickness_units
rachis_size.2.width_units
rachis_size.3.length_units
rachis_size.3.width_units
rachis_size_male.1.length_units
rachis_size_male.1.width_units
