Accepted term,Low extreme,Low,High,High extreme
anther_size_length,,anther_size.1.length_low,anther_size.1.length_high,
bark_size_length,bark_size.1.length_min,bark_size.1.length_low,,
bark_size_width,,bark_size.1.width_low,,
beak_size_length,,beak_size.1.length_low,beak_size.1.length_high,
bract_apex_size_length,,bract_apex_size.1.length_low,,
bract_base_size_thickness,,bract_base_size.1.thickness_low,bract_base_size.1.length_high,
bract_size_length,bract_size.1.length_min,bract_size.1.length_low,bract_size.1.length_high,bract_size.1.length_max
bract_size_thickness,bract_size.2.width_min,bract_size.1.thickness_low,bract_size.1.thickness_high,bract_size.1.thickness_max
bract_size_width,,bract_size.1.width_low,bract_size.1.width_high,
bract_size_length,,bract_size.2.length_low,bract_size.2.length_high,
bract_size_thickness,,bract_size.2.thickness_low,bract_size.2.thickness_high,
bract_size_width,,bract_size.2.width_low,bract_size.2.width_high,
bract_size_length,,bract_size.3.length_low,bract_size.3.length_high,
bract_size_male_length,,bract_size_male.1.length_low,bract_size_male.1.length_high,
bract_size_pistillate_length,,,bract_size_pistillate.1.length_high,
bract_size_staminate_length,,,bract_size_staminate.1.length_high,
branch_gland_size_length,,branch_gland_size.1.length_low,branch_gland_size.1.length_high,branch_gland_size.1.length_max
branch_lobe_size_length,,branch_lobe_size.1.length_low,,
branch_size_length,,branch_size.1.length_low,branch_size.1.length_high,branch_size.1.length_max
branch_size_thickness,,branch_size.1.thickness_low,branch_size.1.width_high,branch_size.1.width_max
branch_size_width,,branch_size.1.width_low,,
branch_size_length,,branch_size.2.length_low,branch_size.2.length_high,
branch_size_width,,branch_size.2.width_low,branch_size.2.width_high,
branch_size_male_length,,branch_size_male.1.length_low,branch_size_male.1.length_high,
branch_size_pistillate_length,,,branch_size_pistillate.1.length_high,
bud_size_diameter,bud_size.1.diameter_min,bud_size.1.diameter_low,bud_size.1.diameter_high,bud_size.1.diameter_max
bud_size_length,bud_size.1.length_min,bud_size.1.length_low,bud_size.1.length_high,bud_size.1.length_max
bud_size_width,bud_size.1.width_min,bud_size.1.width_low,bud_size.1.width_high,bud_size.1.width_max
bud_size_length,bud_size.2.length_min,bud_size.2.length_low,bud_size.2.length_high,
catkin_size_length,,catkin_size.1.length_low,catkin_size.1.length_high,
catkin_size_width,,catkin_size.1.width_low,catkin_size.1.width_high,
catkin_size_pistillate_length,,catkin_size_pistillate.1.length_low,catkin_size_pistillate.1.length_high,
catkin_size_staminate_length,,catkin_size_staminate.1.length_low,catkin_size_staminate.1.length_high,
catkin_size_staminate_width,,catkin_size_staminate.1.width_low,catkin_size_staminate.1.width_high,
cotyledon_size_length,cotyledon_size.1.length_min,cotyledon_size.1.length_low,cotyledon_size.1.length_high,cotyledon_size.1.length_max
cotyledon_size_width,cotyledon_size.1.width_min,cotyledon_size.1.width_low,cotyledon_size.1.width_high,cotyledon_size.1.width_max
cotyledon_size_width,,cotyledon_size.2.width_low,cotyledon_size.2.width_high,
dehiscent_size_length,,dehiscent_size.1.length_low,dehiscent_size.1.length_high,
dehiscent_size_width,,dehiscent_size.1.width_low,dehiscent_size.1.width_high,
dehiscent_size_thickness,,dehiscent_size.2.thickness_low,dehiscent_size.2.thickness_high,
disk_size_length,,disk_size.1.length_low,disk_size.1.length_high,
disk_size_width,,disk_size.1.width_low,disk_size.1.width_high,
drupe_size_length,,drupe_size.1.length_low,drupe_size.1.length_high,
epidermis_size_thickness,,epidermis_size.1.thickness_low,epidermis_size.1.thickness_high,
fascicles_size_length,,fascicles_size.1.length_low,fascicles_size.1.length_high,
flower_size_length,,flower_size.1.length_low,flower_size.1.length_high,flower_size_bisexual.1.length_max
flower_size_width,,flower_size.1.width_low,flower_size.1.width_high,
flower_size_bisexual_length,,flower_size_bisexual.1.length_low,flower_size_bisexual.1.length_high,
flower_size_male_length,,flower_size_male.1.length_low,flower_size_male.1.length_high,
flower_size_pistillate_length,,flower_size_pistillate.1.length_low,flower_size_pistillate.1.length_high,flower_size_pistillate.1.length_max
flower_tooth_size_length,,flower_tooth_size.1.length_low,flower_tooth_size.1.length_high,
fruit_lobe_size_length,,fruit_lobe_size.1.length_low,fruit_lobe_size.1.length_high,
fruit_size_length,fruit_size.1.length_min,fruit_size.1.length_low,fruit_size.1.length_high,fruit_size.1.length_max
fruit_size_thickness,,fruit_size.1.thickness_low,fruit_size.1.thickness_high,
fruit_size_width,,fruit_size.1.width_low,fruit_size.1.width_high,fruit_size.1.width_max
fruit_size_length,,fruit_size.2.length_low,fruit_size.2.length_high,
fruit_size_thickness,,fruit_size.2.thickness_low,fruit_size.2.thickness_high,
fruit_size_length,,fruit_size.3.length_low,fruit_size.3.length_high,
fruit_size_pistillate_length,,,fruit_size_pistillate.1.length_high,
fruit_wing_size_length,,fruit_wing_size.1.length_low,fruit_wing_size.1.length_high,
