Accepted term,Synonym
leaf_shape,leaf_shape.7.shape
leaf_shape,leaf_shape.8.shape
leaf_shape,leaf_shape.9.shape
leaf_shape_male,leaf_shape_male.1.shape
leaf_shape_pistillate,leaf_shape_pistillate.1.shape
leaf_shape_staminate,leaf_shape_staminate.1.shape
leaf_sinus_shape,leaf_sinus_shape.1.shape
leaf_sinus_shape,leaf_sinus_shape.2.shape
leaf_tip_shape,leaf_tip_shape.1.shape
leaf_tip_shape,leaf_tip_shape.2.shape
leaf_tooth_shape,leaf_tooth_shape.1.shape
leaf_tooth_shape,leaf_tooth_shape.2.shape
leaf_tooth_shape,leaf_tooth_shape.3.shape
leaf_trichome_shape,leaf_trichome_shape.1.shape
leaf_trichome_shape,leaf_trichome_shape.2.shape
leaflet_apex_shape,leaflet_apex_shape.1.shape
leaflet_apex_shape,leaflet_apex_shape.2.shape
leaflet_base_shape,leaflet_base_shape.1.shape
leaflet_hair_shape,leaflet_hair_shape.1.shape
leaflet_hair_shape,leaflet_hair_shape.2.shape
leaflet_hair_shape,leaflet_hair_shape.3.shape
leaflet_hair_shape,leaflet_hair_shape.4.shape
leaflet_ray_shape,leaflet_ray_shape.1.shape
leaflet_scales_shape,leaflet_scales_shape.1.shape
leaflet_scales_shape,leaflet_scales_shape.2.shape
leaflet_scales_shape,leaflet_scales_shape.3.shape
leaflet_scales_shape,leaflet_scales_shape.4.shape
leaflet_shape,leaflet_shape.1.shape
leaflet_shape,leaflet_shape.2.shape
leaflet_shape,leaflet_shape.3.shape
leaflet_shape,leaflet_shape.4.shape
leaflet_shape,leaflet_shape.5.shape
lenticel_shape,lenticel_shape.1.shape
lenticel_shape,lenticel_shape.2.shape
nut_apex_shape,nut_apex_shape.1.shape
nut_apex_shape,nut_apex_shape.2.shape
nut_apex_shape,nut_apex_shape.3.shape
nut_base_shape,nut_base_shape.1.shape
nut_hair_shape,nut_hair_shape.1.shape
nut_hair_shape,nut_hair_shape.2.shape
nut_lobe_shape,nut_lobe_shape.1.shape
nut_margin_shape,nut_margin_shape.1.shape
nut_margin_shape,nut_margin_shape.2.shape
nut_scales_shape,nut_scales_shape.1.shape
nut_scales_shape,nut_scales_shape.2.shape
nut_shape,nut_shape.1.shape
nut_shape,nut_shape.2.shape
nut_shape,nut_shape.3.shape
nut_shape,nut_shape.4.shape
nut_shape,nut_shape.5.shape
nut_shape,nut_shape.6.shape
nut_shape,nut_shape.7.shape
nut_tip_shape,nut_tip_shape.1.shape
nutlet_apex_shape,nutlet_apex_shape.1.shape
nutlet_apex_shape,nutlet_apex_shape.2.shape
nutlet_base_shape,nutlet_base_shape.1.shape
nutlet_lobe_shape,nutlet_lobe_shape.1.shape
nutlet_shape,nutlet_shape.1.shape
nutlet_shape,nutlet_shape.2.shape
nutlet_shape,nutlet_shape.3.shape
nutlet_shape,nutlet_shape.4.shape
nutlet_wing_shape,nutlet_wing_shape.1.shape
nutlet_wing_shape,nutlet_wing_shape.2.shape
ovary_apex_shape,ovary_apex_shape.1.shape
ovary_shape,ovary_shape.1.shape
panicle_shape,panicle_shape.1.shape
panicle_shape,panicle_shape.2.shape
panicle_shape,panicle_shape.3.shape
peduncle_base_shape,peduncle_base_shape.1.shape
peduncle_rim_shape,peduncle_rim_shape.1.shape
peduncle_scales_shape,peduncle_scales_shape.1.shape
peduncle_shape,peduncle_shape.1.shape
peduncle_shape,peduncle_shape.2.shape
peduncle_shape,peduncle_shape.3.shape
