taxon,bark_size.1.length_high,bark_color,fruit_shape,infructescence_shape,leaf_color,leaf_hair_surface,peduncle_shape,nut_apex_shape,nut_surface,nutlet_surface,branch_color,petiole_venation,nut_color,bract_apex_shape,branch_surface,nutlet_shape,twig_surface,bud_shape,petiole_apex_shape,article_surface,leaf_apex_shape,bract_margin,petiole_base_shape,phyllichnia_shape,leaf_duration,petiole_color,rachis_shape,rachis_surface,bark_surface,leaf_hair_shape,leaf_margin,bract_surface,leaf_axil_venation,leaf_venation,petiole_surface,branch_shape,bract_color,petiole_shape,leaf_count_location,leaf_base_shape,twig_color,bract_shape,inflorescence_shape,peduncle_surface,nut_shape,leaf_surface,leaf_shape,bud_surface,bud_color,bract_size_width,nut_size_length,bract_size_length,leaf_size_width,fruit_size_length,nutlet_size_width,infructescence_size_width,article_size_width,inflorescence_size_width,peduncle_size_length,nutlet_size_length,leaf_size_length,nut_size_width,inflorescence_size_length,infructescence_size_length,bract_size_thickness,bud_size_length,tree_size_height,branch_size_length,nut_size_thickness,article_size_length,petiole_size_length,rachis_size_thickness,twig_size_diameter,rachis_size_length
Alnus viridis,10.0,[],"['obovate', 'elliptic']","['', 'ovoid', 'ellipsoid']",[],[],[],[],[],[],[],[],[],[],[],[],[],['ovoid'],[],[],"['acute', 'orbicular']",[],[],[],[],[],[],[],['smooth'],[],"['doubly serrate', 'serrulate']",[],[],[],[],[],[],[],[],['orbicular'],[],[],[],[],[],"['tomentose', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,5.5,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alnus viridis subsp. crispa,nan,['brown-gray'],[],[],['green'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['acute', 'obtuse']",[],[],[],[],[],[],[],[],[],"['serrulate', 'serrate']",[],[],[],[],[],[],[],[],['orbicular'],[],[],[],[],[],"['tomentose', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,4.0,nan,nan,0.5,nan,nan,3.0,nan,4.75,nan,nan,1.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alnus viridis subsp. fruticosa,nan,['brown-gray'],[],[],['green'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['acute', 'acuminate']",[],[],[],[],[],[],[],[],[],['doubly serrate'],[],[],['vein'],[],[],[],[],[],"['orbicular', 'truncate', 'cordate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,4.5,nan,nan,0.5,nan,nan,2.0,nan,6.5,nan,nan,1.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alnus viridis subsp. sinuata,nan,"['brown-red', 'gray']",[],[],['green-yellow'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['acuminate'],[],[],[],[],[],[],[],[],[],['doubly serrate'],[],[],[],[],[],[],[],[],"['orbicular', 'cordate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,5.5,nan,nan,0.8,nan,nan,2.0,nan,7.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula,nan,[],[],['pendulous'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['', 'slender']",[],[],[],[],[],[],[],[],[],[],[],[],"['crenate', 'doubly serrate', 'serrate']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['glandular', 'tomentose', 'surface', 'glabrous']",['ovate'],['smooth'],[],nan,nan,nan,4.25,nan,nan,nan,nan,nan,nan,nan,5.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula alleghaniensis,nan,[],['orbicular'],['ovoid'],[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],['acuminate'],[],[],[],[],[],[],[],[],[],['doubly serrate'],[],['vein'],['vein'],[],[],[],[],['lateral'],"['orbicular', 'cuneate', 'cordate']",[],[],[],[],[],"['pubescent', 'surface']",['ovate'],[],[],nan,nan,nan,4.25,nan,nan,1.0,nan,nan,nan,nan,8.0,nan,nan,2.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula cordifolia,nan,[],['obtuse'],"['', 'pendulous']",[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],['acuminate'],[],[],[],[],[],[],[],[],[],['doubly serrate'],[],['vein'],['vein'],[],[],[],[],['lateral'],['cordate'],[],[],[],[],[],['pubescent'],['ovate'],[],[],nan,nan,nan,6.0,nan,nan,0.6,nan,nan,nan,nan,8.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula glandulosa,3.0,['brown'],[],[''],[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],"['orbicular', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],['crenate-dentate'],[],['vein'],['vein'],[],[],[],[],['lateral'],"['orbicular', 'cuneate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['obovate'],[],[],nan,nan,nan,1.75,nan,nan,0.5,nan,nan,nan,nan,1.75,nan,nan,1.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula kenaica,nan,"['brown-red', 'pink', 'gray-white']",[],"['', 'pendulous']",[],[],[],[],[],[],[],[],[],[],[],[],['pubescent'],[],[],[],"['acute', 'acuminate']",[],[],[],[],[],[],[],['smooth'],[],"['doubly serrate', 'dentate']",[],['vein'],['vein'],[],[],[],[],['lateral'],"['orbicular', 'cuneate']",[],[],[],[],[],"['pubescent', 'surface']",['ovate'],[],[],nan,nan,nan,3.5,nan,nan,0.5,nan,nan,nan,nan,4.5,nan,nan,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula lenta,nan,[],['cuneate'],"['ovoid', 'spheric']",[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],['acuminate'],[],[],[],[],[],[],[],[],[],"['doubly serrate', 'serrate']",[],['vein'],['vein'],[],[],[],[],['lateral'],"['orbicular', 'cordate']",[],[],[],[],[],"['surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,4.5,nan,nan,1.5,nan,nan,nan,nan,7.5,nan,nan,2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula michauxii,0.5,['brown'],[],[''],[],[],[],[],[],[],[],[],[],[],[],[],['pubescent'],[],[],[],"['orbicular', 'truncate']",[],[],[],[],[],[],[],['smooth'],[],['crenate-dentate'],[],[],['vein'],[],[],[],[],['lateral'],['cuneate'],[],[],[],[],[],"['surface', 'glabrous']",['obovate-reniform'],[],[],nan,nan,nan,0.85,nan,nan,0.5,nan,nan,nan,nan,0.75,nan,nan,0.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula minor,5.0,['brown-red'],[],[''],[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],"['acute', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],"['doubly serrate', 'toothed']",[],[],['vein'],[],[],[],[],['lateral'],"['orbicular', 'cuneate', 'truncate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,2.25,nan,nan,0.5,nan,nan,nan,nan,3.5,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula murrayana,nan,[],[],['ovoid'],[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],"['acute', 'acuminate']",[],[],[],[],[],[],[],[],[],['doubly serrate'],[],[],['vein'],[],[],[],[],['lateral'],['cuneate'],[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,4.5,nan,nan,1.5,nan,nan,nan,nan,8.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nana,1.0,"['gray', 'brown']",[],[''],[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],['orbicular'],[],[],[],[],[],[],[],['smooth'],[],['crenate'],[],[],['vein'],[],[],[],[],['lateral'],"['orbicular', 'cordate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['orbicular'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nana subsp. exilis,1.0,['brown-red'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['orbicular', 'cuneate', 'cordate']",[],[],[],[],[],"['surface', 'glabrous']",['orbicular'],[],[],nan,nan,nan,1.05,nan,nan,0.5,nan,nan,nan,nan,0.85,nan,nan,0.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nana subsp. nana,1.0,['brown'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['pubescent'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['orbicular', 'cuneate', 'cordate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['orbicular'],[],[],nan,nan,nan,1.4,nan,nan,0.4,nan,nan,nan,nan,1.15,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula neoalaskana,nan,[],[],"['', 'pendulous']",[],[],[],[],[],[],[],[],[],[],[],[],['glabrous'],[],[],[],['acuminate'],[],[],[],[],[],[],[],[],[],['doubly serrate'],[],['vein'],['vein'],[],[],[],[],['lateral'],"['orbicular', 'cuneate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['deltoid-ovate'],[],[],nan,nan,nan,4.0,nan,nan,0.8,nan,nan,nan,nan,5.5,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nigra,nan,[],['elongate'],['spheric'],[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],['acuminate'],[],[],[],[],[],[],[],[],[],"['doubly serrate', 'dentate']",[],['vein'],['vein'],[],[],[],[],['lateral'],"['cuneate', 'truncate']",[],[],[],[],[],"['pubescent', 'surface']",['ovate-rhomboic'],[],[],nan,nan,nan,4.5,nan,nan,1.0,nan,nan,nan,nan,6.0,nan,nan,2.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula occidentalis,10.0,"['brown-red', 'bronze']",[],"['', 'pendulous']",[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],"['acute', 'acuminate']",[],[],[],[],[],[],[],['smooth'],[],"['doubly serrate', 'serrate']",[],[],['vein'],[],[],[],[],['lateral'],"['orbicular', 'cuneate', 'truncate']",['red'],[],[],[],[],"['pubescent', 'surface']",['ovate'],[],[],nan,nan,nan,2.75,nan,nan,0.8,nan,nan,nan,nan,3.9,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula papyrifera,nan,[],['obtuse'],"['', 'pendulous']",[],[],[],[],[],[],[],[],[],[],[],[],['pubescent'],[],[],[],"['acute', 'acuminate']",[],[],[],[],[],[],[],[],[],"['doubly serrate', 'dentate-serrate']",[],['vein'],['vein'],[],[],[],[],['lateral'],['orbicular'],[],[],[],[],[],"['pubescent', 'surface']",['ovate'],[],[],nan,nan,nan,5.5,nan,nan,0.6,nan,nan,nan,nan,7.0,nan,nan,3.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pendula,nan,[],['orbicular'],"['', 'pendulous']",[],[],[],[],[],[],[],[],[],[],[],[],['glabrous'],[],[],[],['acuminate'],[],[],[],[],[],[],[],[],[],['doubly serrate'],[],[],['vein'],[],['pendulous'],[],[],['lateral'],['cuneate'],[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,3.75,nan,nan,0.6,nan,nan,nan,nan,5.0,nan,nan,2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula populifolia,nan,"['brown-red', 'gray-white']","['acute', 'angular']","['', 'pendulous']",[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],['acuminate'],[],[],[],[],[],[],[],['smooth'],[],['doubly serrate'],[],[],['vein'],[],[],[],[],['lateral'],"['cuneate', 'truncate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,5.5,nan,nan,0.8,nan,nan,nan,nan,6.5,nan,nan,1.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pubescens,nan,"['gray-white', 'brown-red', 'brown', 'tan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['acute'],[],[],[],[],[],[],[],['smooth'],[],['serrate'],[],['vein'],[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'surface']",['ovate'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pubescens subsp. pubescens,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['acute'],[],[],[],[],[],[],[],[],[],"['toothed', 'dentate']",[],['vein'],[],[],[],[],[],[],['orbicular'],[],[],[],[],[],"['pubescent', 'surface']",['ovate'],[],[],nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pubescens subsp. tortuosa,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['acute'],[],[],[],[],[],[],[],[],[],"['dentate', 'serrate']",[],[],[],[],[],[],[],[],"['cuneate', 'truncate']",[],[],[],[],[],"['pubescent', 'surface']",['ovate'],[],[],nan,nan,nan,1.5,nan,nan,0.4,nan,nan,nan,nan,1.75,nan,nan,1.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pumila,4.0,['brown-red'],['elongate'],[''],[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],"['acute', 'orbicular', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],"['crenate', 'dentate']",[],[],['vein'],[],[],[],[],['lateral'],"['orbicular', 'cuneate']",[],[],[],[],[],"['pubescent', 'tomentose', 'surface', 'glabrous']",['elliptic'],[],[],nan,nan,nan,3.0,nan,nan,0.8,nan,nan,nan,nan,3.75,nan,nan,1.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula uber,10.0,['brown'],[],['ellipsoid'],[],[],[],[],[],[],[],[],[],[],[],[],['glabrous'],[],[],[],"['orbicular', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],"['dentate', 'serrate']",[],['vein'],['vein'],[],[],[],[],['lateral'],"['orbicular', 'truncate', 'cordate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['orbicular'],[],[],nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,3.5,nan,nan,1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betulaceae,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['entire', 'toothed', 'serrate']",[],[],['veined'],[],[],[],[],[],[],[],[],[],[],[],"['tomentose', 'surface', 'glabrous']",[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betuloideae,nan,[],[],['conelike'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['deltoid'],[],['ovoid'],[],[],[],[],[],[],[],[],[],[],[],[],"['doubly serrate', 'serrulate']",[],[],['vein'],[],[],[],[],['lateral'],[],[],"['elongate', 'pendulous']",[],[],[],"['tomentose', 'surface', 'glabrous']",['ovate'],['smooth'],[],nan,nan,nan,4.5,nan,nan,nan,nan,nan,nan,nan,7.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus caroliniana,nan,"['gray', 'white']",[],[],[],[],[],[],[],[],[],[],[],['acute'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['smooth'],[],['doubly serrate'],[],[],['vein'],[],[],[],[],[],[],[],"['orbicular', 'obtuse', 'elongate']",[],[],[],"['pubescent', 'surface']",['ovate'],[],[],2.0999999999999996,nan,2.75,nan,nan,nan,nan,nan,3.0,nan,nan,3.5,nan,7.5,7.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus caroliniana subsp. caroliniana,nan,"['brown-gray', 'gray']",[],[],[],[],[],[],[],[],[],[],[],['acute'],[],[],[],[],[],[],"['acute', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],['doubly serrate'],[],[],['vein'],[],[],[],[],[],"['orbicular', 'cordate']",[],"['orbicular', 'obtuse', 'elongate']",[],[],[],"['pubescent', 'surface']",['ovate'],[],[],1.8499999999999999,nan,2.5,nan,nan,nan,nan,nan,3.0,nan,nan,3.5,nan,5.75,4.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus caroliniana subsp. virginiana,nan,['blue-gray'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['caudate'],[],[],[],[],[],[],[],['smooth'],[],['doubly serrate'],[],[],['vein'],[],[],[],[],[],"['orbicular', 'cordate']",[],[],[],[],[],"['pubescent', 'surface']",['ovate'],[],[],2.15,nan,3.0,4.75,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,8.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Coryloideae,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus,nan,['brown-gray'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ovoid'],[],[],[],['spiny'],[],[],[],[],[],[],['smooth'],[],['doubly serrate'],['hairy'],[],['vein'],[],[],[],[],['lateral'],['cordate'],[],[],[],[],"['ovoid', 'spheric']","['pubescent', 'surface', 'glandular']",['ovate'],['smooth'],[],nan,nan,nan,7.75,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus americana,nan,['gray'],[],[],[],[],[],['laciniate'],[],[],[],[],[],[],[],[],['pubescent'],[],[],[],['acuminate'],[],[],[],[],[],[],[],['smooth'],[],"['doubly serrate', 'serrate']","['downy', 'pubescent', 'surface', 'glandular']",['vein'],[],"['pubescent', 'glandular']",[],[],[],[],"['orbicular', 'cordate']",[],[],['ovoid'],[],[],"['pubescent', 'surface']",['ovate'],[],[],nan,3.0,nan,8.0,nan,nan,nan,nan,3.0,nan,nan,10.5,nan,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus avellana,nan,['brown'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['pubescent'],[],[],[],['acuminate'],[],[],[],[],[],[],[],['smooth'],[],['doubly serrate'],"['pubescent', 'surface']",['vein'],[],['pubescent'],[],[],[],[],"['orbicular', 'cordate']",[],[],['ovoid'],[],[],['pubescent'],['ovate'],[],[],nan,8.5,nan,8.0,nan,nan,nan,nan,3.0,nan,nan,8.5,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus cornuta,8.0,['brown'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['pubescent', 'glabrous']",[],[],[],"['acute', 'acuminate', 'obtuse', 'angular']",[],[],[],[],[],[],[],['smooth'],[],['doubly serrate'],[],['vein'],[],"['pubescent', 'glabrous']",[],[],[],[],"['orbicular', 'cordate']",[],[],"['acute', 'ovoid']",[],[],"['pubescent', 'surface', 'glabrous']",['orbicular'],[],[],nan,nan,nan,7.75,nan,nan,nan,nan,3.0,5.25,nan,7.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
