taxon,bark_size.1.length_high,bark_color,fruit_shape,infructescence_shape,leaf_color,leaf_hair_surface,peduncle_shape,nut_apex_shape,nut_surface,nutlet_surface,branch_color,petiole_venation,nut_color,bract_apex_shape,branch_surface,nutlet_shape,twig_surface,bud_shape,petiole_apex_shape,article_surface,leaf_apex_shape,bract_margin,petiole_base_shape,phyllichnia_shape,leaf_duration,petiole_color,rachis_shape,rachis_surface,bark_surface,leaf_hair_shape,leaf_margin,bract_surface,leaf_axil_venation,leaf_venation,petiole_surface,branch_shape,bract_color,petiole_shape,leaf_count_location,leaf_base_shape,twig_color,bract_shape,inflorescence_shape,peduncle_surface,nut_shape,leaf_surface,leaf_shape,bud_surface,bud_color,bract_size_width,nut_size_length,bract_size_length,leaf_size_width,fruit_size_length,nutlet_size_width,infructescence_size_width,article_size_width,inflorescence_size_width,peduncle_size_length,nutlet_size_length,leaf_size_length,nut_size_width,inflorescence_size_length,infructescence_size_length,bract_size_thickness,bud_size_length,tree_size_height,branch_size_length,nut_size_thickness,article_size_length,petiole_size_length,rachis_size_thickness,twig_size_diameter,rachis_size_length
Alnus,nan,[],[],['pendulous'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['', 'ovoid', 'valvate', 'ellipsoid']",[],[],[],[],[],[],[],[],[],[],[],[],"['entire', 'doubly serrate', 'serrulate', 'serrate']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['glandular', 'tomentose', 'surface', 'glabrous']",['ovate'],['smooth'],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alnus glutinosa,nan,['brown'],['obovate'],"['ovoid', 'spheric']",[],[],[],[],[],[],[],[],[],[],[],[],[],"['obovoid', 'ellipsoid']",[],[],"['obcordate', 'retuse']",[],[],[],[],[],[],[],['smooth'],[],"['doubly serrate', 'dentate']",[],[],['vein'],[],[],[],[],[],"['cuneate', 'obtuse']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['obovate'],[],[],nan,nan,nan,5.5,nan,nan,1.0,nan,nan,5.5,nan,6.0,nan,nan,1.85,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan
Alnus incana,nan,"['red', 'gray', 'brown']","['bilaterally symmetric', 'obovate', 'elliptic']","['', 'ovoid']",[],[],[],[],[],[],[],[],[],[],[],[],[],['ellipsoid'],[],[],"['acute', 'acuminate', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],['doubly serrate'],[],[],[],[],[],[],[],[],"['orbicular', 'cuneate']",[],[],[],[],[],[],['ovate'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan
Alnus incana subsp. rugosa,9.0,"['brown-red', 'gray']",[],['ovoid'],['glaucous'],[],[],[],[],[],[],[],[],[],[],[],[],['ellipsoid'],[],[],"['acute', 'acuminate', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],"['doubly serrate', 'toothed']",[],[],['vein'],[],[],[],[],[],"['orbicular', 'cuneate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,5.5,nan,nan,0.8,nan,nan,3.0,nan,7.5,nan,nan,1.35,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan
Alnus incana subsp. tenuifolia,nan,"['gray', 'brown']",[],['ovoid'],[],[],[],[],[],[],[],[],[],[],[],[],[],['ellipsoid'],[],[],"['acute', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],"['lobulate', 'crenate', 'doubly serrate']",[],[],[],[],[],[],[],[],"['orbicular', 'cuneate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,5.25,nan,nan,0.8,nan,nan,3.0,nan,7.0,nan,nan,1.5,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan
Alnus maritima,nan,['gray'],['elliptic'],['ovoid'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['ovoid', 'ellipsoid']",[],[],['acute'],[],[],[],[],[],[],[],['smooth'],[],[],[],[],[],[],[],[],[],[],"['acute', 'cuneate']",[],[],[],[],[],"['surface', 'glabrous']",['elliptic'],[],[],nan,nan,nan,3.5,nan,nan,1.2,nan,nan,7.5,nan,6.75,nan,nan,2.0,nan,3.75,nan,nan,nan,nan,nan,nan,nan,nan
Alnus oblongifolia,nan,"['gray', 'black']","['bilaterally symmetric', 'obovate', 'elliptic']","['', 'ovoid', 'ellipsoid']",[],[],[],[],[],[],[],[],[],[],[],[],[],['ovoid'],[],[],['acuminate'],[],[],[],[],[],[],[],['smooth'],[],"['doubly serrate', 'serrate']",[],[],[],[],[],[],[],[],"['orbicular', 'cuneate']",[],[],[],[],[],"['pubescent', 'villose', 'surface', 'glabrous']",['valvate'],[],[],nan,nan,nan,4.5,1.75,nan,nan,nan,nan,7.5,nan,7.0,nan,nan,nan,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan
Alnus rhombifolia,nan,['gray'],"['bilaterally symmetric', 'elliptic']","['', 'ovoid']",[],[],[],[],[],[],[],[],[],[],[],[],[],"['obovoid', 'ellipsoid']",[],[],"['acute', 'orbicular', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],"['serrulate', 'serrate']",[],[],[],[],[],[],[],[],"['orbicular', 'cuneate']",[],[],[],[],[],"['pubescent', 'villose', 'surface']",['valvate'],[],[],nan,nan,nan,3.5,nan,nan,0.7,nan,nan,5.5,nan,6.5,nan,nan,1.6,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan
Alnus rubra,nan,['gray'],"['ovate', 'obovate', 'elliptic']","['ovoid', 'spheric']",[],[],[],[],[],[],[],[],[],[],[],[],[],['ellipsoid'],[],[],"['acute', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],"['crenate', 'doubly serrate']",[],[],[],[],[],[],[],[],"['orbicular', 'cuneate']",[],[],[],[],[],"['pubescent', 'surface', 'glabrous']",['ovate'],[],[],nan,nan,nan,7.0,nan,nan,0.6,nan,nan,5.5,nan,11.0,nan,nan,2.25,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan
Alnus serrulata,10.0,['gray'],"['obovate', 'elliptic']",['ellipsoid-ovoid'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['obovoid', 'ellipsoid']",[],[],"['orbicular', 'obtuse']",[],[],[],[],[],[],[],['smooth'],[],['serrulate'],[],[],[],[],[],[],[],[],['cuneate'],[],[],[],[],[],"['villose', 'surface', 'glabrous']",['elliptic'],[],[],nan,nan,nan,5.75,nan,nan,0.6,nan,nan,2.0,nan,9.5,nan,nan,1.6,nan,4.5,nan,nan,nan,nan,nan,nan,nan,nan
