fruit_shape
,0
acute,1
angular,2
bilaterally symmetric,3
concave,4
convex,5
cuneate,6
cup-shaped,7
cupular,8
curved,9
disk,10
ellipsoid,11
ellipsoid-ovoid,12
ellipsoid-spheric,13
elliptic,14
elliptic-ovate,15
elongate,16
linear,17
oblong,18
oblong-ovoid,19
obovate,20
obovoid,21
obtuse,22
orbicular,23
ovate,24
ovoid,25
recurved,26
saucerlike,27
spheric,28
subglobose,29
triangular,30
tubular,31
