taxon,bark_size.1.length_high,bark_color,fruit_shape,infructescence_shape,leaf_color,leaf_hair_surface,peduncle_shape,nut_apex_shape,nut_surface,nutlet_surface,branch_color,petiole_venation,nut_color,bract_apex_shape,branch_surface,nutlet_shape,twig_surface,bud_shape,petiole_apex_shape,article_surface,leaf_apex_shape,bract_margin,petiole_base_shape,phyllichnia_shape,leaf_duration,petiole_color,rachis_shape,rachis_surface,bark_surface,leaf_hair_shape,leaf_margin,bract_surface,leaf_axil_venation,leaf_venation,petiole_surface,branch_shape,bract_color,petiole_shape,leaf_count_location,leaf_base_shape,twig_color,bract_shape,inflorescence_shape,peduncle_surface,nut_shape,leaf_surface,leaf_shape,bud_surface,bud_color,bract_size_width,nut_size_length,bract_size_length,leaf_size_width,fruit_size_length,nutlet_size_width,infructescence_size_width,article_size_width,inflorescence_size_width,peduncle_size_length,nutlet_size_length,leaf_size_length,nut_size_width,inflorescence_size_length,infructescence_size_length,bract_size_thickness,bud_size_length,tree_size_height,branch_size_length,nut_size_thickness,article_size_length,petiole_size_length,rachis_size_thickness,twig_size_diameter,rachis_size_length
Betula,nan,,,27,,,,,,,,,,,,,,14,,,,,,,,,,,,,32,,,,,,,,,,,,,,,29,49,8,,nan,nan,nan,4.25,nan,nan,nan,nan,nan,nan,nan,5.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula alleghaniensis,nan,,23,25,,,,,,,,,,,,,5,,,,4,,,,,,,,,,13,,1,15,,,,,9,27,,,,,,19,49,,,nan,nan,nan,4.25,nan,nan,1.0,nan,nan,nan,nan,8.0,nan,nan,2.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula cordifolia,nan,,22,0,,,,,,,,,,,,,1,,,,4,,,,,,,,,,13,,1,15,,,,,9,15,,,,,,19,49,,,nan,nan,nan,6.0,nan,nan,0.6,nan,nan,nan,nan,8.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula glandulosa,3.0,5,,0,,,,,,,,,,,,,5,,,,25,,,,,,,,0,,3,,1,15,,,,,9,27,,,,,,27,40,,,nan,nan,nan,1.75,nan,nan,0.5,nan,nan,nan,nan,1.75,nan,nan,1.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula kenaica,nan,10,,0,,,,,,,,,,,,,5,,,,4,,,,,,,,0,,7,,1,15,,,,,9,17,,,,,,19,49,,,nan,nan,nan,3.5,nan,nan,0.5,nan,nan,nan,nan,4.5,nan,nan,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula lenta,nan,,6,25,,,,,,,,,,,,,1,,,,4,,,,,,,,,,32,,1,15,,,,,9,27,,,,,,27,49,,,nan,nan,nan,4.5,nan,nan,1.5,nan,nan,nan,nan,7.5,nan,nan,2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula michauxii,0.5,5,,0,,,,,,,,,,,,,5,,,,25,,,,,,,,0,,3,,,15,,,,,9,17,,,,,,27,43,,,nan,nan,nan,0.85,nan,nan,0.5,nan,nan,nan,nan,0.75,nan,nan,0.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula minor,5.0,7,,0,,,,,,,,,,,,,5,,,,8,,,,,,,,0,,40,,,15,,,,,9,17,,,,,,7,49,,,nan,nan,nan,2.25,nan,nan,0.5,nan,nan,nan,nan,3.5,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula murrayana,nan,,,25,,,,,,,,,,,,,5,,,,8,,,,,,,,,,13,,,15,,,,,9,17,,,,,,19,49,,,nan,nan,nan,4.5,nan,nan,1.5,nan,nan,nan,nan,8.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nana,1.0,5,,0,,,,,,,,,,,,,1,,,,25,,,,,,,,0,,2,,,15,,,,,9,27,,,,,,19,45,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nana subsp. exilis,1.0,7,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,7,45,,,nan,nan,nan,1.05,nan,nan,0.5,nan,nan,nan,nan,0.85,nan,nan,0.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nana subsp. nana,1.0,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,19,45,,,nan,nan,nan,1.4,nan,nan,0.4,nan,nan,nan,nan,1.15,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula neoalaskana,nan,,,0,,,,,,,,,,,,,1,,,,4,,,,,,,,,,13,,1,15,,,,,9,27,,,,,,7,17,,,nan,nan,nan,4.0,nan,nan,0.8,nan,nan,nan,nan,5.5,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nigra,nan,,16,36,,,,,,,,,,,,,5,,,,4,,,,,,,,,,13,,1,15,,,,,9,41,,,,,,27,52,,,nan,nan,nan,4.5,nan,nan,1.0,nan,nan,nan,nan,6.0,nan,nan,2.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula occidentalis,10.0,4,,0,,,,,,,,,,,,,5,,,,4,,,,,,,,0,,32,,,15,,,,,9,27,17,,,,,19,49,,,nan,nan,nan,2.75,nan,nan,0.8,nan,nan,nan,nan,3.9,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula papyrifera,nan,,22,27,,,,,,,,,,,,,5,,,,4,,,,,,,,,,13,,1,15,,,,,9,27,,,,,,19,49,,,nan,nan,nan,5.5,nan,nan,0.6,nan,nan,nan,nan,7.0,nan,nan,3.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pendula,nan,,23,0,,,,,,,,,,,,,1,,,,4,,,,,,,,,,13,,,15,,17,,,9,17,,,,,,19,49,,,nan,nan,nan,3.75,nan,nan,0.6,nan,nan,nan,nan,5.0,nan,nan,2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula populifolia,nan,10,1,0,,,,,,,,,,,,,5,,,,4,,,,,,,,0,,13,,,15,,,,,9,17,,,,,,27,49,,,nan,nan,nan,5.5,nan,nan,0.8,nan,nan,nan,nan,6.5,nan,nan,1.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pubescens,nan,7,,,,,,,,,,,,,,,,,,,8,,,,,,,,0,,32,,1,,,,,,,,,,,,,19,49,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pubescens subsp. pubescens,nan,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,7,,1,,,,,,,27,,,,,,19,49,,,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pubescens subsp. tortuosa,nan,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,32,,,,,,,,,41,,,,,,27,49,,,nan,nan,nan,1.5,nan,nan,0.4,nan,nan,nan,nan,1.75,nan,nan,1.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pumila,4.0,7,16,0,,,,,,,,,,,,,5,,,,25,,,,,,,,0,,7,,,15,,,,,9,17,,,,,,29,18,,,nan,nan,nan,3.0,nan,nan,0.8,nan,nan,nan,nan,3.75,nan,nan,1.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula uber,10.0,5,,12,,,,,,,,,,,,,1,,,,25,,,,,,,,0,,32,,1,15,,,,,9,27,,,,,,7,45,,,nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,3.5,nan,nan,1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betulaceae,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,16,,,,,,,,,,,,27,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betuloideae,nan,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus,nan,,,,,,,,,,,,,,,0,,12,,,,,,,,,,,,,36,,,15,,,,,9,,,16,,,,7,49,8,,nan,nan,nan,4.5,nan,nan,nan,nan,nan,nan,nan,7.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus caroliniana,nan,18,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,13,,,15,,,,,,,,16,,,,27,49,,,2.0999999999999996,nan,2.75,nan,nan,nan,nan,nan,3.0,nan,nan,3.5,nan,7.5,7.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus caroliniana subsp. caroliniana,nan,6,,,,,,,,,,,,1,,,,,,,8,,,,,,,,0,,13,,,15,,,,,,15,,38,,,,19,49,,,1.8499999999999999,nan,2.5,nan,nan,nan,nan,nan,3.0,nan,nan,3.5,nan,5.75,4.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus caroliniana subsp. virginiana,nan,3,,,,,,,,,,,,,,,,,,,14,,,,,,,,0,,13,,,15,,,,,,15,,,,,,19,49,,,2.15,nan,3.0,4.75,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,8.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Coryloideae,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus,nan,6,,,,,,,,,,,,,,,,12,,,,19,,,,,,,0,,13,4,,15,,,,,9,15,,,,,34,8,49,8,,nan,nan,nan,7.75,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus americana,nan,9,,,,,,5,,,,,,,,,5,,,,4,,,,,,,,0,,32,13,1,,7,,,,,27,,,17,,,27,49,,,nan,3.0,nan,8.0,nan,nan,nan,nan,3.0,nan,nan,10.5,nan,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus avellana,nan,5,,,,,,,,,,,,,,,5,,,,4,,,,,,,,0,,13,13,1,,7,,,,,15,,,17,,,19,49,,,nan,8.5,nan,8.0,nan,nan,nan,nan,3.0,nan,nan,8.5,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus cornuta,8.0,5,,,,,,,,,,,,,,,5,,,,8,,,,,,,,0,,13,,1,,1,,,,,27,,,17,,,27,45,,,nan,nan,nan,7.75,nan,nan,nan,nan,3.0,5.25,nan,7.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus cornuta subsp. californica,nan,5,,,,,,,6,,,,,,,,5,,,,8,,,,,,,,,,13,,1,,7,,,,,15,,,17,,,19,45,,,nan,7.5,nan,5.25,nan,nan,nan,nan,3.0,nan,nan,5.5,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus cornuta subsp. cornuta,nan,5,,,,,,,,,,,,,,,5,,,,11,,,,,,,,0,,13,,1,,7,,,,,15,,,17,,,7,49,,,nan,1.25,nan,6.25,nan,nan,nan,nan,3.0,nan,nan,8.5,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ostrya,nan,,,,,,,,,,,,,,,12,,12,,,,,,,,,,,,,13,,,15,,,,,9,,,44,,,,27,49,,,nan,nan,nan,nan,nan,nan,nan,nan,1.5,nan,nan,nan,nan,7.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ostrya chisosensis,nan,6,,,,,,,,,,,,,,,5,,,,8,,,,,,,,,,13,,,15,1,,,,,17,,,,,,27,18,,,0.75,nan,1.4,2.5,nan,nan,1.5,nan,nan,nan,nan,4.25,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ostrya knowltonii,nan,6,,,,,,,,,,,,,,,5,,,,8,,,,,,,,,,13,,,15,,,,,,15,,,,,,27,49,,,0.75,nan,1.4,3.25,nan,nan,1.8,nan,nan,nan,nan,4.5,nan,nan,3.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ostrya virginiana,nan,6,,,,,,,,,,,,,,,5,,,,4,,,,,,,,,,13,,,15,7,,,,,17,,,,,,34,49,,,0.9,nan,1.4,4.5,nan,nan,2.0,nan,nan,nan,nan,9.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Casuarina,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Casuarina cunninghamiana,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Casuarina cunninghamiana subsp. cunninghamiana,nan,6,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,nan,nan,nan,nan,3.5,nan,4.0,nan,nan,5.5,nan,nan,nan,nan,10.5,nan,nan,nan,7.5,nan,nan,nan,nan,nan,nan
Casuarina equisetifolia,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Casuarina equisetifolia subsp. equisetifolia,nan,0,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,nan,nan,nan,nan,7.0,nan,9.0,nan,nan,6.5,nan,nan,nan,nan,18.0,nan,nan,nan,6.5,nan,nan,nan,nan,nan,nan
Casuarina glauca,nan,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8,,,,,,1,,,,,,,,nan,nan,nan,nan,4.25,nan,7.0,nan,nan,7.5,nan,nan,nan,nan,13.5,nan,nan,nan,14.0,nan,nan,nan,nan,nan,nan
Casuarinaceae,nan,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Castanea,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,8,,,,,,,,,,,6,,55,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Castanea dentata,10.0,9,,,,,,,,,,,,,,,1,,,,8,,,,,,,,0,,39,,,,,,,,,17,,,,,28,7,40,,,nan,21.5,nan,65.0,nan,nan,nan,nan,nan,nan,nan,173.0,21.5,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan
Castanea ozarkensis,nan,5,,,45,,,,,,,,,,,,1,,,,8,,,,,,,,,,32,,,15,,,,,,15,,,,,31,6,40,,,nan,10.0,nan,nan,14.0,nan,nan,nan,nan,nan,nan,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,160.0,nan,nan,nan
Castanea pumila,nan,9,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,32,,,15,,,,,,27,,,,,32,18,18,,,nan,10.0,nan,50.0,nan,nan,nan,nan,nan,nan,nan,115.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan
Chrysolepis,nan,,,,,,,,,,,,19,,,,,12,,,,,,,,,,,,,40,,,15,,,,,,,,,,,6,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chrysolepis chrysophylla,45.0,,,,,,,,3,,,,1,,,,,,,,4,,,,,,,,,,17,,,6,,,,,,,20,,,,,,,,,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.5,nan,nan,nan
Chrysolepis chrysophylla var. chrysophylla,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chrysolepis chrysophylla var. minor,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chrysolepis sempervirens,1.0,9,,,17,,,,3,,,,1,,,,,,,,23,,,,,,,,0,,17,,,,,,,,,,20,,,,,6,37,,,nan,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.5,nan,nan,nan
Fagaceae,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,16,,,,,,,,,,,,27,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Fagus,nan,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,39,,,8,,,,,,,,,,,,,3,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Fagus grandifolia,nan,9,,,,11,,,3,,,,,,,,1,5,,,4,,,,,,,,0,7,,,,6,,,,,,17,,,,,,7,49,7,2,nan,17.5,nan,50.0,17.5,nan,nan,nan,nan,nan,nan,90.0,14.0,nan,nan,nan,17.5,nan,nan,nan,nan,8.0,nan,nan,nan
Lithocarpus,nan,,7,,,,,,,,,,,,,,,11,,,,,,,,,,,,,32,,,15,,,,,,,,,,,31,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lithocarpus densiflorus,nan,9,26,,3,,,,15,,,,9,,,,6,,,,,,,,,,,,0,,40,,,15,,,,,,,20,,,,38,27,12,,,nan,25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lithocarpus densiflorus var. densiflorus,nan,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,12,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lithocarpus densiflorus var. echinoides,nan,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Quercus,nan,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,17,,,8,,,,,,,,,,,31,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Quercus Sect. Lobatae,nan,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,17,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Quercus Sect. Protobalanus,nan,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,17,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Quercus Sect. Quercus,nan,18,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,17,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Quercus acerifolia,15.0,9,,,,,,,10,,,,1,,,,1,3,,,8,,,,,,,,,,,,,15,1,,,,,26,8,,,,2,27,18,1,4,nan,11.125,nan,125.0,nan,nan,nan,nan,nan,nan,nan,54.75,13.5,nan,nan,nan,nan,nan,nan,nan,nan,32.5,nan,2.25,nan
Quercus agrifolia,25.0,0,,,,,,,3,,,,,,,,5,12,,,13,,,,,,,,,,17,,,15,7,,,,,15,2,,,,37,27,18,,2,nan,15.375,nan,25.0,nan,nan,nan,nan,nan,nan,nan,45.0,12.25,nan,nan,nan,4.5,nan,nan,nan,nan,9.5,nan,2.25,nan
Quercus ajoensis,3.0,9,,,45,,2,,10,,,,,,,,5,15,,,8,,,,,,,,,,,,,15,,,,,,15,2,,,,34,7,49,6,6,nan,3.5,nan,15.0,nan,nan,nan,nan,nan,40.0,nan,25.0,7.0,nan,nan,nan,1.25,nan,nan,nan,nan,3.5,nan,1.5,nan
Quercus alba,25.0,9,,,19,,3,,3,,,,1,,,,5,12,,,26,,,,,,,,,,,,,15,,,,,,17,14,,,,16,27,40,1,6,nan,18.0,nan,90.0,nan,nan,nan,nan,nan,25.0,nan,150.0,13.5,nan,nan,nan,3.0,nan,nan,nan,nan,17.5,nan,2.5,nan
Quercus arizonica,18.0,,,,3,7,3,,3,,,,1,,,,6,12,,,8,,,,,,,,,0,17,,,11,,,,,,15,20,,,,34,19,18,0,2,nan,8.75,nan,nan,nan,nan,nan,nan,nan,15.0,nan,6.5,12.5,nan,nan,nan,nan,nan,nan,nan,nan,60.0,nan,2.0,nan
