leaf_venation
10–16 lateral veins on each side of the midvein,0
12–15 lateral veins on each side of the midvein,1
20–26 lateral veins on each side of the midvein,2
even-pinnate,3
green on both surfaces,4
impressed,5
midrib,6
odd-pinnate,7
parallel,8
pinnate,9
primary veins in eight to ten pairs,10
reticulate,11
rib,12
seven to nine lateral veins on each side of the midvein,13
six to seven lateral veins on each side of the midvein,14
vein,15
veined,16
veins in eight to eleven pairs,17
veins in ten to thirteen pairs,18
with eight to ten pairs of veins,19
with many parallel veins,20
