taxon,bark_size.1.length_high,bark_color,fruit_shape,infructescence_shape,leaf_color,leaf_hair_surface,peduncle_shape,nut_apex_shape,nut_surface,nutlet_surface,branch_color,petiole_venation,nut_color,bract_apex_shape,branch_surface,nutlet_shape,twig_surface,bud_shape,petiole_apex_shape,article_surface,leaf_apex_shape,bract_margin,petiole_base_shape,phyllichnia_shape,leaf_duration,petiole_color,rachis_shape,rachis_surface,bark_surface,leaf_hair_shape,leaf_margin,bract_surface,leaf_axil_venation,leaf_venation,petiole_surface,branch_shape,bract_color,petiole_shape,leaf_count_location,leaf_base_shape,twig_color,bract_shape,inflorescence_shape,peduncle_surface,nut_shape,leaf_surface,leaf_shape,bud_surface,bud_color,bract_size_width,nut_size_length,bract_size_length,leaf_size_width,fruit_size_length,nutlet_size_width,infructescence_size_width,article_size_width,inflorescence_size_width,peduncle_size_length,nutlet_size_length,leaf_size_length,nut_size_width,inflorescence_size_length,infructescence_size_length,bract_size_thickness,bud_size_length,tree_size_height,branch_size_length,nut_size_thickness,article_size_length,petiole_size_length,rachis_size_thickness,twig_size_diameter,rachis_size_length
Alnus viridis,10.0,[],"['20', '14']","['0', '25', '12']",[],[],[],[],[],[],[],[],[],[],[],[],[],['12'],[],[],"['8', '25']",[],[],[],[],[],[],[],['0'],[],"['13', '36']",[],[],[],[],[],[],[],[],['27'],[],[],[],[],[],"['29', '27', '7']",['49'],[],[],nan,nan,nan,5.5,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alnus viridis subsp. crispa,nan,['6'],[],[],['24'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['8', '23']",[],[],[],[],[],[],[],[],[],"['36', '32']",[],[],[],[],[],[],[],[],['27'],[],[],[],[],[],"['29', '27', '7']",['49'],[],[],nan,nan,nan,4.0,nan,nan,0.5,nan,nan,3.0,nan,4.75,nan,nan,1.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alnus viridis subsp. fruticosa,nan,['6'],[],[],['24'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['8', '4']",[],[],[],[],[],[],[],[],[],['13'],[],[],['15'],[],[],[],[],[],"['27', '41', '15']",[],[],[],[],[],"['19', '27', '7']",['49'],[],[],nan,nan,nan,4.5,nan,nan,0.5,nan,nan,2.0,nan,6.5,nan,nan,1.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alnus viridis subsp. sinuata,nan,"['7', '9']",[],[],['28'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['4'],[],[],[],[],[],[],[],[],[],['13'],[],[],[],[],[],[],[],[],"['27', '15']",[],[],[],[],[],"['19', '27', '7']",['49'],[],[],nan,nan,nan,5.5,nan,nan,0.8,nan,nan,2.0,nan,7.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula,nan,[],[],['27'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['0', '14']",[],[],[],[],[],[],[],[],[],[],[],[],"['2', '13', '32']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['8', '29', '27', '7']",['49'],['8'],[],nan,nan,nan,4.25,nan,nan,nan,nan,nan,nan,nan,5.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula alleghaniensis,nan,[],['23'],['25'],[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],['4'],[],[],[],[],[],[],[],[],[],['13'],[],['1'],['15'],[],[],[],[],['9'],"['27', '17', '15']",[],[],[],[],[],"['19', '27']",['49'],[],[],nan,nan,nan,4.25,nan,nan,1.0,nan,nan,nan,nan,8.0,nan,nan,2.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula cordifolia,nan,[],['22'],"['0', '27']",[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],['4'],[],[],[],[],[],[],[],[],[],['13'],[],['1'],['15'],[],[],[],[],['9'],['15'],[],[],[],[],[],['19'],['49'],[],[],nan,nan,nan,6.0,nan,nan,0.6,nan,nan,nan,nan,8.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula glandulosa,3.0,['5'],[],['0'],[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],"['25', '23']",[],[],[],[],[],[],[],['0'],[],['3'],[],['1'],['15'],[],[],[],[],['9'],"['27', '17']",[],[],[],[],[],"['19', '27', '7']",['40'],[],[],nan,nan,nan,1.75,nan,nan,0.5,nan,nan,nan,nan,1.75,nan,nan,1.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula kenaica,nan,"['7', '15', '10']",[],"['0', '27']",[],[],[],[],[],[],[],[],[],[],[],[],['5'],[],[],[],"['8', '4']",[],[],[],[],[],[],[],['0'],[],"['13', '7']",[],['1'],['15'],[],[],[],[],['9'],"['27', '17']",[],[],[],[],[],"['19', '27']",['49'],[],[],nan,nan,nan,3.5,nan,nan,0.5,nan,nan,nan,nan,4.5,nan,nan,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula lenta,nan,[],['6'],"['25', '36']",[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],['4'],[],[],[],[],[],[],[],[],[],"['13', '32']",[],['1'],['15'],[],[],[],[],['9'],"['27', '15']",[],[],[],[],[],"['27', '7']",['49'],[],[],nan,nan,nan,4.5,nan,nan,1.5,nan,nan,nan,nan,7.5,nan,nan,2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula michauxii,0.5,['5'],[],['0'],[],[],[],[],[],[],[],[],[],[],[],[],['5'],[],[],[],"['25', '41']",[],[],[],[],[],[],[],['0'],[],['3'],[],[],['15'],[],[],[],[],['9'],['17'],[],[],[],[],[],"['27', '7']",['43'],[],[],nan,nan,nan,0.85,nan,nan,0.5,nan,nan,nan,nan,0.75,nan,nan,0.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula minor,5.0,['7'],[],['0'],[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],"['8', '23']",[],[],[],[],[],[],[],['0'],[],"['13', '40']",[],[],['15'],[],[],[],[],['9'],"['27', '17', '41']",[],[],[],[],[],"['19', '27', '7']",['49'],[],[],nan,nan,nan,2.25,nan,nan,0.5,nan,nan,nan,nan,3.5,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula murrayana,nan,[],[],['25'],[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],"['8', '4']",[],[],[],[],[],[],[],[],[],['13'],[],[],['15'],[],[],[],[],['9'],['17'],[],[],[],[],[],"['19', '27', '7']",['49'],[],[],nan,nan,nan,4.5,nan,nan,1.5,nan,nan,nan,nan,8.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nana,1.0,"['9', '5']",[],['0'],[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],['25'],[],[],[],[],[],[],[],['0'],[],['2'],[],[],['15'],[],[],[],[],['9'],"['27', '15']",[],[],[],[],[],"['19', '27', '7']",['45'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nana subsp. exilis,1.0,['7'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['27', '17', '15']",[],[],[],[],[],"['27', '7']",['45'],[],[],nan,nan,nan,1.05,nan,nan,0.5,nan,nan,nan,nan,0.85,nan,nan,0.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nana subsp. nana,1.0,['5'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['5'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['27', '17', '15']",[],[],[],[],[],"['19', '27', '7']",['45'],[],[],nan,nan,nan,1.4,nan,nan,0.4,nan,nan,nan,nan,1.15,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula neoalaskana,nan,[],[],"['0', '27']",[],[],[],[],[],[],[],[],[],[],[],[],['1'],[],[],[],['4'],[],[],[],[],[],[],[],[],[],['13'],[],['1'],['15'],[],[],[],[],['9'],"['27', '17']",[],[],[],[],[],"['19', '27', '7']",['17'],[],[],nan,nan,nan,4.0,nan,nan,0.8,nan,nan,nan,nan,5.5,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula nigra,nan,[],['16'],['36'],[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],['4'],[],[],[],[],[],[],[],[],[],"['13', '7']",[],['1'],['15'],[],[],[],[],['9'],"['17', '41']",[],[],[],[],[],"['19', '27']",['52'],[],[],nan,nan,nan,4.5,nan,nan,1.0,nan,nan,nan,nan,6.0,nan,nan,2.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula occidentalis,10.0,"['7', '4']",[],"['0', '27']",[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],"['8', '4']",[],[],[],[],[],[],[],['0'],[],"['13', '32']",[],[],['15'],[],[],[],[],['9'],"['27', '17', '41']",['17'],[],[],[],[],"['19', '27']",['49'],[],[],nan,nan,nan,2.75,nan,nan,0.8,nan,nan,nan,nan,3.9,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula papyrifera,nan,[],['22'],"['0', '27']",[],[],[],[],[],[],[],[],[],[],[],[],['5'],[],[],[],"['8', '4']",[],[],[],[],[],[],[],[],[],"['13', '8']",[],['1'],['15'],[],[],[],[],['9'],['27'],[],[],[],[],[],"['19', '27']",['49'],[],[],nan,nan,nan,5.5,nan,nan,0.6,nan,nan,nan,nan,7.0,nan,nan,3.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pendula,nan,[],['23'],"['0', '27']",[],[],[],[],[],[],[],[],[],[],[],[],['1'],[],[],[],['4'],[],[],[],[],[],[],[],[],[],['13'],[],[],['15'],[],['17'],[],[],['9'],['17'],[],[],[],[],[],"['19', '27', '7']",['49'],[],[],nan,nan,nan,3.75,nan,nan,0.6,nan,nan,nan,nan,5.0,nan,nan,2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula populifolia,nan,"['7', '10']","['1', '2']","['0', '27']",[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],['4'],[],[],[],[],[],[],[],['0'],[],['13'],[],[],['15'],[],[],[],[],['9'],"['17', '41']",[],[],[],[],[],"['19', '27', '7']",['49'],[],[],nan,nan,nan,5.5,nan,nan,0.8,nan,nan,nan,nan,6.5,nan,nan,1.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pubescens,nan,"['10', '7', '5', '17']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['8'],[],[],[],[],[],[],[],['0'],[],['32'],[],['1'],[],[],[],[],[],[],[],[],[],[],[],[],"['19', '27']",['49'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pubescens subsp. pubescens,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['8'],[],[],[],[],[],[],[],[],[],"['40', '7']",[],['1'],[],[],[],[],[],[],['27'],[],[],[],[],[],"['19', '27']",['49'],[],[],nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pubescens subsp. tortuosa,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['8'],[],[],[],[],[],[],[],[],[],"['7', '32']",[],[],[],[],[],[],[],[],"['17', '41']",[],[],[],[],[],"['19', '27']",['49'],[],[],nan,nan,nan,1.5,nan,nan,0.4,nan,nan,nan,nan,1.75,nan,nan,1.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula pumila,4.0,['7'],['16'],['0'],[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],"['8', '25', '23']",[],[],[],[],[],[],[],['0'],[],"['2', '7']",[],[],['15'],[],[],[],[],['9'],"['27', '17']",[],[],[],[],[],"['19', '29', '27', '7']",['18'],[],[],nan,nan,nan,3.0,nan,nan,0.8,nan,nan,nan,nan,3.75,nan,nan,1.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betula uber,10.0,['5'],[],['12'],[],[],[],[],[],[],[],[],[],[],[],[],['1'],[],[],[],"['25', '23']",[],[],[],[],[],[],[],['0'],[],"['7', '32']",[],['1'],['15'],[],[],[],[],['9'],"['27', '41', '15']",[],[],[],[],[],"['19', '27', '7']",['45'],[],[],nan,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,3.5,nan,nan,1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betulaceae,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['17', '40', '32']",[],[],['16'],[],[],[],[],[],[],[],[],[],[],[],"['29', '27', '7']",[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Betuloideae,nan,[],[],['7'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['0'],[],['12'],[],[],[],[],[],[],[],[],[],[],[],[],"['13', '36']",[],[],['15'],[],[],[],[],['9'],[],[],"['16', '44']",[],[],[],"['29', '27', '7']",['49'],['8'],[],nan,nan,nan,4.5,nan,nan,nan,nan,nan,nan,nan,7.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus caroliniana,nan,"['9', '18']",[],[],[],[],[],[],[],[],[],[],[],['1'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['0'],[],['13'],[],[],['15'],[],[],[],[],[],[],[],"['39', '38', '16']",[],[],[],"['19', '27']",['49'],[],[],2.0999999999999996,nan,2.75,nan,nan,nan,nan,nan,3.0,nan,nan,3.5,nan,7.5,7.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus caroliniana subsp. caroliniana,nan,"['6', '9']",[],[],[],[],[],[],[],[],[],[],[],['1'],[],[],[],[],[],[],"['8', '23']",[],[],[],[],[],[],[],['0'],[],['13'],[],[],['15'],[],[],[],[],[],"['27', '15']",[],"['39', '38', '16']",[],[],[],"['19', '27']",['49'],[],[],1.8499999999999999,nan,2.5,nan,nan,nan,nan,nan,3.0,nan,nan,3.5,nan,5.75,4.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carpinus caroliniana subsp. virginiana,nan,['3'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['14'],[],[],[],[],[],[],[],['0'],[],['13'],[],[],['15'],[],[],[],[],[],"['27', '15']",[],[],[],[],[],"['19', '27']",['49'],[],[],2.15,nan,3.0,4.75,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,8.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Coryloideae,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus,nan,['6'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['12'],[],[],[],['19'],[],[],[],[],[],[],['0'],[],['13'],['4'],[],['15'],[],[],[],[],['9'],['15'],[],[],[],[],"['34', '38']","['19', '27', '8']",['49'],['8'],[],nan,nan,nan,7.75,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus americana,nan,['9'],[],[],[],[],[],['5'],[],[],[],[],[],[],[],[],['5'],[],[],[],['4'],[],[],[],[],[],[],[],['0'],[],"['13', '32']","['1', '9', '13', '3']",['1'],[],"['7', '2']",[],[],[],[],"['27', '15']",[],[],['17'],[],[],"['19', '27']",['49'],[],[],nan,3.0,nan,8.0,nan,nan,nan,nan,3.0,nan,nan,10.5,nan,3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus avellana,nan,['5'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['5'],[],[],[],['4'],[],[],[],[],[],[],[],['0'],[],['13'],"['9', '13']",['1'],[],['7'],[],[],[],[],"['27', '15']",[],[],['17'],[],[],['19'],['49'],[],[],nan,8.5,nan,8.0,nan,nan,nan,nan,3.0,nan,nan,8.5,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus cornuta,8.0,['5'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],"['8', '4', '23', '11']",[],[],[],[],[],[],[],['0'],[],['13'],[],['1'],[],"['7', '1']",[],[],[],[],"['27', '15']",[],[],"['3', '17']",[],[],"['19', '27', '7']",['45'],[],[],nan,nan,nan,7.75,nan,nan,nan,nan,3.0,5.25,nan,7.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus cornuta subsp. californica,nan,"['5', '0']",[],[],[],[],[],[],['6'],[],[],[],[],[],[],[],['5'],[],[],[],"['8', '23']",[],[],[],[],[],[],[],[],[],['13'],[],['1'],[],['7'],[],[],[],[],['15'],[],[],['17'],[],[],['19'],['45'],[],[],nan,7.5,nan,5.25,nan,nan,nan,nan,3.0,nan,nan,5.5,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Corylus cornuta subsp. cornuta,nan,['5'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['5', '1']",[],[],[],"['4', '11']",[],[],[],[],[],[],[],['0'],[],['13'],[],['1'],[],"['7', '1']",[],[],[],[],"['27', '15']",[],[],['17'],[],[],"['19', '27', '7']",['49'],[],[],nan,1.25,nan,6.25,nan,nan,nan,nan,3.0,nan,nan,8.5,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ostrya,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['12'],[],['12'],[],[],[],[],[],[],[],[],[],[],[],[],"['13', '36']",[],[],['15'],[],[],[],[],['9'],[],[],"['16', '44']",[],[],[],"['29', '27', '7']",['49'],[],[],nan,nan,nan,nan,nan,nan,nan,nan,1.5,nan,nan,nan,nan,7.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ostrya chisosensis,nan,['6'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['5'],[],[],[],"['8', '23']",[],[],[],[],[],[],[],[],[],['13'],[],[],['15'],"['7', '1']",[],[],[],[],"['27', '17', '15']",[],[],[],[],[],"['19', '27']",['18'],[],[],0.75,nan,1.4,2.5,nan,nan,1.5,nan,nan,nan,nan,4.25,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ostrya knowltonii,nan,['6'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['5'],[],[],[],['8'],[],[],[],[],[],[],[],[],[],['13'],[],[],['15'],[],[],[],[],[],"['27', '17', '15']",[],[],[],[],[],"['19', '27']",['49'],[],[],0.75,nan,1.4,3.25,nan,nan,1.8,nan,nan,nan,nan,4.5,nan,nan,3.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ostrya virginiana,nan,"['9', '6']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],['5'],[],[],[],['4'],[],[],[],[],[],[],[],[],[],['13'],[],[],['15'],"['7', '1']",[],[],[],[],"['27', '17', '15']",[],[],[],[],[],"['19', '34', '27']",['49'],[],[],0.9,nan,1.4,4.5,nan,nan,2.0,nan,nan,nan,nan,9.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Casuarina,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['13'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Casuarina cunninghamiana,nan,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Casuarina cunninghamiana subsp. cunninghamiana,nan,['6'],[],[],[],[],[],[],[],[],[],[],[],[],['7'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['3'],[],[],[],[],[],['1'],[],[],[],[],[],[],[],nan,nan,nan,nan,3.5,nan,4.0,nan,nan,5.5,nan,nan,nan,nan,10.5,nan,nan,nan,7.5,nan,nan,nan,nan,nan,nan
