article_surface
at least slightly waxy,0
finely pubescent especially in furrows when immature,1
glabrous,2
mostly densely pubescent in furrows,3
mostly glabrous in furrows,4
occasionally finely pubescent when young,5
occasionally glaucous,6
"occasionally glaucous, pubescent in furrows",7
occasionally slightly glaucous,8
occasionally strongly glaucous,9
"often glaucous, glabrous",10
often pubescent when young,11
"often somewhat verruculose, often waxy, often pubescent in furrows",12
pubescent becoming glabrous,13
pubescent furrows,14
"pubescent furrows,glabrous furrows",15
pubescent when young,16
"quadrangular, usually pubescent",17
sharply angled,18
slightly wrinkled,19
smooth,20
"smooth, glabrous",21
"smooth, glabrous, usually glaucous",22
"smooth, glabrous, with a waxy bloom",23
"smooth, glabrous,shortly pubescent in furrows",24
"smooth, mostly with pubescent furrows",25
"smooth, occasionally pubescent in furrows",26
"smooth, often pubescent in furrows",27
"smooth, often pubescent in furrows,rounded,flat,small ridge",28
"smooth, pubescent in furrows",29
"smooth, pubescent in furrows,glabrous in furrows",30
"smooth, shortly pubescent in furrows",31
"smooth, sometimes waxy, glabrous,finely pubescent in furrows",32
"smooth, usually densely pubescent in furrows",33
"smooth, usually glabrous",34
"smooth, usually glabrous in furrows",35
"smooth, usually glabrous, often with a waxy bloom",36
"smooth, when young with hairs protruding up to 2 mm from furrows but becoming glabrous",37
"smooth, with densely pubescent furrows",38
"strongly glaucous, shortly and densely pubescent",39
"terete to subangular, glabrous,pubescent",40
"terete, quadrangular on young growth, minutely pubescent in furrows",41
"terete, usually glaucous, glabrous",42
usually glaucous,43
usually minutely pubescent in furrows,44
verruculose,45
