rachis_shape
,0
bilaterally symmetric,1
campanulate,2
cupular,3
disk,4
ellipsoid,5
obconic,6
oblong,7
obovoid,8
ovoid,9
radially symmetric,10
saucerlike,11
slender,12
spheric,13
stalked,14
subglobose,15
sulcate,16
turbinate,17
twisted,18
