bud_shape
,0
acute,1
acute-ovate,2
ellipsoid,3
ellipsoid-ovoid,4
fusiform,5
oblong,6
obovoid,7
obtuse,8
orbicular,9
orbicular-ovoid,10
ovate,11
ovoid,12
ovoid-spheric,13
slender,14
spheric,15
stellate,16
subacute,17
subglobose,18
valvate,19
