bract_shape
acuminate,0
acute,1
angular,2
auricle,3
auriculate,4
bilaterally symmetric,5
branched,6
campanulate,7
cordate,8
cupular,9
curved,10
curved-linear,11
deltoid-orbicular,12
elliptic,13
elliptic-obovate,14
elliptic-ovate,15
elongate,16
falcate,17
falcate-lanceolate,18
falcate-oblong,19
filiform,20
fused,21
incurved,22
laciniate,23
lanceolate,24
lanceolate-linear,25
lanceolate-oblong,26
lanceolate-obovate,27
lanceolate-ovate,28
ligulate,29
linear,30
linear-subulate,31
mucronate,32
mucronate-triangular,33
oblong,34
oblong-obovate,35
oblong-ovate,36
obovate,37
obtuse,38
orbicular,39
ovate,40
ovate-rhomboic,41
ovate-triangular,42
ovoid-spheric,43
pendulous,44
recurved,45
rhomboic,46
rhomboid,47
saccate,48
slender,49
spheric,50
squamiform-triangular,51
stalked,52
stipitate glandular,53
straight,54
subglobose,55
subrhombic,56
subulate,57
subulate-triangular,58
triangular,59
valvate,60
