infructescence_shape
,0
",",1
",  broader than long",2
",  irregular",3
",  longer than broad",4
", broader than long",5
", ovoid, irregular",6
", sessile,on",7
",barrel-shaped",8
",globose, as long as broad",9
",ovoid",10
",ovoid, irregular",11
;,12
Oval,13
conelike,14
conical,15
cupular,16
disk,17
egg-shaped,18
"egg-shaped,",19
ellipsoid,20
ellipsoid-ovoid,21
funnelform,22
globose,23
"globose,ovoid",24
irregular,25
long,26
obconic,27
oblong,28
oblong-ovate,29
oval,30
"ovate, ribbed",31
ovoid,32
"ovoid,",33
"ovoid,, sessile,on",34
"pear-shaped,reniform",35
pendulous,36
rachis,37
radially symmetric,38
round,39
"round, ovoid",40
saucerlike,41
short,42
spheric,43
subglobose,44
"subglobose, ,  as broad as long",45
