branch_shape
,0
acuminate,1
acute,2
angular,3
ascending,4
"ascending,curved",5
"ascending,drooping",6
"ascending,spreading",7
"ascending,verticillate",8
branched,9
campanulate,10
convex,11
convex-orbicular,12
cupular,13
disk,14
drooping,15
"drooping,ascending",16
"drooping,spreading",17
elliptic,18
elongate,19
erect,20
"erect,spreading",21
lanceolate-obovate,22
pendulous,23
plumose,24
recurved,25
saucerlike,26
slender,27
"spreading,ascending",28
"spreading,drooping",29
"spreading,twisted",30
stellate,31
stipitate glandular,32
sulcate,33
