inflorescence_shape
,0
Male catkins glutinous when young,1
Staminate inflorescences catkin-like,2
"Staminate inflorescences catkin-like, pistillate inflorescences in racemes of two to four, pedunculate, globose to oblong",3
acute,4
angulate,5
campanulate,6
capitulate,7
catkin,8
catkin-like,9
compound,10
cupular,11
disk,12
ellipsoid,13
oblong,14
oblong-ovoid,15
ovate,16
ovoid,17
ovoid to globose,18
pendulous,19
"pendulous, slender",20
racemes,21
rachis,22
recurved,23
saucerlike,24
spheric,25
spicate,26
spikelet,27
spikelike,28
stalked,29
stellate,30
subglobose,31
symmetric,32
truncate,33
