nut_shape
,0
acuminate,1
acute,2
angular,3
arcuate-convex,4
attenuate,5
branched,6
campanulate,7
concave,8
convex,9
cup-shaped,10
cupular,11
disk,12
ellipsoid,13
ellipsoid-oblong,14
ellipsoid-obovoid,15
ellipsoid-ovoid,16
elliptic,17
elongate,18
fusiform,19
grooved,20
hemispheric,21
incurved,22
keeled,23
linear,24
obconic,25
oblong,26
oblong-ovoid,27
obovate,28
obovoid,29
obtuse,30
orbicular,31
ovate,32
ovate-triangular,33
ovoid,34
ovoid-spheric,35
recurved,36
saucerlike,37
spheric,38
stipitate glandular,39
subglobose,40
triangular,41
turbinate,42
